id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
29159,True,a,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'h': '2', 'a': '0'}","{'h': '2.60739', 'a': '0.85578'}",2025-08-15 19:30:00,"{'w': 0.7488393294429713, 'd': 0.15138224812211995, 'l': 0.09977830479751708}",l,Real Oviedo,2025,La_liga
29175,True,h,"{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '0', 'a': '3'}","{'h': '0.33749', 'a': '1.82072'}",2025-08-24 19:30:00,"{'w': 0.061233463192055596, 'd': 0.19820256563254937, 'l': 0.7405639700573065}",l,Real Oviedo,2025,La_liga
29182,True,h,"{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'h': '1', 'a': '0'}","{'h': '0.45706', 'a': '0.92221'}",2025-08-30 17:00:00,"{'w': 0.17627186255662136, 'd': 0.3696015995431173, 'l': 0.45412653790016544}",w,Real Oviedo,2025,La_liga
29190,True,a,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'h': '2', 'a': '0'}","{'h': '0.954087', 'a': '0.369812'}",2025-09-13 12:00:00,"{'w': 0.4914660387138727, 'd': 0.36859665439621697, 'l': 0.13993730688975586}",l,Real Oviedo,2025,La_liga
29201,True,a,"{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'h': '1', 'a': '0'}","{'h': '1.57497', 'a': '1.10565'}",2025-09-21 16:30:00,"{'w': 0.48199528869551017, 'd': 0.25100929143360634, 'l': 0.2669954197099628}",l,Real Oviedo,2025,La_liga
29213,True,h,"{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '1', 'a': '3'}","{'h': '1.45014', 'a': '2.07001'}",2025-09-25 19:30:00,"{'w': 0.2688610964360437, 'd': 0.21205575013756242, 'l': 0.5190831472970153}",l,Real Oviedo,2025,La_liga
29218,True,a,"{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'h': '1', 'a': '2'}","{'h': '1.72261', 'a': '0.997143'}",2025-09-29 19:00:00,"{'w': 0.5440493420552113, 'd': 0.23801694011107577, 'l': 0.2179337172997285}",w,Real Oviedo,2025,La_liga
29236,True,h,"{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'id': '151', 'title': 'Levante', 'short_title': 'LEV'}","{'h': '0', 'a': '2'}","{'h': '1.08551', 'a': '1.62121'}",2025-10-04 12:00:00,"{'w': 0.25453737884861605, 'd': 0.2472205795530007, 'l': 0.49824204136133904}",l,Real Oviedo,2025,La_liga
29246,True,h,"{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '0', 'a': '2'}","{'h': '1.21155', 'a': '4.46256'}",2025-10-17 19:00:00,"{'w': 0.04758459486219421, 'd': 0.06854691339792843, 'l': 0.8838012353131761}",l,Real Oviedo,2025,La_liga
29249,True,a,"{'id': '223', 'title': 'Girona', 'short_title': 'GIR'}","{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'h': '3', 'a': '3'}","{'h': '2.24132', 'a': '2.22406'}",2025-10-25 12:00:00,"{'w': 0.405661556880448, 'd': 0.1950022310643432, 'l': 0.3993361795143387}",d,Real Oviedo,2025,La_liga
29266,True,h,"{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'h': '0', 'a': '0'}","{'h': '0.717473', 'a': '0.626317'}",2025-11-03 20:00:00,"{'w': 0.3318528394819326, 'd': 0.3919193500789907, 'l': 0.2762278104390732}",d,Real Oviedo,2025,La_liga
29268,True,a,"{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'h': '1', 'a': '0'}","{'h': '2.65219', 'a': '0.182696'}",2025-11-09 13:00:00,"{'w': 0.8944160069716314, 'd': 0.09081843616288307, 'l': 0.014765411156571087}",l,Real Oviedo,2025,La_liga
29283,True,h,"{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'h': '0', 'a': '0'}","{'h': '0.499406', 'a': '0.922998'}",2025-11-23 13:00:00,"{'w': 0.19172736480015465, 'd': 0.36576838897866565, 'l': 0.4425042462210829}",d,Real Oviedo,2025,La_liga
29288,True,a,"{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'h': '2', 'a': '0'}","{'h': '2.40693', 'a': '0.921985'}",2025-11-29 20:00:00,"{'w': 0.7019019721295225, 'd': 0.1719922385512199, 'l': 0.1261057466445078}",l,Real Oviedo,2025,La_liga
29306,True,h,"{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'id': '239', 'title': 'Mallorca', 'short_title': 'MAL'}","{'h': '0', 'a': '0'}","{'h': '1.60009', 'a': '0.617185'}",2025-12-05 20:00:00,"{'w': 0.6127451381580016, 'd': 0.24610868610907077, 'l': 0.1411461755351347}",d,Real Oviedo,2025,La_liga
29317,True,a,"{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'h': '4', 'a': '0'}","{'h': '2.31899', 'a': '0.416975'}",2025-12-14 13:00:00,"{'w': 0.8044200272773436, 'd': 0.14440593162644363, 'l': 0.05117401460173051}",l,Real Oviedo,2025,La_liga
29326,True,h,"{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'h': '0', 'a': '0'}","{'h': '0.517531', 'a': '0.600009'}",2025-12-20 13:00:00,"{'w': 0.2547880862106949, 'd': 0.43681256289243714, 'l': 0.30839935089686765}",d,Real Oviedo,2025,La_liga
29328,True,a,"{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'h': '1', 'a': '1'}","{'h': '1.56756', 'a': '3.21906'}",2026-01-04 17:30:00,"{'w': 0.15579597621883723, 'd': 0.14486854622593703, 'l': 0.6993339017973407}",d,Real Oviedo,2025,La_liga
29343,True,h,"{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '1', 'a': '1'}","{'h': '1.01026', 'a': '2.70809'}",2026-01-10 13:00:00,"{'w': 0.11582360955560819, 'd': 0.15255544648909392, 'l': 0.7316207547814002}",d,Real Oviedo,2025,La_liga
29357,True,a,"{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'h': '3', 'a': '2'}","{'h': '2.03551', 'a': '1.36173'}",2026-01-17 17:30:00,"{'w': 0.5307545402984085, 'd': 0.21414144995712517, 'l': 0.2551040048454296}",l,Real Oviedo,2025,La_liga
29361,True,a,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'h': '3', 'a': '0'}","{'h': '2.59917', 'a': '0.486404'}",2026-01-25 15:15:00,"{'w': 0.8264792493017046, 'd': 0.12452564131542188, 'l': 0.04899499632890289}",l,Real Oviedo,2025,La_liga
29375,True,h,"{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'id': '223', 'title': 'Girona', 'short_title': 'GIR'}","{'h': '1', 'a': '0'}","{'h': '1.26601', 'a': '0.664225'}",2026-01-31 13:00:00,"{'w': 0.509382722688752, 'd': 0.29532403031777515, 'l': 0.19529324698542055}",w,Real Oviedo,2025,La_liga
29393,True,h,"{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'h': '1', 'a': '2'}","{'h': '0.861013', 'a': '1.20566'}",2026-02-15 13:00:00,"{'w': 0.26329147783552154, 'd': 0.29634390966011415, 'l': 0.440364612500234}",l,Real Oviedo,2025,La_liga
29407,True,a,"{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'h': '3', 'a': '3'}","{'h': '2.77486', 'a': '1.75088'}",2026-02-21 13:00:00,"{'w': 0.5935636154148022, 'd': 0.17461898072915305, 'l': 0.23181714694479938}",d,Real Oviedo,2025,La_liga
29414,True,h,"{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '0', 'a': '1'}","{'h': '1.50089', 'a': '0.853142'}",2026-02-28 20:00:00,"{'w': 0.5246848795957493, 'd': 0.26155261249379036, 'l': 0.2137625078273636}",l,Real Oviedo,2025,La_liga
29385,True,a,"{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'h': '3', 'a': '0'}","{'h': '2.55086', 'a': '1.01052'}",2026-03-04 18:00:00,"{'w': 0.7066323446196894, 'd': 0.16471021895988092, 'l': 0.12865734718778993}",l,Real Oviedo,2025,La_liga
29421,True,a,"{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'h': '1', 'a': '1'}","{'h': '1.55092', 'a': '0.886689'}",2026-03-09 20:00:00,"{'w': 0.5290987326181695, 'd': 0.2557104839102599, 'l': 0.21519078334186376}",d,Real Oviedo,2025,La_liga
