id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
6637,Hugo Duro,33,1752,9,9.25577761232853,0,1.675361756235361,34,16,4,1,F S,Valencia,8,7.769222363829613,10.15030112117529,2.674969846382737,Valencia,2025,La_liga
10975,Largie Ramazani,24,1130,6,6.189914979040623,1,2.096711148507893,45,16,4,0,F M S,Valencia,3,3.960082095116377,9.194128589704633,3.8336282912641764,Valencia,2025,La_liga
1450,Umar Sadiq,17,828,4,4.755841381847858,2,1.409347651526332,25,9,3,0,F S,Valencia,4,4.755841381847858,7.165747253224254,1.5916851498186588,Valencia,2025,La_liga
8066,Arnaut Danjuma Groeneveld,30,1612,3,5.226826310157776,2,4.247381461784244,36,17,0,0,F M S,Valencia,3,4.483548700809479,9.88978798687458,2.371374111622572,Valencia,2025,La_liga
9694,Diego López,31,1555,3,2.8253196077421308,0,1.4580481592565775,23,13,2,0,F M S,Valencia,3,2.8253196077421308,6.415975991636515,2.4637885484844446,Valencia,2025,La_liga
2551,Pepelu,28,2088,2,3.2611941751092672,0,1.2045606933534145,23,20,4,0,D M S,Valencia,1,1.031361309811473,6.721371200866997,6.272539014928043,Valencia,2025,La_liga
7870,Luis Rioja,34,2417,2,2.0486799478530884,6,4.130422729998827,38,34,1,0,D F M S,Valencia,2,2.0486799478530884,9.899758122861385,5.140784487128258,Valencia,2025,La_liga
8267,Guido Rodríguez,13,1040,2,0.648954477161169,0,0.35411210358142853,12,7,4,0,M S,Valencia,2,0.648954477161169,3.768604515120387,3.1692177802324295,Valencia,2025,La_liga
10382,Eray Cömert,15,1176,2,1.5080215353518724,0,0.19856468308717012,10,4,3,0,D S,Valencia,2,1.5080215353518724,5.514007914811373,4.407059725373983,Valencia,2025,La_liga
2505,José Gayá,31,2425,1,0.7618178110569715,2,2.3250836580991745,13,24,6,1,D S,Valencia,1,0.7618178110569715,6.792367362417281,4.406070718541741,Valencia,2025,La_liga
5654,Baptiste Santamaria,19,731,1,0.516353402286768,1,0.7424618415534496,6,4,2,0,M S,Valencia,1,0.516353402286768,2.4516765056177974,2.2059513302519917,Valencia,2025,La_liga
5666,Mouctar Diakhaby,8,539,1,0.632166750729084,0,0.05504954606294632,4,1,3,0,D S,Valencia,1,0.632166750729084,1.056779257953167,1.0017297193408012,Valencia,2025,La_liga
10322,Javier Guerra,33,1842,1,1.8387086540460587,5,2.8639656454324722,20,25,3,0,M S,Valencia,1,1.8387086540460587,8.499953912571073,5.349951175972819,Valencia,2025,La_liga
11900,Lucas Beltrán,27,1377,1,4.7564667742699385,2,1.9911325313150883,34,14,1,0,F S,Valencia,1,4.7564667742699385,9.75975489616394,3.336976980790496,Valencia,2025,La_liga
2509,Dimitri Foulquier,15,1149,0,0.42501132003962994,0,0.23674864694476128,6,6,1,0,D S,Valencia,0,0.42501132003962994,4.307144995778799,4.124748399481177,Valencia,2025,La_liga
2619,Stole Dimitrievski,17,1530,0,0,0,0,0,0,1,0,GK,Valencia,0,0,2.347039538435638,2.347039538435638,Valencia,2025,La_liga
5199,Raba,13,247,0,0.37002735026180744,1,0.3187341094017029,9,2,0,0,F S,Valencia,0,0.37002735026180744,0.6549640549346805,0.2562267566099763,Valencia,2025,La_liga
6149,Unai Núñez,10,690,0,0.18561773281544447,0,0.06616828590631485,5,1,2,0,D S,Valencia,0,0.18561773281544447,1.892868459224701,1.8761444985866547,Valencia,2025,La_liga
8058,Thierry Correia,22,1369,0,0.2800837680697441,1,1.2597638685256243,5,11,5,0,D S,Valencia,0,0.2800837680697441,5.19910822995007,4.133561937138438,Valencia,2025,La_liga
9217,Jesús Vázquez,21,737,0,0.2909505907446146,0,0.7675844579935074,8,9,2,0,D S,Valencia,0,0.2909505907446146,3.782263556495309,2.9493691325187683,Valencia,2025,La_liga
9824,Julen Agirrezabala,18,1620,0,0,0,0.013403872959315777,0,1,1,0,GK,Valencia,0,0,0.8106938730925322,0.8106938730925322,Valencia,2025,La_liga
10107,César Tárrega,29,2318,0,0.3752051740884781,0,0.09015997312963009,9,2,6,0,D S,Valencia,0,0.3752051740884781,5.194022889249027,5.128912757150829,Valencia,2025,La_liga
10155,Rubén Iranzo,1,1,0,0,0,0,0,0,0,0,S,Valencia,0,0,0,0,Valencia,2025,La_liga
10982,Copete,21,1767,0,1.9447047151625156,0,0.1642674310132861,13,5,5,0,D S,Valencia,0,1.9447047151625156,4.536973598413169,4.47673115786165,Valencia,2025,La_liga
11057,André Almeida,20,1004,0,0.874655444175005,1,2.119982209056616,9,18,0,0,F M S,Valencia,0,0.874655444175005,5.850292385555804,3.854348685592413,Valencia,2025,La_liga
13761,Filip Ugrinic,24,1321,0,0.5374112483114004,3,3.3106959955766797,18,21,3,0,F M S,Valencia,0,0.5374112483114004,5.440614495426416,4.0966213112697005,Valencia,2025,La_liga
14518,Renzo Saravia,4,327,0,0.016542766243219376,0,0.01865043118596077,1,1,1,0,D S,Valencia,0,0.016542766243219376,0.7219611704349518,0.7054184079170227,Valencia,2025,La_liga
