id,isResult,h,a,goals,xG,datetime,forecast,season,league
6185,True,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '2', 'a': '2'}","{'h': '1.36787', 'a': '2.65538'}",2014-08-08 19:30:00,"{'w': '0.1036', 'd': '0.195', 'l': '0.7014'}",2014,Ligue_1
6186,True,"{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'h': '3', 'a': '3'}","{'h': '1.39689', 'a': '1.31751'}",2014-08-09 20:00:00,"{'w': '0.3542', 'd': '0.3444', 'l': '0.3014'}",2014,Ligue_1
6187,True,"{'id': '209', 'title': 'Evian Thonon Gaillard', 'short_title': 'EVI'}","{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'h': '0', 'a': '3'}","{'h': '0.813737', 'a': '1.23869'}",2014-08-09 20:00:00,"{'w': '0.2105', 'd': '0.327', 'l': '0.4625'}",2014,Ligue_1
6188,True,"{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'h': '0', 'a': '2'}","{'h': '0.63294', 'a': '1.49532'}",2014-08-09 20:00:00,"{'w': '0.0911', 'd': '0.2592', 'l': '0.6497'}",2014,Ligue_1
6189,True,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'h': '0', 'a': '0'}","{'h': '1.54468', 'a': '0.0571371'}",2014-08-09 20:00:00,"{'w': '0.8257', 'd': '0.1646', 'l': '0.0097'}",2014,Ligue_1
6190,True,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'h': '0', 'a': '1'}","{'h': '1.01756', 'a': '0.750184'}",2014-08-09 20:00:00,"{'w': '0.4117', 'd': '0.3367', 'l': '0.2516'}",2014,Ligue_1
6191,True,"{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'id': '210', 'title': 'Lens', 'short_title': 'LEN'}","{'h': '1', 'a': '0'}","{'h': '1.025', 'a': '0.167128'}",2014-08-09 20:00:00,"{'w': '0.6216', 'd': '0.3219', 'l': '0.0565'}",2014,Ligue_1
6192,True,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'h': '3', 'a': '2'}","{'h': '2.21481', 'a': '1.56361'}",2014-08-09 20:00:00,"{'w': '0.5335', 'd': '0.2564', 'l': '0.2101'}",2014,Ligue_1
6193,True,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'h': '2', 'a': '0'}","{'h': '2.064', 'a': '0.375946'}",2014-08-10 16:00:00,"{'w': '0.8463', 'd': '0.1244', 'l': '0.0293'}",2014,Ligue_1
6194,True,"{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'h': '1', 'a': '2'}","{'h': '2.09333', 'a': '1.6254'}",2014-08-10 20:00:00,"{'w': '0.491', 'd': '0.2799', 'l': '0.2291'}",2014,Ligue_1
6195,True,"{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'h': '0', 'a': '1'}","{'h': '0.273799', 'a': '0.945961'}",2014-08-15 19:30:00,"{'w': '0.0739', 'd': '0.2935', 'l': '0.6326'}",2014,Ligue_1
6196,True,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'h': '2', 'a': '0'}","{'h': '1.50758', 'a': '0.164539'}",2014-08-16 16:00:00,"{'w': '0.7577', 'd': '0.2083', 'l': '0.034'}",2014,Ligue_1
