id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
3532,Herve Bazile,30,1749,7,4.7878836914896965,3,2.9531450886279345,49,29,4,0,M S,Caen,7,4.7878836914896965,8.279433015733957,1.6639312226325274,Caen,2014,Ligue_1
3478,Sloan Privat,20,980,6,5.9156698659062386,1,0.9310686951503158,40,9,1,0,F S,Caen,6,5.9156698659062386,4.586867148987949,0.8935751039534807,Caen,2014,Ligue_1
4787,Mathieu Duhamel,19,1340,6,6.629697343334556,0,0.2882592957466841,43,8,0,0,F S,Caen,4,5.109575362876058,5.76389779150486,0.5842401841655374,Caen,2014,Ligue_1
3406,Emiliano Sala,13,774,5,4.044649749994278,1,0.7364667877554893,23,7,1,0,F S,Caen,4,3.284554749727249,3.3556503634899855,0.42383161280304193,Caen,2014,Ligue_1
3527,Julien Féret,37,2923,5,3.0112998010590672,5,4.6414368115365505,34,64,3,0,M S,Caen,3,1.4911094130948186,12.034178048372269,7.985823810100555,Caen,2014,Ligue_1
3564,Lenny Nangis,34,2258,4,2.5444437796249986,2,2.262972893193364,44,19,3,1,M S,Caen,4,2.5444437796249986,7.075045987032354,2.8862678669393063,Caen,2014,Ligue_1
3574,Nicolas Benezet,12,570,4,1.0520410165190697,1,0.9405565867200494,14,12,0,0,M S,Caen,4,1.0520410165190697,2.611938241869211,1.3290588147938251,Caen,2014,Ligue_1
4706,Bangaly-Fodé Koita,29,1853,3,4.471452534198761,2,2.2702602073550224,61,20,1,0,F M S,Caen,2,3.711357533931732,6.307455884292722,1.4288426116108894,Caen,2014,Ligue_1
751,N&#039;Golo Kanté,37,3185,2,1.5944025442004204,5,2.4953304855152965,35,45,4,1,M S,Caen,2,1.5944025442004204,8.968396056443453,5.657304894179106,Caen,2014,Ligue_1
3524,Alaeddine Yahia,18,1320,2,2.009189624339342,0,0.12516089901328087,10,2,3,1,D S,Caen,2,2.009189624339342,1.3577990913763642,1.3577990913763642,Caen,2014,Ligue_1
4792,Jean Calvé,16,1336,2,0.5160795878618956,1,0.7526075001806021,12,12,0,0,D S,Caen,2,0.5160795878618956,1.8130742963403463,1.5425639934837818,Caen,2014,Ligue_1
3425,Thomas Lemar,25,706,1,0.6385813383385539,4,2.7979210428893566,15,23,1,0,M S,Caen,1,0.6385813383385539,3.4674875531345606,2.0497749904170632,Caen,2014,Ligue_1
3542,Damien Da Silva,35,3076,1,0.9055912978947163,1,0.17427209578454494,14,4,5,1,D,Caen,1,0.9055912978947163,1.3936902955174446,1.282260300591588,Caen,2014,Ligue_1
3543,Nicolas Seube,24,1890,1,0.6983886025846004,2,1.2451340779662132,15,13,3,0,D M S,Caen,1,0.6983886025846004,3.065783927217126,2.1531705176457763,Caen,2014,Ligue_1
3548,Florian Raspentino,17,832,1,0.7339951964095235,2,0.8151220045983791,17,7,1,0,M S,Caen,1,0.7339951964095235,2.52741489559412,1.0110758151859045,Caen,2014,Ligue_1
3572,Yrondu Musavu-King,6,482,1,0.45965228974819183,0,0,5,0,0,0,D,Caen,1,0.45965228974819183,0.23726889956742525,0.23726889956742525,Caen,2014,Ligue_1
3520,Rémy Vercoutre,38,3420,0,0,0,0,0,0,0,0,GK,Caen,0,0,1.046350951306522,1.046350951306522,Caen,2014,Ligue_1
3521,Dennis Appiah,30,2573,0,0.05376940034329891,2,1.3735686801373959,2,12,3,1,D S,Caen,0,0.05376940034329891,4.637733866460621,4.22437197715044,Caen,2014,Ligue_1
3522,Jordan Adeoti,28,1729,0,0.3565658936277032,1,0.4294804045930505,12,14,5,0,D M S,Caen,0,0.3565658936277032,1.9357983190566301,1.4650904089212418,Caen,2014,Ligue_1
3622,Emmanuel Imorou,30,2643,0,1.4149013236165047,1,1.8908836664631963,7,23,3,0,D,Caen,0,1.4149013236165047,5.469267969951034,2.9785251319408417,Caen,2014,Ligue_1
4705,Felipe Saad,10,702,0,0.31956030055880547,0,0.048757098615169525,5,1,2,0,D S,Caen,0,0.31956030055880547,0.7730177044868469,0.7242607027292252,Caen,2014,Ligue_1
4819,José Saez,2,68,0,0.04664440080523491,0,0,2,0,0,0,M S,Caen,0,0.04664440080523491,0.09548339992761612,0.04883899912238121,Caen,2014,Ligue_1
4838,Jean-Jacques Pierre,12,969,0,0.12444660067558289,1,0.540061816573143,2,2,0,1,D S,Caen,0,0.12444660067558289,1.066896002739668,1.066896002739668,Caen,2014,Ligue_1
