id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
6186,True,h,"{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'h': '3', 'a': '3'}","{'h': '1.39689', 'a': '1.31751'}",2014-08-09 20:00:00,"{'w': 0.38966974786398695, 'd': 0.2571500276624261, 'l': 0.3531802244284627}",d,SC Bastia,2014,Ligue_1
6196,True,a,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'h': '2', 'a': '0'}","{'h': '1.50758', 'a': '0.164539'}",2014-08-16 16:00:00,"{'w': 0.7247659524511263, 'd': 0.2374160563554671, 'l': 0.03781799110516301}",l,SC Bastia,2014,Ligue_1
6211,True,h,"{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'h': '1', 'a': '0'}","{'h': '1.14876', 'a': '0.714399'}",2014-08-23 19:00:00,"{'w': 0.46038016351415123, 'd': 0.31117278104015433, 'l': 0.2284470554436014}",w,SC Bastia,2014,Ligue_1
6222,True,a,"{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'h': '1', 'a': '1'}","{'h': '1.35871', 'a': '1.03398'}",2014-08-31 13:00:00,"{'w': 0.4422220835041712, 'd': 0.2725495820988467, 'l': 0.2852283343751889}",d,SC Bastia,2014,Ligue_1
6151,True,h,"{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'id': '210', 'title': 'Lens', 'short_title': 'LEN'}","{'h': '1', 'a': '1'}","{'h': '0.689205', 'a': '0.302581'}",2014-09-13 19:00:00,"{'w': 0.40312248951154367, 'd': 0.4523914471558168, 'l': 0.144486063332638}",d,SC Bastia,2014,Ligue_1
6158,True,a,"{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'h': '3', 'a': '1'}","{'h': '1.75071', 'a': '0.445841'}",2014-09-20 19:00:00,"{'w': 0.695503800799962, 'd': 0.21644825405548893, 'l': 0.0880479444818109}",l,SC Bastia,2014,Ligue_1
6172,True,h,"{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'h': '0', 'a': '0'}","{'h': '0.328904', 'a': '1.6641'}",2014-09-24 18:00:00,"{'w': 0.06807924063354573, 'd': 0.2217275333703853, 'l': 0.7101932256604526}",d,SC Bastia,2014,Ligue_1
6179,True,a,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'h': '1', 'a': '0'}","{'h': '0.668915', 'a': '0.464606'}",2014-09-27 19:00:00,"{'w': 0.3509582867380368, 'd': 0.4299842285327636, 'l': 0.21905748472919873}",l,SC Bastia,2014,Ligue_1
6117,True,h,"{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'h': '0', 'a': '2'}","{'h': '0.307003', 'a': '0.692365'}",2014-10-04 19:00:00,"{'w': 0.146087911282831, 'd': 0.45061464571086024, 'l': 0.40329744300630677}",l,SC Bastia,2014,Ligue_1
6130,True,a,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'h': '0', 'a': '1'}","{'h': '0.814842', 'a': '0.15312'}",2014-10-18 19:00:00,"{'w': 0.504497341913326, 'd': 0.4287495312018309, 'l': 0.06675312688482615}",w,SC Bastia,2014,Ligue_1
6137,True,h,"{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '1', 'a': '3'}","{'h': '0.983475', 'a': '2.2563'}",2014-10-25 19:00:00,"{'w': 0.15120098401274845, 'd': 0.188013556755411, 'l': 0.6607854406146669}",l,SC Bastia,2014,Ligue_1
6078,True,a,"{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'h': '1', 'a': '0'}","{'h': '0.67025', 'a': '0.427032'}",2014-11-01 19:00:00,"{'w': 0.3610771481926482, 'd': 0.4363672784991963, 'l': 0.2025555733081543}",l,SC Bastia,2014,Ligue_1
6088,True,h,"{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'h': '2', 'a': '0'}","{'h': '1.50095', 'a': '0.550295'}",2014-11-08 19:00:00,"{'w': 0.6064616958177317, 'd': 0.25882192527580133, 'l': 0.13471637882335674}",w,SC Bastia,2014,Ligue_1
6096,True,h,"{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '0', 'a': '0'}","{'h': '0.449604', 'a': '0.345597'}",2014-11-22 16:00:00,"{'w': 0.27519741578798645, 'd': 0.5244165248110295, 'l': 0.20038605940098375}",d,SC Bastia,2014,Ligue_1
6106,True,a,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'h': '2', 'a': '1'}","{'h': '1.08343', 'a': '1.13102'}",2014-11-29 19:00:00,"{'w': 0.3430204595904118, 'd': 0.2900705927710449, 'l': 0.3669089476359371}",l,SC Bastia,2014,Ligue_1
6042,True,h,"{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'id': '209', 'title': 'Evian Thonon Gaillard', 'short_title': 'EVI'}","{'h': '1', 'a': '2'}","{'h': '1.69568', 'a': '1.15876'}",2014-12-03 18:00:00,"{'w': 0.4992964789807558, 'd': 0.24007482204728983, 'l': 0.26062869853754184}",l,SC Bastia,2014,Ligue_1
6049,True,a,"{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'h': '1', 'a': '0'}","{'h': '0.855599', 'a': '1.38223'}",2014-12-06 19:00:00,"{'w': 0.23234757075106066, 'd': 0.2754518256460674, 'l': 0.49220060357586615}",l,SC Bastia,2014,Ligue_1
