id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
3328,Floyd Ayité,30,2338,6,3.513706710189581,2,3.020284323953092,55,28,4,0,F M S,SC Bastia,6,3.513706710189581,6.143291769549251,1.577999895438552,SC Bastia,2014,Ligue_1
3228,Giovanni Sio,13,811,5,2.510236607864499,0,0.5407335087656975,20,8,2,1,F M S,SC Bastia,5,2.510236607864499,2.574869018048048,0.2276895008981228,SC Bastia,2014,Ligue_1
3343,Ryad Boudebouz,34,2831,5,5.019434918649495,3,3.0580126075074077,37,50,3,0,F M S,SC Bastia,1,1.9790554074570537,8.125069098547101,5.476349273696542,SC Bastia,2014,Ligue_1
3333,Francois Kamano,24,1501,4,3.7552436953410506,3,2.0817224755883217,35,15,3,1,F M S,SC Bastia,4,3.7552436953410506,5.955293926410377,1.167400524020195,SC Bastia,2014,Ligue_1
3368,Junior Tallo,16,953,4,4.194200612604618,0,0.1863700021058321,26,5,4,0,F S,SC Bastia,3,3.4341056421399117,2.825006779283285,0.4768815040588379,SC Bastia,2014,Ligue_1
3659,Christopher Maboulou,20,1146,3,2.1080412119627,0,0.623933813534677,14,10,1,0,F M S,SC Bastia,3,2.1080412119627,2.308703266084194,0.5351601894944906,SC Bastia,2014,Ligue_1
3319,Francois Modesto,29,2300,2,2.1770846284925938,0,0.2954939045011997,7,5,3,0,D M S,SC Bastia,2,2.1770846284925938,2.4330545645207167,2.1733246725052595,SC Bastia,2014,Ligue_1
3403,Guillaume Gillet,38,3350,2,2.076577642932534,2,2.4522477788850665,26,18,6,0,D M S,SC Bastia,2,2.076577642932534,4.132863720878959,2.6577127147465944,SC Bastia,2014,Ligue_1
3546,Julian Palmieri,35,2949,2,0.7436115043237805,1,1.3279390819370747,9,14,9,0,D M S,SC Bastia,2,0.7436115043237805,4.269633026793599,2.3427910022437572,SC Bastia,2014,Ligue_1
3325,Yannick Cahuzac,21,1751,1,0.3248907998204231,2,0.4598840959370136,11,10,6,2,M,SC Bastia,1,0.3248907998204231,2.1299786157906055,1.6123255025595427,SC Bastia,2014,Ligue_1
3329,Gaël Danic,15,1095,1,0.6125592067837715,4,0.8710980042815208,16,12,2,0,F M S,SC Bastia,1,0.6125592067837715,2.582732755690813,1.743410574272275,SC Bastia,2014,Ligue_1
2310,Alphonse Areola,35,3150,0,0,0,0.1052590012550354,0,1,1,0,GK,SC Bastia,0,0,2.030615192838013,2.030615192838013,SC Bastia,2014,Ligue_1
3318,Jean-Louis Leca,3,270,0,0,0,0,0,0,1,0,GK,SC Bastia,0,0,0.01920579932630062,0.01920579932630062,SC Bastia,2014,Ligue_1
3320,Mathieu Peybernes,30,2327,0,0.06207349896430969,2,0.6531433928757906,1,6,3,0,D S,SC Bastia,0,0.06207349896430969,1.961642412468791,1.7147896122187376,SC Bastia,2014,Ligue_1
3321,Sébastien Squillaci,25,2109,0,0.9861612021923065,0,0,13,0,6,0,D,SC Bastia,0,0.9861612021923065,1.291157092899084,1.1967504024505615,SC Bastia,2014,Ligue_1
3322,Alexander Djiku,2,180,0,0.019857199862599373,0,0.6184051968157291,1,2,0,0,D,SC Bastia,0,0.019857199862599373,0.1292605996131897,0.1292605996131897,SC Bastia,2014,Ligue_1
3323,Florian Marange,18,1417,0,0.025242400355637074,0,0.33088729716837406,2,8,2,0,D S,SC Bastia,0,0.025242400355637074,2.027909990400076,1.8307547979056835,SC Bastia,2014,Ligue_1
3327,Brandão,9,578,0,0.8955382220447063,0,0.298589700832963,8,7,2,0,F S,SC Bastia,0,0.8955382220447063,1.2177700214087963,0.17139069363474846,SC Bastia,2014,Ligue_1
3330,Abdoulaye Keita,5,191,0,0.13478880003094673,1,0.5258280038833618,4,1,0,0,M S,SC Bastia,0,0.13478880003094673,0.9092400930821896,0.26453399658203125,SC Bastia,2014,Ligue_1
3597,Gilles Cioni,14,1002,0,0.027738599106669426,0,0.2086746972054243,2,5,2,0,D S,SC Bastia,0,0.027738599106669426,1.9253147952258587,1.7543042972683907,SC Bastia,2014,Ligue_1
3598,Hervin Ongenda,16,693,0,0.39411665219813585,0,0.06623820029199123,10,3,1,0,F M S,SC Bastia,0,0.39411665219813585,0.5095338951796293,0.22173020243644714,SC Bastia,2014,Ligue_1
3658,Julien Romain,1,28,0,0,0,0,0,0,0,0,S,SC Bastia,0,0,0,0,SC Bastia,2014,Ligue_1
3755,Lyes Houri,1,6,0,0,0,0,0,0,0,0,S,SC Bastia,0,0,0,0,SC Bastia,2014,Ligue_1
4723,Drissa Diakité,22,1818,0,0.07075860351324081,0,0.19996010325849056,1,5,6,1,D M,SC Bastia,0,0.07075860351324081,2.784733969718218,2.5857325606048107,SC Bastia,2014,Ligue_1
4724,Romaric,26,1459,0,0.40384990349411964,0,0.2219459004700184,7,4,3,0,D M S,SC Bastia,0,0.40384990349411964,0.6796746980398893,0.5135642010718584,SC Bastia,2014,Ligue_1
4789,El-Hadji Ba,7,575,0,0.027974100783467293,0,0.052650101482868195,1,1,2,0,M,SC Bastia,0,0.027974100783467293,0.6731522865593433,0.5925272889435291,SC Bastia,2014,Ligue_1
4795,Djibril Cissé,8,59,0,0.19045119732618332,0,0.011379299685359001,2,1,0,0,S,SC Bastia,0,0.19045119732618332,0.0846915002912283,0,SC Bastia,2014,Ligue_1
4797,Famoussa Kone,4,253,0,0.8175547905266285,0,0.020914100110530853,6,1,1,0,F S,SC Bastia,0,0.8175547905266285,0.8654110878705978,0.026942100375890732,SC Bastia,2014,Ligue_1
4850,Juan Pablo Pino,4,161,0,0.2375923991203308,0,0.1805281937122345,4,3,1,0,M S,SC Bastia,0,0.2375923991203308,0.4553053081035614,0.1029369980096817,SC Bastia,2014,Ligue_1
4870,Joao Rodríguez,5,54,0,0.02899719960987568,0,0.011735900305211544,1,1,1,0,S,SC Bastia,0,0.02899719960987568,0.04073309991508722,0,SC Bastia,2014,Ligue_1
4871,Benjamin Mokulu Tembe,4,71,0,0,0,0,0,0,0,0,S,SC Bastia,0,0,0,0,SC Bastia,2014,Ligue_1
