id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
1871,True,a,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'h': '0', 'a': '1'}","{'h': '2.17995', 'a': '0.945659'}",2015-08-08 23:00:00,"{'w': 0.6550236087380585, 'd': 0.19326513488525324, 'l': 0.15171124445161935}",w,Caen,2015,Ligue_1
1884,True,h,"{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'h': '1', 'a': '0'}","{'h': '1.53584', 'a': '1.12809'}",2015-08-15 22:00:00,"{'w': 0.46690731215938674, 'd': 0.25390967154563915, 'l': 0.27918301617979036}",w,Caen,2015,Ligue_1
1892,True,a,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'h': '2', 'a': '1'}","{'h': '1.09734', 'a': '0.951564'}",2015-08-22 22:00:00,"{'w': 0.3862949218167519, 'd': 0.30292966364484863, 'l': 0.310775414537147}",l,Caen,2015,Ligue_1
1900,True,h,"{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '0', 'a': '4'}","{'h': '0.850493', 'a': '1.09462'}",2015-08-29 19:00:00,"{'w': 0.28030050224461356, 'd': 0.31044856355405565, 'l': 0.4092509342002344}",l,Caen,2015,Ligue_1
1914,True,a,"{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'h': '1', 'a': '3'}","{'h': '0.404312', 'a': '1.61264'}",2015-09-12 22:00:00,"{'w': 0.08869326884030328, 'd': 0.23502599713086897, 'l': 0.6762807338090285}",w,Caen,2015,Ligue_1
1923,True,h,"{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'h': '2', 'a': '1'}","{'h': '1.66361', 'a': '1.02822'}",2015-09-19 22:00:00,"{'w': 0.5223116754288456, 'd': 0.24372266119735503, 'l': 0.23396566303906674}",w,Caen,2015,Ligue_1
1933,True,a,"{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'h': '2', 'a': '0'}","{'h': '1.06626', 'a': '0.719549'}",2015-09-23 21:00:00,"{'w': 0.4328770521045797, 'd': 0.3231757881545372, 'l': 0.24394715974014217}",l,Caen,2015,Ligue_1
1943,True,h,"{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'id': '173', 'title': 'GFC Ajaccio', 'short_title': 'AJA'}","{'h': '2', 'a': '0'}","{'h': '2.22963', 'a': '0.270893'}",2015-09-26 22:00:00,"{'w': 0.8267529731652434, 'd': 0.13959867938630743, 'l': 0.03364833148208868}",w,Caen,2015,Ligue_1
1955,True,h,"{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'h': '1', 'a': '0'}","{'h': '1.48946', 'a': '0.761122'}",2015-10-04 19:00:00,"{'w': 0.5456019325712725, 'd': 0.26317942249652104, 'l': 0.19121864485734147}",w,Caen,2015,Ligue_1
1961,True,a,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'h': '0', 'a': '1'}","{'h': '0.54891', 'a': '1.33623'}",2015-10-17 22:00:00,"{'w': 0.15261345874963236, 'd': 0.2853141077703452, 'l': 0.5620724334630764}",w,Caen,2015,Ligue_1
