id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
1875,True,a,"{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'id': '173', 'title': 'GFC Ajaccio', 'short_title': 'AJA'}","{'h': '0', 'a': '0'}","{'h': '0.394458', 'a': '1.05977'}",2015-08-08 23:00:00,"{'w': 0.13655327909498616, 'd': 0.34191675294661306, 'l': 0.5215299679577224}",d,GFC Ajaccio,2015,Ligue_1
1888,True,a,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '173', 'title': 'GFC Ajaccio', 'short_title': 'AJA'}","{'h': '2', 'a': '0'}","{'h': '1.58401', 'a': '0.150143'}",2015-08-16 23:00:00,"{'w': 0.7468489213829752, 'd': 0.22110160188782416, 'l': 0.032049476556649394}",l,GFC Ajaccio,2015,Ligue_1
1895,True,h,"{'id': '173', 'title': 'GFC Ajaccio', 'short_title': 'AJA'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '0', 'a': '2'}","{'h': '0.384935', 'a': '1.15678'}",2015-08-22 22:00:00,"{'w': 0.122982475437252, 'd': 0.32045923249617714, 'l': 0.556558292064268}",l,GFC Ajaccio,2015,Ligue_1
1901,True,a,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '173', 'title': 'GFC Ajaccio', 'short_title': 'AJA'}","{'h': '1', 'a': '0'}","{'h': '0.756427', 'a': '0.397943'}",2015-08-29 22:00:00,"{'w': 0.40564563232766543, 'd': 0.4175375732177727, 'l': 0.176816794454556}",l,GFC Ajaccio,2015,Ligue_1
1916,True,h,"{'id': '173', 'title': 'GFC Ajaccio', 'short_title': 'AJA'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '0', 'a': '1'}","{'h': '0.970684', 'a': '2.98213'}",2015-09-13 16:00:00,"{'w': 0.09115117117761298, 'd': 0.1305740729829026, 'l': 0.7782741326971211}",l,GFC Ajaccio,2015,Ligue_1
1924,True,a,"{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'id': '173', 'title': 'GFC Ajaccio', 'short_title': 'AJA'}","{'h': '2', 'a': '1'}","{'h': '1.31453', 'a': '0.222122'}",2015-09-19 22:00:00,"{'w': 0.6559674187676074, 'd': 0.2826423822645718, 'l': 0.06139019895429379}",l,GFC Ajaccio,2015,Ligue_1
1935,True,h,"{'id': '173', 'title': 'GFC Ajaccio', 'short_title': 'AJA'}","{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'h': '1', 'a': '1'}","{'h': '0.502333', 'a': '1.6963'}",2015-09-23 21:00:00,"{'w': 0.10480237322300695, 'd': 0.22765277746300105, 'l': 0.6675448488798131}",d,GFC Ajaccio,2015,Ligue_1
1943,True,a,"{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'id': '173', 'title': 'GFC Ajaccio', 'short_title': 'AJA'}","{'h': '2', 'a': '0'}","{'h': '2.22963', 'a': '0.270893'}",2015-09-26 22:00:00,"{'w': 0.8267529731652434, 'd': 0.13959867938630743, 'l': 0.03364833148208868}",l,GFC Ajaccio,2015,Ligue_1
1953,True,h,"{'id': '173', 'title': 'GFC Ajaccio', 'short_title': 'AJA'}","{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'h': '2', 'a': '2'}","{'h': '0.807682', 'a': '0.647119'}",2015-10-03 22:00:00,"{'w': 0.36137070828970347, 'd': 0.37236164895758944, 'l': 0.2662676427526918}",d,GFC Ajaccio,2015,Ligue_1
1962,True,a,"{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'id': '173', 'title': 'GFC Ajaccio', 'short_title': 'AJA'}","{'h': '2', 'a': '0'}","{'h': '0.616442', 'a': '0.0897244'}",2015-10-17 22:00:00,"{'w': 0.4311874593491789, 'd': 0.5212095935216101, 'l': 0.04760294712921057}",l,GFC Ajaccio,2015,Ligue_1
1971,True,h,"{'id': '173', 'title': 'GFC Ajaccio', 'short_title': 'AJA'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '3', 'a': '1'}","{'h': '0.65245', 'a': '0.265865'}",2015-10-24 22:00:00,"{'w': 0.3965583394892177, 'd': 0.47149763319424987, 'l': 0.13194402731653174}",w,GFC Ajaccio,2015,Ligue_1
1981,True,h,"{'id': '173', 'title': 'GFC Ajaccio', 'short_title': 'AJA'}","{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'h': '2', 'a': '0'}","{'h': '0.269548', 'a': '0.285349'}",2015-10-31 23:00:00,"{'w': 0.18422705530391315, 'd': 0.6191472804856655, 'l': 0.19662566421042116}",w,GFC Ajaccio,2015,Ligue_1
1995,True,a,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '173', 'title': 'GFC Ajaccio', 'short_title': 'AJA'}","{'h': '1', 'a': '2'}","{'h': '1.40753', 'a': '0.900066'}",2015-11-07 23:00:00,"{'w': 0.4879313345041812, 'd': 0.2715654384255363, 'l': 0.24050322703563332}",w,GFC Ajaccio,2015,Ligue_1
2005,True,a,"{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'id': '173', 'title': 'GFC Ajaccio', 'short_title': 'AJA'}","{'h': '1', 'a': '2'}","{'h': '0.561993', 'a': '1.91295'}",2015-11-22 17:00:00,"{'w': 0.10017667900730091, 'd': 0.20208195493591724, 'l': 0.6977413639034321}",w,GFC Ajaccio,2015,Ligue_1
2012,True,h,"{'id': '173', 'title': 'GFC Ajaccio', 'short_title': 'AJA'}","{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'h': '1', 'a': '1'}","{'h': '1.09623', 'a': '0.987739'}",2015-11-28 23:00:00,"{'w': 0.37774596647999376, 'd': 0.30034387190708084, 'l': 0.32191016161158503}",d,GFC Ajaccio,2015,Ligue_1
2024,True,a,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '173', 'title': 'GFC Ajaccio', 'short_title': 'AJA'}","{'h': '0', 'a': '2'}","{'h': '1.46601', 'a': '0.968115'}",2015-12-02 22:00:00,"{'w': 0.48678922056123913, 'd': 0.26387533830058474, 'l': 0.2493354410776805}",w,GFC Ajaccio,2015,Ligue_1
