id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
1873,True,a,"{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'h': '1', 'a': '0'}","{'h': '0.27314', 'a': '0.406765'}",2015-08-08 23:00:00,"{'w': 0.1677278883323118, 'd': 0.564540551778826, 'l': 0.26773155988886205}",l,Guingamp,2015,Ligue_1
1885,True,h,"{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '0', 'a': '1'}","{'h': '1.0359', 'a': '0.738048'}",2015-08-15 22:00:00,"{'w': 0.4183099694912215, 'd': 0.32637870045273104, 'l': 0.2553113300555509}",l,Guingamp,2015,Ligue_1
1894,True,a,"{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'h': '3', 'a': '0'}","{'h': '1.283', 'a': '1.37129'}",2015-08-22 22:00:00,"{'w': 0.3492803776722075, 'd': 0.260455407459191, 'l': 0.3902642148347353}",l,Guingamp,2015,Ligue_1
1899,True,h,"{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'h': '2', 'a': '0'}","{'h': '1.78623', 'a': '0.910693'}",2015-08-28 22:30:00,"{'w': 0.5802439259625963, 'd': 0.23060555732485663, 'l': 0.1891505158458442}",w,Guingamp,2015,Ligue_1
1915,True,a,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'h': '0', 'a': '1'}","{'h': '0.792313', 'a': '1.21767'}",2015-09-12 22:00:00,"{'w': 0.24081444771429314, 'd': 0.29799349382314627, 'l': 0.46119205845785277}",w,Guingamp,2015,Ligue_1
1924,True,h,"{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'id': '173', 'title': 'GFC Ajaccio', 'short_title': 'AJA'}","{'h': '2', 'a': '1'}","{'h': '1.31453', 'a': '0.222122'}",2015-09-19 22:00:00,"{'w': 0.6559674187676074, 'd': 0.2826423822645718, 'l': 0.06139019895429379}",w,Guingamp,2015,Ligue_1
1930,True,a,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'h': '3', 'a': '0'}","{'h': '3.11111', 'a': '0.415048'}",2015-09-22 23:00:00,"{'w': 0.892093116920818, 'd': 0.08157499547028788, 'l': 0.02633084386821876}",l,Guingamp,2015,Ligue_1
1946,True,h,"{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '3', 'a': '3'}","{'h': '1.34153', 'a': '1.01214'}",2015-09-27 19:00:00,"{'w': 0.4426545174177482, 'd': 0.27503521059831887, 'l': 0.28231027196568337}",d,Guingamp,2015,Ligue_1
1951,True,a,"{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'h': '0', 'a': '1'}","{'h': '1.21348', 'a': '2.19927'}",2015-10-03 22:00:00,"{'w': 0.2023245420956799, 'd': 0.20019240813987224, 'l': 0.597483036389682}",w,Guingamp,2015,Ligue_1
1964,True,h,"{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'h': '1', 'a': '1'}","{'h': '0.386919', 'a': '0.690247'}",2015-10-17 22:00:00,"{'w': 0.18188002181976848, 'd': 0.43776831403786604, 'l': 0.38035166414236377}",d,Guingamp,2015,Ligue_1
1973,True,a,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'h': '0', 'a': '0'}","{'h': '0.320128', 'a': '1.03781'}",2015-10-24 22:00:00,"{'w': 0.11314496523556991, 'd': 0.35000205241608684, 'l': 0.5368529823478381}",d,Guingamp,2015,Ligue_1
1982,True,h,"{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'h': '2', 'a': '2'}","{'h': '0.964736', 'a': '1.66937'}",2015-10-31 23:00:00,"{'w': 0.2176705274337374, 'd': 0.24316023314250046, 'l': 0.5391692390733877}",d,Guingamp,2015,Ligue_1
1993,True,a,"{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'h': '2', 'a': '1'}","{'h': '1.23155', 'a': '1.31109'}",2015-11-07 23:00:00,"{'w': 0.3476261009978893, 'd': 0.26712417424073437, 'l': 0.38524972474283287}",l,Guingamp,2015,Ligue_1
2001,True,h,"{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'h': '2', 'a': '0'}","{'h': '1.40676', 'a': '0.978971'}",2015-11-21 23:00:00,"{'w': 0.46834572737328733, 'd': 0.26966855139753226, 'l': 0.26198572119463415}",w,Guingamp,2015,Ligue_1
2016,True,a,"{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'h': '3', 'a': '0'}","{'h': '2.58964', 'a': '1.78537'}",2015-11-29 17:00:00,"{'w': 0.5535891913074404, 'd': 0.18471318092550468, 'l': 0.2616975189630103}",l,Guingamp,2015,Ligue_1
2026,True,h,"{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '1', 'a': '2'}","{'h': '0.736905', 'a': '0.872848'}",2015-12-02 22:00:00,"{'w': 0.2858490278506616, 'd': 0.3507557154793383, 'l': 0.36339525666995215}",l,Guingamp,2015,Ligue_1
2037,True,a,"{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'h': '1', 'a': '0'}","{'h': '0.696353', 'a': '0.531661'}",2015-12-06 20:00:00,"{'w': 0.3459185731900299, 'd': 0.41176067360685026, 'l': 0.24232075320311802}",l,Guingamp,2015,Ligue_1
2042,True,a,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'h': '2', 'a': '1'}","{'h': '1.53801', 'a': '0.233626'}",2015-12-12 23:00:00,"{'w': 0.7101800044280937, 'd': 0.23687148564460264, 'l': 0.052948509811546224}",l,Guingamp,2015,Ligue_1
2052,True,h,"{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'h': '0', 'a': '2'}","{'h': '0.822078', 'a': '1.13123'}",2015-12-19 23:00:00,"{'w': 0.2647889707714809, 'd': 0.30769438682009564, 'l': 0.4275166424067175}",l,Guingamp,2015,Ligue_1
2068,True,a,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'h': '0', 'a': '0'}","{'h': '1.01882', 'a': '0.492774'}",2016-01-11 00:00:00,"{'w': 0.47847242935597784, 'd': 0.3459870348092497, 'l': 0.17554053583438237}",d,Guingamp,2015,Ligue_1
2073,True,h,"{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'h': '2', 'a': '2'}","{'h': '1.21979', 'a': '0.708649'}",2016-01-16 23:00:00,"{'w': 0.48363780477994134, 'd': 0.30094732622700865, 'l': 0.21541486898823636}",d,Guingamp,2015,Ligue_1
2081,True,h,"{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'h': '1', 'a': '0'}","{'h': '2.02847', 'a': '0.201846'}",2016-01-23 23:00:00,"{'w': 0.814649157914847, 'd': 0.15622220477801793, 'l': 0.029128632646647702}",w,Guingamp,2015,Ligue_1
2095,True,a,"{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'h': '1', 'a': '2'}","{'h': '2.35913', 'a': '1.18688'}",2016-01-30 23:00:00,"{'w': 0.634339817425938, 'd': 0.18715205265784274, 'l': 0.17850809689379912}",w,Guingamp,2015,Ligue_1
