id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
1878,True,a,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'h': '0', 'a': '0'}","{'h': '1.07521', 'a': '0.766583'}",2015-08-09 23:00:00,"{'w': 0.4238094552545943, 'd': 0.31872448371585305, 'l': 0.2574660610287155}",d,Lorient,2015,Ligue_1
1887,True,h,"{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'h': '1', 'a': '1'}","{'h': '1.71708', 'a': '1.36492'}",2015-08-16 19:00:00,"{'w': 0.4584533616167948, 'd': 0.23539637026592997, 'l': 0.30615026758339314}",d,Lorient,2015,Ligue_1
1897,True,h,"{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'h': '0', 'a': '1'}","{'h': '0.548561', 'a': '2.35602'}",2015-08-23 19:00:00,"{'w': 0.06889976455966343, 'd': 0.15199586937572832, 'l': 0.7791043335988183}",l,Lorient,2015,Ligue_1
1904,True,a,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'h': '4', 'a': '1'}","{'h': '2.42331', 'a': '0.420695'}",2015-08-29 22:00:00,"{'w': 0.8181004535631792, 'd': 0.1344641630670636, 'l': 0.047435336837883924}",l,Lorient,2015,Ligue_1
1912,True,h,"{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '3', 'a': '1'}","{'h': '1.35999', 'a': '0.735923'}",2015-09-12 22:00:00,"{'w': 0.5171117158464691, 'd': 0.28045896213785393, 'l': 0.2024293219940826}",w,Lorient,2015,Ligue_1
1926,True,a,"{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'h': '2', 'a': '3'}","{'h': '1.63138', 'a': '2.11518'}",2015-09-20 19:00:00,"{'w': 0.30012090820431725, 'd': 0.20890493370529647, 'l': 0.4909741497777488}",w,Lorient,2015,Ligue_1
1933,True,h,"{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'h': '2', 'a': '0'}","{'h': '1.06626', 'a': '0.719549'}",2015-09-23 21:00:00,"{'w': 0.4328770521045797, 'd': 0.3231757881545372, 'l': 0.24394715974014217}",w,Lorient,2015,Ligue_1
1945,True,a,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'h': '2', 'a': '1'}","{'h': '1.17693', 'a': '0.508337'}",2015-09-27 19:00:00,"{'w': 0.5261125582969604, 'd': 0.31404736490990726, 'l': 0.15984007679020426}",l,Lorient,2015,Ligue_1
1956,True,h,"{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'h': '3', 'a': '2'}","{'h': '1.46745', 'a': '0.755702'}",2015-10-04 19:00:00,"{'w': 0.5412122595553138, 'd': 0.2660158658261146, 'l': 0.19277187455744818}",w,Lorient,2015,Ligue_1
1965,True,a,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'h': '1', 'a': '1'}","{'h': '1.64811', 'a': '0.513929'}",2015-10-18 16:00:00,"{'w': 0.6531275155401217, 'd': 0.23526430140128896, 'l': 0.11160818276386855}",d,Lorient,2015,Ligue_1
