id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
1871,True,h,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'h': '0', 'a': '1'}","{'h': '2.17995', 'a': '0.945659'}",2015-08-08 23:00:00,"{'w': 0.6550236087380585, 'd': 0.19326513488525324, 'l': 0.15171124445161935}",l,Marseille,2015,Ligue_1
1886,True,a,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'h': '1', 'a': '0'}","{'h': '0.941285', 'a': '0.398183'}",2015-08-16 16:00:00,"{'w': 0.4782680780952066, 'd': 0.36977099974902805, 'l': 0.1519609221556378}",l,Marseille,2015,Ligue_1
1898,True,h,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'h': '6', 'a': '0'}","{'h': '3.2103', 'a': '0.267975'}",2015-08-23 23:00:00,"{'w': 0.9223353426044334, 'd': 0.06369536858238993, 'l': 0.0139677640117174}",w,Marseille,2015,Ligue_1
1899,True,a,"{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'h': '2', 'a': '0'}","{'h': '1.78623', 'a': '0.910693'}",2015-08-28 22:30:00,"{'w': 0.5802439259625963, 'd': 0.23060555732485663, 'l': 0.1891505158458442}",l,Marseille,2015,Ligue_1
1918,True,h,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'h': '4', 'a': '1'}","{'h': '1.62468', 'a': '0.490543'}",2015-09-13 23:00:00,"{'w': 0.6542207385298802, 'd': 0.2376612400707654, 'l': 0.10811802115635044}",w,Marseille,2015,Ligue_1
1928,True,h,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '1', 'a': '1'}","{'h': '1.04752', 'a': '2.16016'}",2015-09-20 23:00:00,"{'w': 0.17380653308012256, 'd': 0.19879884274105183, 'l': 0.6273946135849202}",d,Marseille,2015,Ligue_1
1936,True,a,"{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'h': '1', 'a': '1'}","{'h': '0.863681', 'a': '0.649146'}",2015-09-23 23:00:00,"{'w': 0.3814397404936892, 'd': 0.3622189115048119, 'l': 0.2563413480014605}",d,Marseille,2015,Ligue_1
1944,True,h,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '1', 'a': '2'}","{'h': '1.57087', 'a': '1.09501'}",2015-09-27 16:00:00,"{'w': 0.4834537493332891, 'd': 0.2515536042560815, 'l': 0.2649926462553995}",l,Marseille,2015,Ligue_1
1957,True,a,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'h': '2', 'a': '1'}","{'h': '3.63872', 'a': '1.77639'}",2015-10-04 23:00:00,"{'w': 0.7205308073273338, 'd': 0.13073391633564935, 'l': 0.14872855429161444}",l,Marseille,2015,Ligue_1
1965,True,h,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'h': '1', 'a': '1'}","{'h': '1.64811', 'a': '0.513929'}",2015-10-18 16:00:00,"{'w': 0.6531275155401217, 'd': 0.23526430140128896, 'l': 0.11160818276386855}",d,Marseille,2015,Ligue_1
1975,True,a,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'h': '1', 'a': '2'}","{'h': '0.975881', 'a': '1.30852'}",2015-10-25 20:00:00,"{'w': 0.278127052774535, 'd': 0.2797731557756709, 'l': 0.4420997914368821}",w,Marseille,2015,Ligue_1
1987,True,a,"{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'h': '0', 'a': '1'}","{'h': '0.376484', 'a': '0.538246'}",2015-11-02 00:00:00,"{'w': 0.2011194943420506, 'd': 0.4860143244718845, 'l': 0.3128661811860652}",w,Marseille,2015,Ligue_1
