id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
1872,True,h,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '0', 'a': '2'}","{'h': '0.706047', 'a': '1.54499'}",2015-08-08 23:00:00,"{'w': 0.16976636766525036, 'd': 0.25553254236577727, 'l': 0.5747010898458802}",l,Montpellier,2015,Ligue_1
1882,True,a,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'h': '1', 'a': '0'}","{'h': '0.718904', 'a': '0.161006'}",2015-08-15 22:00:00,"{'w': 0.4591322191348315, 'd': 0.46424219241900394, 'l': 0.07662558844616177}",l,Montpellier,2015,Ligue_1
1889,True,h,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '0', 'a': '1'}","{'h': '0.372892', 'a': '0.755727'}",2015-08-21 22:30:00,"{'w': 0.1664096864529654, 'd': 0.4212645772262565, 'l': 0.41232573632077235}",l,Montpellier,2015,Ligue_1
1902,True,a,"{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'h': '0', 'a': '0'}","{'h': '0.853602', 'a': '0.768639'}",2015-08-29 22:00:00,"{'w': 0.34923905395153815, 'd': 0.34987343602698107, 'l': 0.3008875100214419}",d,Montpellier,2015,Ligue_1
1911,True,h,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'h': '1', 'a': '2'}","{'h': '1.54974', 'a': '1.00785'}",2015-09-12 22:00:00,"{'w': 0.4988480909715588, 'd': 0.2548410634684601, 'l': 0.24631084543132556}",l,Montpellier,2015,Ligue_1
1923,True,a,"{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'h': '2', 'a': '1'}","{'h': '1.66361', 'a': '1.02822'}",2015-09-19 22:00:00,"{'w': 0.5223116754288456, 'd': 0.24372266119735503, 'l': 0.23396566303906674}",l,Montpellier,2015,Ligue_1
1937,True,h,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '2', 'a': '3'}","{'h': '1.82333', 'a': '2.34549'}",2015-09-24 20:55:00,"{'w': 0.30368327447023863, 'd': 0.19670096075636975, 'l': 0.4996157329795386}",l,Montpellier,2015,Ligue_1
1945,True,h,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'h': '2', 'a': '1'}","{'h': '1.17693', 'a': '0.508337'}",2015-09-27 19:00:00,"{'w': 0.5261125582969604, 'd': 0.31404736490990726, 'l': 0.15984007679020426}",w,Montpellier,2015,Ligue_1
1949,True,a,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'h': '2', 'a': '0'}","{'h': '1.81242', 'a': '1.10281'}",2015-10-02 22:30:00,"{'w': 0.539804760047966, 'd': 0.23028000164501922, 'l': 0.2299152372537105}",l,Montpellier,2015,Ligue_1
1966,True,a,"{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'h': '0', 'a': '0'}","{'h': '0.93038', 'a': '0.338106'}",2015-10-18 19:00:00,"{'w': 0.49224342203355176, 'd': 0.3769371476084855, 'l': 0.13081943035785437}",d,Montpellier,2015,Ligue_1
1972,True,h,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'h': '2', 'a': '0'}","{'h': '0.369404', 'a': '0.896565'}",2015-10-24 22:00:00,"{'w': 0.14666242857674272, 'd': 0.38337427754969094, 'l': 0.4699632938735021}",w,Montpellier,2015,Ligue_1
1984,True,a,"{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'h': '1', 'a': '1'}","{'h': '0.709547', 'a': '0.356524'}",2015-10-31 23:00:00,"{'w': 0.3970700014502323, 'd': 0.43713804978002024, 'l': 0.16579194876974523}",d,Montpellier,2015,Ligue_1
1991,True,h,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'h': '2', 'a': '1'}","{'h': '1.88516', 'a': '0.583807'}",2015-11-07 23:00:00,"{'w': 0.6862815313291923, 'd': 0.20686076516039725, 'l': 0.10685770173617412}",w,Montpellier,2015,Ligue_1
2002,True,h,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '3', 'a': '1'}","{'h': '2.57283', 'a': '0.578896'}",2015-11-21 23:00:00,"{'w': 0.8033319607897602, 'd': 0.13453027489528815, 'l': 0.06213766487979864}",w,Montpellier,2015,Ligue_1
