id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
1873,True,h,"{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'h': '1', 'a': '0'}","{'h': '0.27314', 'a': '0.406765'}",2015-08-08 23:00:00,"{'w': 0.1677278883323118, 'd': 0.564540551778826, 'l': 0.26773155988886205}",w,Nantes,2015,Ligue_1
1883,True,a,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'h': '0', 'a': '0'}","{'h': '0.391752', 'a': '0.166221'}",2015-08-15 22:00:00,"{'w': 0.28293412644956684, 'd': 0.6102503629950355, 'l': 0.10681551055539742}",d,Nantes,2015,Ligue_1
1891,True,h,"{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '1', 'a': '0'}","{'h': '1.91418', 'a': '0.395955'}",2015-08-22 22:00:00,"{'w': 0.7425159742726879, 'd': 0.18998304914353595, 'l': 0.06750097441205066}",w,Nantes,2015,Ligue_1
1907,True,a,"{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'h': '2', 'a': '0'}","{'h': '2.98014', 'a': '0.358858'}",2015-08-30 19:00:00,"{'w': 0.8906929597066958, 'd': 0.0848403782754275, 'l': 0.024466043946763917}",l,Nantes,2015,Ligue_1
1917,True,h,"{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'h': '0', 'a': '2'}","{'h': '0.585464', 'a': '2.24932'}",2015-09-13 19:00:00,"{'w': 0.08097766720280891, 'd': 0.16558646044494288, 'l': 0.7534358544651554}",l,Nantes,2015,Ligue_1
1927,True,a,"{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'h': '2', 'a': '0'}","{'h': '1.36073', 'a': '0.375954'}",2015-09-20 19:00:00,"{'w': 0.6203077375269451, 'd': 0.27839104637641005, 'l': 0.10130121607489213}",l,Nantes,2015,Ligue_1
1939,True,h,"{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '1', 'a': '4'}","{'h': '0.54464', 'a': '1.86069'}",2015-09-26 19:30:00,"{'w': 0.10070753138052776, 'd': 0.20762982148753614, 'l': 0.6916626456398772}",l,Nantes,2015,Ligue_1
1948,True,a,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'h': '0', 'a': '1'}","{'h': '1.158', 'a': '1.58846'}",2015-09-29 20:30:00,"{'w': 0.2778477625181377, 'd': 0.2488951379751343, 'l': 0.4732570993251682}",w,Nantes,2015,Ligue_1
1960,True,h,"{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'h': '3', 'a': '0'}","{'h': '1.83778', 'a': '0.88042'}",2015-10-17 22:00:00,"{'w': 0.5995247400970168, 'd': 0.2245680125962635, 'l': 0.175907246040952}",w,Nantes,2015,Ligue_1
1968,True,a,"{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'h': '0', 'a': '2'}","{'h': '1.20724', 'a': '1.46833'}",2015-10-23 20:30:00,"{'w': 0.3112823346785564, 'd': 0.25696677692720427, 'l': 0.43175088832845127}",w,Nantes,2015,Ligue_1
1987,True,h,"{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'h': '0', 'a': '1'}","{'h': '0.376484', 'a': '0.538246'}",2015-11-02 00:00:00,"{'w': 0.2011194943420506, 'd': 0.4860143244718845, 'l': 0.3128661811860652}",l,Nantes,2015,Ligue_1
1988,True,a,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'h': '1', 'a': '2'}","{'h': '1.43923', 'a': '1.94478'}",2015-11-04 21:30:00,"{'w': 0.2856919460647199, 'd': 0.21995314497195304, 'l': 0.4943549062387526}",w,Nantes,2015,Ligue_1
1991,True,a,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'h': '2', 'a': '1'}","{'h': '1.88516', 'a': '0.583807'}",2015-11-07 23:00:00,"{'w': 0.6862815313291923, 'd': 0.20686076516039725, 'l': 0.10685770173617412}",l,Nantes,2015,Ligue_1
