id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
1875,True,h,"{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'id': '173', 'title': 'GFC Ajaccio', 'short_title': 'AJA'}","{'h': '0', 'a': '0'}","{'h': '0.394458', 'a': '1.05977'}",2015-08-08 23:00:00,"{'w': 0.13655327909498616, 'd': 0.34191675294661306, 'l': 0.5215299679577224}",d,Troyes,2015,Ligue_1
1881,True,h,"{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '3', 'a': '3'}","{'h': '1.26651', 'a': '2.23276'}",2015-08-15 22:00:00,"{'w': 0.2087522229930189, 'd': 0.1988345747146203, 'l': 0.5924131860257117}",d,Troyes,2015,Ligue_1
1898,True,a,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'h': '6', 'a': '0'}","{'h': '3.2103', 'a': '0.267975'}",2015-08-23 23:00:00,"{'w': 0.9223353426044334, 'd': 0.06369536858238993, 'l': 0.0139677640117174}",l,Troyes,2015,Ligue_1
1902,True,h,"{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'h': '0', 'a': '0'}","{'h': '0.853602', 'a': '0.768639'}",2015-08-29 22:00:00,"{'w': 0.34923905395153815, 'd': 0.34987343602698107, 'l': 0.3008875100214419}",d,Troyes,2015,Ligue_1
1914,True,h,"{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'h': '1', 'a': '3'}","{'h': '0.404312', 'a': '1.61264'}",2015-09-12 22:00:00,"{'w': 0.08869326884030328, 'd': 0.23502599713086897, 'l': 0.6762807338090285}",l,Troyes,2015,Ligue_1
1921,True,a,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'h': '1', 'a': '0'}","{'h': '1.88805', 'a': '1.6602'}",2015-09-19 22:00:00,"{'w': 0.43648043254658475, 'd': 0.2197526232019078, 'l': 0.34376694211571845}",l,Troyes,2015,Ligue_1
1931,True,h,"{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'h': '0', 'a': '1'}","{'h': '0.421449', 'a': '1.5576'}",2015-09-23 21:00:00,"{'w': 0.09701275438983874, 'd': 0.24494247580704015, 'l': 0.6580447696656945}",l,Troyes,2015,Ligue_1
1940,True,a,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'h': '1', 'a': '1'}","{'h': '1.24575', 'a': '0.964618'}",2015-09-26 22:00:00,"{'w': 0.42699868550549575, 'd': 0.28672638139888335, 'l': 0.28627493308899904}",d,Troyes,2015,Ligue_1
1951,True,h,"{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'h': '0', 'a': '1'}","{'h': '1.21348', 'a': '2.19927'}",2015-10-03 22:00:00,"{'w': 0.2023245420956799, 'd': 0.20019240813987224, 'l': 0.597483036389682}",l,Troyes,2015,Ligue_1
1960,True,a,"{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'h': '3', 'a': '0'}","{'h': '1.83778', 'a': '0.88042'}",2015-10-17 22:00:00,"{'w': 0.5995247400970168, 'd': 0.2245680125962635, 'l': 0.175907246040952}",l,Troyes,2015,Ligue_1
