id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
3441,Fabien Camus,35,2411,5,5.203956538811326,1,3.5332605186849833,66,46,2,2,F M S,Troyes,5,5.203956538811326,9.826680224388838,4.156576473265886,Troyes,2015,Ligue_1
3445,Corentin Jean,34,2631,4,5.076292732730508,1,3.6558371540158987,61,42,4,1,F M S,Troyes,4,5.076292732730508,10.787734612822533,3.5202236864715815,Troyes,2015,Ligue_1
3439,Jessy Pi,37,3178,3,1.8618569690734148,0,1.1761278677731752,56,25,4,0,M S,Troyes,3,1.8618569690734148,7.801253009587526,5.158353489823639,Troyes,2015,Ligue_1
3456,Jimmy Cabot,15,718,3,1.2035118117928505,1,1.441548304632306,20,14,1,0,F M S,Troyes,3,1.2035118117928505,2.184590104036033,0.5420119017362595,Troyes,2015,Ligue_1
3583,Benjamin Nivet,34,2430,3,4.345130349509418,4,3.1684405021369457,32,36,6,0,M S,Troyes,0,2.0648455126211047,9.812384735792875,6.05916281696409,Troyes,2015,Ligue_1
3440,Karim Azamoum,14,753,2,0.9868213916197419,1,1.6336729172617197,14,15,2,0,M S,Troyes,2,0.9868213916197419,2.9117057137191296,1.6653702035546303,Troyes,2015,Ligue_1
3447,Thiago Xavier,16,1060,2,2.271114205941558,0,0.08526199962943792,13,3,7,0,M S,Troyes,2,2.271114205941558,1.1638617776334286,0.9951899731531739,Troyes,2015,Ligue_1
3438,Stéphane Darbion,26,1659,1,3.251506892964244,2,3.6330040972679853,33,33,2,1,M S,Troyes,1,3.251506892964244,6.9497946836054325,2.621747598052025,Troyes,2015,Ligue_1
3442,Chaouki Ben Saada,18,812,1,2.0514794224873185,1,1.1637363079935312,24,17,1,0,M S,Troyes,1,2.0514794224873185,3.2355235712602735,0.6750197978690267,Troyes,2015,Ligue_1
3443,Babacar Gueye,10,589,1,2.449261002242565,2,0.534076102077961,14,8,0,0,F S,Troyes,1,2.449261002242565,2.3427428230643272,0.27923300117254257,Troyes,2015,Ligue_1
3449,Quentin Othon,8,584,1,0.05270489864051342,0,0.18282610177993774,3,2,0,0,D S,Troyes,1,0.05270489864051342,0.8979599010199308,0.7882681060582399,Troyes,2015,Ligue_1
3611,Thomas Ayasse,14,1028,1,0.7260016929358244,0,0.11667789705097675,11,4,3,1,M S,Troyes,1,0.7260016929358244,3.5455582197755575,2.954996006563306,Troyes,2015,Ligue_1
3251,Paul Bernardoni,14,1260,0,0,0,0,0,0,0,0,GK,Troyes,0,0,0.23033119831234217,0.23033119831234217,Troyes,2015,Ligue_1
