id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
2251,True,h,"{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'h': '3', 'a': '2'}","{'h': '1.16592', 'a': '1.50131'}",2016-08-13 19:00:00,"{'w': 0.29478556786084154, 'd': 0.25575377611645794, 'l': 0.4494606559367496}",w,Bordeaux,2016,Ligue_1
2261,True,a,"{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'h': '4', 'a': '1'}","{'h': '1.58483', 'a': '0.7395'}",2016-08-20 22:00:00,"{'w': 0.575845176322065, 'd': 0.25083751215831707, 'l': 0.17331731134585168}",l,Bordeaux,2016,Ligue_1
2276,True,h,"{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'h': '1', 'a': '0'}","{'h': '1.70798', 'a': '0.74034'}",2016-08-28 17:00:00,"{'w': 0.6055655965447504, 'd': 0.2355497060135846, 'l': 0.1588846969656164}",w,Bordeaux,2016,Ligue_1
2280,True,a,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'h': '1', 'a': '3'}","{'h': '0.993332', 'a': '1.5749'}",2016-09-10 19:00:00,"{'w': 0.23871963829395773, 'd': 0.25252838057723453, 'l': 0.5087519809689358}",w,Bordeaux,2016,Ligue_1
2295,True,h,"{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '0', 'a': '1'}","{'h': '0.712968', 'a': '1.13896'}",2016-09-17 22:00:00,"{'w': 0.22960257034827622, 'd': 0.3126993344143876, 'l': 0.45769809523547866}",l,Bordeaux,2016,Ligue_1
2305,True,a,"{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'h': '0', 'a': '3'}","{'h': '0.446493', 'a': '2.08591'}",2016-09-21 21:00:00,"{'w': 0.06711639014573442, 'd': 0.17260342392460964, 'l': 0.7602801792131182}",w,Bordeaux,2016,Ligue_1
2311,True,h,"{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'h': '0', 'a': '0'}","{'h': '0.854776', 'a': '0.383979'}",2016-09-24 22:00:00,"{'w': 0.44945880075049854, 'd': 0.3929373204223652, 'l': 0.157603878827104}",d,Bordeaux,2016,Ligue_1
2320,True,a,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'h': '2', 'a': '0'}","{'h': '2.34986', 'a': '0.741264'}",2016-10-01 19:00:00,"{'w': 0.7334190555206042, 'd': 0.16654771506880195, 'l': 0.10003319801599991}",l,Bordeaux,2016,Ligue_1
2336,True,a,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'h': '1', 'a': '1'}","{'h': '1.85899', 'a': '0.684781'}",2016-10-16 17:00:00,"{'w': 0.6541843740854076, 'd': 0.2152992484460748, 'l': 0.13051637599444485}",d,Bordeaux,2016,Ligue_1
2342,True,h,"{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'id': '182', 'title': 'Nancy', 'short_title': 'NAN'}","{'h': '1', 'a': '1'}","{'h': '1.27082', 'a': '1.05802'}",2016-10-22 22:00:00,"{'w': 0.41239521644145327, 'd': 0.2795647833861702, 'l': 0.3080400001632302}",d,Bordeaux,2016,Ligue_1
3327,True,a,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'h': '0', 'a': '0'}","{'h': '0.67475', 'a': '0.155588'}",2016-10-30 23:45:00,"{'w': 0.4399213811520335, 'd': 0.4828793880546927, 'l': 0.07719923079327282}",d,Bordeaux,2016,Ligue_1
2839,True,h,"{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'h': '2', 'a': '1'}","{'h': '0.568407', 'a': '0.341301'}",2016-11-05 23:00:00,"{'w': 0.33612727136250053, 'd': 0.48462445968526013, 'l': 0.1792482689522392}",w,Bordeaux,2016,Ligue_1
2850,True,a,"{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'h': '1', 'a': '1'}","{'h': '1.55541', 'a': '1.21317'}",2016-11-20 18:00:00,"{'w': 0.45251382969477416, 'd': 0.2502227486853793, 'l': 0.2972634214805523}",d,Bordeaux,2016,Ligue_1
2858,True,h,"{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'id': '181', 'title': 'Dijon', 'short_title': 'DJN'}","{'h': '3', 'a': '2'}","{'h': '1.68047', 'a': '0.762821'}",2016-11-26 23:00:00,"{'w': 0.5931336241034828, 'd': 0.2394403250511632, 'l': 0.16742605046253078}",w,Bordeaux,2016,Ligue_1
2869,True,a,"{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'h': '1', 'a': '1'}","{'h': '0.941884', 'a': '1.12617'}",2016-11-30 22:00:00,"{'w': 0.3021853512042085, 'd': 0.300584660198176, 'l': 0.39722998859590175}",d,Bordeaux,2016,Ligue_1
