id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
2254,True,h,"{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'h': '3', 'a': '2'}","{'h': '2.31706', 'a': '1.87778'}",2016-08-13 22:00:00,"{'w': 0.48353160530285927, 'd': 0.1977037853399285, 'l': 0.3187645814602501}",w,Metz,2016,Ligue_1
2268,True,a,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'h': '3', 'a': '0'}","{'h': '3.85662', 'a': '0.996438'}",2016-08-21 22:45:00,"{'w': 0.8657283383775112, 'd': 0.08237452653529696, 'l': 0.05188398011047744}",l,Metz,2016,Ligue_1
2272,True,h,"{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '2', 'a': '0'}","{'h': '0.448001', 'a': '1.10689'}",2016-08-27 22:00:00,"{'w': 0.14903556186558437, 'd': 0.3296726454140865, 'l': 0.5212917927190832}",w,Metz,2016,Ligue_1
2286,True,a,"{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'h': '0', 'a': '3'}","{'h': '0.853017', 'a': '1.31386'}",2016-09-11 17:00:00,"{'w': 0.24258734976354043, 'd': 0.2836718472193788, 'l': 0.4737408030036169}",w,Metz,2016,Ligue_1
2292,True,a,"{'id': '181', 'title': 'Dijon', 'short_title': 'DJN'}","{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'h': '0', 'a': '0'}","{'h': '1.68116', 'a': '0.973689'}",2016-09-17 22:00:00,"{'w': 0.5398301778798632, 'd': 0.24200288443995926, 'l': 0.21816693729503697}",d,Metz,2016,Ligue_1
2305,True,h,"{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'h': '0', 'a': '3'}","{'h': '0.446493', 'a': '2.08591'}",2016-09-21 21:00:00,"{'w': 0.06711639014573442, 'd': 0.17260342392460964, 'l': 0.7602801792131182}",l,Metz,2016,Ligue_1
2312,True,a,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'h': '0', 'a': '1'}","{'h': '1.55117', 'a': '1.09238'}",2016-09-24 22:00:00,"{'w': 0.47909668288466273, 'd': 0.25334108120070653, 'l': 0.26756223578365973}",w,Metz,2016,Ligue_1
2325,True,h,"{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '0', 'a': '7'}","{'h': '0.342435', 'a': '3.13454'}",2016-10-01 22:00:00,"{'w': 0.0202177953028711, 'd': 0.07410520578283908, 'l': 0.9056758558822263}",l,Metz,2016,Ligue_1
2338,True,a,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'h': '1', 'a': '0'}","{'h': '1.96863', 'a': '0.943002'}",2016-10-16 22:45:00,"{'w': 0.6127443197585157, 'd': 0.2130849926383263, 'l': 0.1741706844586837}",l,Metz,2016,Ligue_1
2347,True,h,"{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '2', 'a': '4'}","{'h': '1.35865', 'a': '2.27838'}",2016-10-23 19:00:00,"{'w': 0.22122945157164925, 'd': 0.19737254023136305, 'l': 0.5813979870679302}",l,Metz,2016,Ligue_1
