id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
3577,Cheick Diabaté,14,1058,8,6.7225372744724154,1,1.2792842984199524,27,9,2,0,F S,Metz,5,4.442251878790557,5.026957925409079,0.6084630042314529,Metz,2016,Ligue_1
104,Mevlüt Erdinc,24,1408,6,7.156173821538687,1,0.7265346068888903,46,10,1,0,F S,Metz,3,4.1157893324270844,4.648508393205702,0.6190749993547797,Metz,2016,Ligue_1
5675,Ismaila Sarr,31,1941,5,2.1582043059170246,1,2.6717467000707984,28,25,2,0,F M S,Metz,5,2.1582043059170246,5.068146377801895,1.196227703243494,Metz,2016,Ligue_1
3629,Yann Jouffre,20,1256,4,2.135814600624144,2,1.712249705567956,17,28,1,0,M S,Metz,2,0.6156246000900865,3.008170610293746,2.1455135364085436,Metz,2016,Ligue_1
5673,Simon Falette,35,3089,3,1.8727078950032592,1,0.4458269076421857,23,9,7,0,D,Metz,3,1.8727078950032592,2.2680178126320243,1.993050204589963,Metz,2016,Ligue_1
5674,Georges Mandjeck,29,2341,3,1.6765329046174884,0,1.2503743059933186,18,15,7,0,M S,Metz,3,1.6765329046174884,3.432050511240959,2.071446891874075,Metz,2016,Ligue_1
4859,Thibaut Vion,13,529,2,1.3874156661331654,1,0.5904585048556328,12,2,2,0,F M S,Metz,2,1.3874156661331654,1.1203830912709236,0.24041970446705818,Metz,2016,Ligue_1
5676,Opa Nguette,33,2238,2,2.6496936958283186,2,1.0918323993682861,20,21,4,0,F M S,Metz,2,2.6496936958283186,3.374460192397237,0.8157215043902397,Metz,2016,Ligue_1
3560,Renaud Cohade,33,2798,1,2.3651127349585295,4,5.639029299840331,35,57,11,1,M S,Metz,1,2.3651127349585295,7.74414022359997,4.081301490776241,Metz,2016,Ligue_1
4734,Guido Milan,22,1731,1,0.5775081943720579,0,0.12641729786992073,6,3,2,0,D S,Metz,1,0.5775081943720579,1.6774087827652693,1.5903727877885103,Metz,2016,Ligue_1
5769,Habib Diallo,19,809,1,2.084019082598388,0,0.3418191969394684,21,7,0,0,F M S,Metz,1,2.084019082598388,2.2264376059174538,0.5516655780375004,Metz,2016,Ligue_1
1876,Milan Bisevac,21,1836,0,0.36898959148675203,0,0,5,0,4,1,D,Metz,0,0.36898959148675203,0.9309197831898928,0.6397315934300423,Metz,2016,Ligue_1
3516,Benoit Assou-Ekotto,18,1478,0,0.16411519795656204,1,0.5303921904414892,7,8,0,2,D S,Metz,0,0.16411519795656204,1.8223577225580812,1.7174592996016145,Metz,2016,Ligue_1
3555,Franck Signorino,17,1481,0,0.012309299781918526,0,0.1453801989555359,1,4,3,0,D,Metz,0,0.012309299781918526,1.5362615045160055,1.428903205320239,Metz,2016,Ligue_1
3593,Fallou Diagne,12,1011,0,0.7376610254868865,0,0.15196099877357483,10,5,3,1,D M,Metz,0,0.7376610254868865,1.5160915227606893,1.3588277995586395,Metz,2016,Ligue_1
4740,Kévin Lejeune,14,634,0,0.1314518004655838,0,0.5740605797618628,3,7,0,0,M S,Metz,0,0.1314518004655838,0.7405466828495264,0.5220267809927464,Metz,2016,Ligue_1
4741,Cheick Doukoure,29,2266,0,1.1348202018998563,1,0.29170164465904236,35,10,6,2,M S,Metz,0,1.1348202018998563,3.6744932252913713,2.809715708717704,Metz,2016,Ligue_1
4742,David Oberhauser,1,90,0,0,0,0,0,0,0,0,GK,Metz,0,0,0,0,Metz,2016,Ligue_1
