id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
2256,True,h,"{'id': '182', 'title': 'Nancy', 'short_title': 'NAN'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '0', 'a': '3'}","{'h': '0.378703', 'a': '2.32475'}",2016-08-14 17:00:00,"{'w': 0.045493944316245614, 'd': 0.1402564352297782, 'l': 0.8142495931016998}",l,Nancy,2016,Ligue_1
2263,True,a,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '182', 'title': 'Nancy', 'short_title': 'NAN'}","{'h': '2', 'a': '0'}","{'h': '0.457521', 'a': '0.968592'}",2016-08-20 22:00:00,"{'w': 0.1700114104961132, 'd': 0.3590959216090044, 'l': 0.470892667894691}",l,Nancy,2016,Ligue_1
2273,True,h,"{'id': '182', 'title': 'Nancy', 'short_title': 'NAN'}","{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'h': '0', 'a': '2'}","{'h': '1.42221', 'a': '1.59434'}",2016-08-27 22:00:00,"{'w': 0.3416447632667566, 'd': 0.24127612909471532, 'l': 0.41707910741027127}",l,Nancy,2016,Ligue_1
2283,True,a,"{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'id': '182', 'title': 'Nancy', 'short_title': 'NAN'}","{'h': '0', 'a': '2'}","{'h': '1.09603', 'a': '0.737229'}",2016-09-10 22:00:00,"{'w': 0.4378805609068188, 'd': 0.3176519575789857, 'l': 0.24446748151310616}",w,Nancy,2016,Ligue_1
2291,True,h,"{'id': '182', 'title': 'Nancy', 'short_title': 'NAN'}","{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'h': '1', 'a': '1'}","{'h': '0.329901', 'a': '1.52308'}",2016-09-17 22:00:00,"{'w': 0.07705248373870613, 'd': 0.24600531734853565, 'l': 0.676942198811357}",d,Nancy,2016,Ligue_1
2301,True,a,"{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'id': '182', 'title': 'Nancy', 'short_title': 'NAN'}","{'h': '0', 'a': '0'}","{'h': '0.319514', 'a': '0.0748124'}",2016-09-21 21:00:00,"{'w': 0.256666639044451, 'd': 0.6903447714933525, 'l': 0.05298858946219646}",d,Nancy,2016,Ligue_1
2317,True,h,"{'id': '182', 'title': 'Nancy', 'short_title': 'NAN'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '0', 'a': '1'}","{'h': '1.33737', 'a': '0.831812'}",2016-09-25 19:00:00,"{'w': 0.48576231034059647, 'd': 0.2814316669824983, 'l': 0.23280602265973727}",l,Nancy,2016,Ligue_1
2322,True,a,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '182', 'title': 'Nancy', 'short_title': 'NAN'}","{'h': '1', 'a': '0'}","{'h': '1.8156', 'a': '0.256363'}",2016-10-01 22:00:00,"{'w': 0.7626113582361254, 'd': 0.19174088124088084, 'l': 0.045647759446031555}",l,Nancy,2016,Ligue_1
2331,True,h,"{'id': '182', 'title': 'Nancy', 'short_title': 'NAN'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '1', 'a': '2'}","{'h': '0.203584', 'a': '0.603299'}",2016-10-15 19:00:00,"{'w': 0.10685652636963759, 'd': 0.5027618738167009, 'l': 0.3903815998136614}",l,Nancy,2016,Ligue_1
2342,True,a,"{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'id': '182', 'title': 'Nancy', 'short_title': 'NAN'}","{'h': '1', 'a': '1'}","{'h': '1.27082', 'a': '1.05802'}",2016-10-22 22:00:00,"{'w': 0.41239521644145327, 'd': 0.2795647833861702, 'l': 0.3080400001632302}",d,Nancy,2016,Ligue_1
3322,True,h,"{'id': '182', 'title': 'Nancy', 'short_title': 'NAN'}","{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'h': '2', 'a': '0'}","{'h': '1.86121', 'a': '1.13534'}",2016-10-29 22:00:00,"{'w': 0.5433344211237576, 'd': 0.2262762560874477, 'l': 0.23038932128941828}",w,Nancy,2016,Ligue_1
2834,True,a,"{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'id': '182', 'title': 'Nancy', 'short_title': 'NAN'}","{'h': '6', 'a': '0'}","{'h': '4.50655', 'a': '0.327456'}",2016-11-05 20:00:00,"{'w': 0.9693088194761731, 'd': 0.02480339703586318, 'l': 0.005812949453965953}",l,Nancy,2016,Ligue_1
2848,True,h,"{'id': '182', 'title': 'Nancy', 'short_title': 'NAN'}","{'id': '181', 'title': 'Dijon', 'short_title': 'DJN'}","{'h': '1', 'a': '0'}","{'h': '1.12749', 'a': '1.17526'}",2016-11-19 23:00:00,"{'w': 0.3465140317767125, 'd': 0.28338725149605126, 'l': 0.37009871672275324}",w,Nancy,2016,Ligue_1
2859,True,a,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '182', 'title': 'Nancy', 'short_title': 'NAN'}","{'h': '0', 'a': '0'}","{'h': '0.642833', 'a': '0.3552'}",2016-11-26 23:00:00,"{'w': 0.36758487547800467, 'd': 0.4576967276005731, 'l': 0.17471839692142146}",d,Nancy,2016,Ligue_1
2870,True,h,"{'id': '182', 'title': 'Nancy', 'short_title': 'NAN'}","{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'h': '4', 'a': '0'}","{'h': '0.936859', 'a': '0.325539'}",2016-11-30 22:00:00,"{'w': 0.4985327324148746, 'd': 0.3760849495141348, 'l': 0.1253823180708709}",w,Nancy,2016,Ligue_1
3237,True,a,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '182', 'title': 'Nancy', 'short_title': 'NAN'}","{'h': '3', 'a': '0'}","{'h': '0.977434', 'a': '0.701109'}",2016-12-04 20:00:00,"{'w': 0.4082077046058472, 'd': 0.3382068538033624, 'l': 0.25358544159057117}",l,Nancy,2016,Ligue_1
3242,True,h,"{'id': '182', 'title': 'Nancy', 'short_title': 'NAN'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '2', 'a': '0'}","{'h': '1.69532', 'a': '0.33593'}",2016-12-10 23:00:00,"{'w': 0.7149832427752515, 'd': 0.21720835286109152, 'l': 0.06780840393283319}",w,Nancy,2016,Ligue_1
3252,True,a,"{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'id': '182', 'title': 'Nancy', 'short_title': 'NAN'}","{'h': '1', 'a': '1'}","{'h': '0.552439', 'a': '0.407775'}",2016-12-17 23:00:00,"{'w': 0.31225536113695074, 'd': 0.4740270007421911, 'l': 0.21371763812085817}",d,Nancy,2016,Ligue_1
