id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
8566,True,a,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'h': '2', 'a': '0'}","{'h': '2.25264', 'a': '0.190301'}",2017-08-05 16:15:00,"{'w': 0.849380251896672, 'd': 0.12834714331755423, 'l': 0.022272586554846947}",l,Amiens,2017,Ligue_1
8578,True,h,"{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '0', 'a': '2'}","{'h': '0.705642', 'a': '1.47376'}",2017-08-12 19:00:00,"{'w': 0.1786388888370115, 'd': 0.26509146678554935, 'l': 0.556269644312638}",l,Amiens,2017,Ligue_1
8593,True,a,"{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'h': '3', 'a': '0'}","{'h': '3.17624', 'a': '1.06947'}",2017-08-19 19:00:00,"{'w': 0.784546261910991, 'd': 0.1237176379286865, 'l': 0.09173475923504434}",l,Amiens,2017,Ligue_1
8595,True,h,"{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '3', 'a': '0'}","{'h': '1.3292', 'a': '0.247748'}",2017-08-26 19:00:00,"{'w': 0.6517888259177759, 'd': 0.28045141382759464, 'l': 0.06775976023886951}",w,Amiens,2017,Ligue_1
8611,True,a,"{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'h': '0', 'a': '1'}","{'h': '0.599748', 'a': '0.293267'}",2017-09-09 19:00:00,"{'w': 0.36379942284098016, 'd': 0.48465978419333366, 'l': 0.1515407929656861}",w,Amiens,2017,Ligue_1
8618,True,h,"{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'h': '0', 'a': '2'}","{'h': '0.712071', 'a': '1.44127'}",2017-09-17 14:00:00,"{'w': 0.18461610113335133, 'd': 0.26953184427588067, 'l': 0.5458520545429579}",l,Amiens,2017,Ligue_1
8626,True,a,"{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'h': '1', 'a': '0'}","{'h': '1.76038', 'a': '0.0263448'}",2017-09-23 19:00:00,"{'w': 0.8200574415894478, 'd': 0.17536691908369895, 'l': 0.004575638613482261}",l,Amiens,2017,Ligue_1
8647,True,a,"{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'h': '1', 'a': '0'}","{'h': '1.46173', 'a': '0.240109'}",2017-10-14 19:00:00,"{'w': 0.689497320677836, 'd': 0.2521867455456315, 'l': 0.05831593371858447}",l,Amiens,2017,Ligue_1
8655,True,h,"{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'h': '1', 'a': '0'}","{'h': '1.107', 'a': '0.756311'}",2017-10-21 19:00:00,"{'w': 0.4364778244278653, 'd': 0.3149183581701874, 'l': 0.24860381740069404}",w,Amiens,2017,Ligue_1
8668,True,a,"{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'h': '1', 'a': '1'}","{'h': '0.620527', 'a': '0.354145'}",2017-10-28 19:00:00,"{'w': 0.3575727742719545, 'd': 0.4649019681082612, 'l': 0.17752525761978405}",d,Amiens,2017,Ligue_1
8675,True,a,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'h': '1', 'a': '1'}","{'h': '0.901077', 'a': '0.497744'}",2017-11-04 19:00:00,"{'w': 0.43489317996838256, 'd': 0.37067069993037277, 'l': 0.1944361201011756}",d,Amiens,2017,Ligue_1
8685,True,h,"{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '1', 'a': '1'}","{'h': '1.40691', 'a': '0.879149'}",2017-11-17 19:45:00,"{'w': 0.49300596567258087, 'd': 0.2720783154272707, 'l': 0.23491571886572632}",d,Amiens,2017,Ligue_1
8635,True,h,"{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'h': '3', 'a': '0'}","{'h': '1.4818', 'a': '0.393119'}",2017-11-20 18:00:00,"{'w': 0.6474614775235643, 'd': 0.2565917224892993, 'l': 0.0959467999173529}",w,Amiens,2017,Ligue_1
8703,True,a,"{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'h': '0', 'a': '2'}","{'h': '1.25584', 'a': '0.934284'}",2017-11-25 19:00:00,"{'w': 0.43713841238829, 'd': 0.2871197066221513, 'l': 0.2757418809822417}",w,Amiens,2017,Ligue_1
8705,True,h,"{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'id': '181', 'title': 'Dijon', 'short_title': 'DJN'}","{'h': '2', 'a': '1'}","{'h': '0.875002', 'a': '0.88355'}",2017-11-28 18:00:00,"{'w': 0.33086075398030124, 'd': 0.3335627927794189, 'l': 0.33557645324018204}",w,Amiens,2017,Ligue_1
8720,True,a,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'h': '2', 'a': '0'}","{'h': '1.54445', 'a': '0.246144'}",2017-12-02 19:00:00,"{'w': 0.7078156321289911, 'd': 0.236583885122559, 'l': 0.05560048262594248}",l,Amiens,2017,Ligue_1
8725,True,h,"{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '1', 'a': '2'}","{'h': '2.19279', 'a': '0.953938'}",2017-12-10 14:00:00,"{'w': 0.655559776799112, 'd': 0.19243943870822053, 'l': 0.1520007716238731}",l,Amiens,2017,Ligue_1
8744,True,a,"{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'h': '1', 'a': '0'}","{'h': '2.47583', 'a': '0.550401'}",2017-12-16 19:00:00,"{'w': 0.7962185662391884, 'd': 0.14081675055486817, 'l': 0.06296462207476412}",l,Amiens,2017,Ligue_1
8745,True,h,"{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'h': '0', 'a': '1'}","{'h': '0.864223', 'a': '1.13923'}",2017-12-20 19:50:00,"{'w': 0.2762255162537097, 'd': 0.3041412441955156, 'l': 0.4196332395488754}",l,Amiens,2017,Ligue_1
8760,True,a,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'h': '1', 'a': '0'}","{'h': '1.2202', 'a': '0.583973'}",2018-01-13 19:00:00,"{'w': 0.5178731437785945, 'd': 0.3045313509388688, 'l': 0.17759550527770226}",l,Amiens,2017,Ligue_1
8765,True,h,"{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'h': '1', 'a': '1'}","{'h': '0.626049', 'a': '1.19099'}",2018-01-17 18:00:00,"{'w': 0.19456930150749446, 'd': 0.30822102409122876, 'l': 0.49720967439782215}",d,Amiens,2017,Ligue_1
8775,True,h,"{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'h': '3', 'a': '1'}","{'h': '1.9645', 'a': '0.175561'}",2018-01-20 19:00:00,"{'w': 0.8115631559734355, 'd': 0.16185863085581456, 'l': 0.02657821011218915}",w,Amiens,2017,Ligue_1
8785,True,a,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'h': '1', 'a': '0'}","{'h': '1.52438', 'a': '0.0630897'}",2018-01-27 19:00:00,"{'w': 0.7614607436186751, 'd': 0.2245818303153101, 'l': 0.013957425963431623}",l,Amiens,2017,Ligue_1
8795,True,h,"{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'h': '0', 'a': '2'}","{'h': '0.250359', 'a': '2.70354'}",2018-02-03 19:00:00,"{'w': 0.020204058712288694, 'd': 0.09386451025903496, 'l': 0.8859312457875612}",l,Amiens,2017,Ligue_1
8813,True,a,"{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'h': '3', 'a': '2'}","{'h': '2.19944', 'a': '1.15828'}",2018-02-10 19:00:00,"{'w': 0.6099007875487477, 'd': 0.19880861041684664, 'l': 0.19129058864837642}",l,Amiens,2017,Ligue_1
8816,True,h,"{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'h': '0', 'a': '0'}","{'h': '0.510117', 'a': '0.937757'}",2018-02-17 19:00:00,"{'w': 0.19339923735457729, 'd': 0.36170326063593283, 'l': 0.44489750200936845}",d,Amiens,2017,Ligue_1
