id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
8573,True,h,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'h': '2', 'a': '2'}","{'h': '1.11146', 'a': '1.77916'}",2017-08-06 16:00:00,"{'w': 0.23673582628350454, 'd': 0.23319871640954362, 'l': 0.5300654564836691}",d,Angers,2017,Ligue_1
8578,True,a,"{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '0', 'a': '2'}","{'h': '0.705642', 'a': '1.47376'}",2017-08-12 19:00:00,"{'w': 0.1786388888370115, 'd': 0.26509146678554935, 'l': 0.556269644312638}",w,Angers,2017,Ligue_1
8587,True,a,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '1', 'a': '1'}","{'h': '1.10475', 'a': '0.773691'}",2017-08-20 16:00:00,"{'w': 0.43136896551820614, 'd': 0.3141662828148922, 'l': 0.2544647516656814}",d,Angers,2017,Ligue_1
8596,True,h,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'h': '1', 'a': '1'}","{'h': '0.861506', 'a': '0.846538'}",2017-08-27 16:00:00,"{'w': 0.33441429484627355, 'd': 0.33952400804465266, 'l': 0.32606169710900873}",d,Angers,2017,Ligue_1
8610,True,a,"{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '1', 'a': '1'}","{'h': '0.68122', 'a': '2.04494'}",2017-09-10 14:00:00,"{'w': 0.11308576199497992, 'd': 0.1938058501695901, 'l': 0.6931083826538643}",d,Angers,2017,Ligue_1
8619,True,h,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'h': '0', 'a': '1'}","{'h': '1.99822', 'a': '1.60019'}",2017-09-17 16:00:00,"{'w': 0.472497200215259, 'd': 0.2153415626481366, 'l': 0.3121612331124472}",l,Angers,2017,Ligue_1
8632,True,a,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '2', 'a': '2'}","{'h': '1.75619', 'a': '1.67713'}",2017-09-22 18:00:00,"{'w': 0.4038393557674355, 'd': 0.22503051255660883, 'l': 0.37113013061222366}",d,Angers,2017,Ligue_1
8636,True,h,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '3', 'a': '3'}","{'h': '0.999606', 'a': '1.5737'}",2017-10-01 16:00:00,"{'w': 0.24048877319215317, 'd': 0.2525870168003178, 'l': 0.50692420984927}",d,Angers,2017,Ligue_1
8651,True,a,"{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '0', 'a': '2'}","{'h': '1.31459', 'a': '2.02926'}",2017-10-14 19:00:00,"{'w': 0.24590572810780748, 'd': 0.2143496585041181, 'l': 0.539744608690193}",w,Angers,2017,Ligue_1
8656,True,h,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'h': '0', 'a': '1'}","{'h': '1.17702', 'a': '0.418413'}",2017-10-21 19:00:00,"{'w': 0.552794296888065, 'd': 0.31569786423360885, 'l': 0.13150783887539466}",l,Angers,2017,Ligue_1
8673,True,a,"{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '2', 'a': '2'}","{'h': '1.62722', 'a': '0.37517'}",2017-10-28 19:00:00,"{'w': 0.6882237968074366, 'd': 0.2309011397035634, 'l': 0.08087506324082279}",d,Angers,2017,Ligue_1
8680,True,h,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '0', 'a': '5'}","{'h': '0.663491', 'a': '2.78391'}",2017-11-04 16:00:00,"{'w': 0.06291876489383005, 'd': 0.12403077607619263, 'l': 0.813050192202661}",l,Angers,2017,Ligue_1
8689,True,a,"{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '1', 'a': '1'}","{'h': '0.854701', 'a': '0.308467'}",2017-11-18 19:00:00,"{'w': 0.4718708916141314, 'd': 0.4004749999790814, 'l': 0.1276541084067545}",d,Angers,2017,Ligue_1
8699,True,a,"{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '3', 'a': '0'}","{'h': '1.18185', 'a': '0.302355'}",2017-11-25 19:00:00,"{'w': 0.5903661451809125, 'd': 0.31521493318138066, 'l': 0.09441892163460362}",l,Angers,2017,Ligue_1
8706,True,h,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'h': '1', 'a': '2'}","{'h': '0.393065', 'a': '1.26206'}",2017-11-29 18:00:00,"{'w': 0.1151057866730961, 'd': 0.29827492579392684, 'l': 0.5866192875252663}",l,Angers,2017,Ligue_1
8723,True,a,"{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '1', 'a': '0'}","{'h': '0.445538', 'a': '0.723605'}",2017-12-02 19:00:00,"{'w': 0.20177581127532565, 'd': 0.41914577128746694, 'l': 0.37907841743720433}",l,Angers,2017,Ligue_1
8726,True,h,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'h': '1', 'a': '1'}","{'h': '1.19722', 'a': '1.16521'}",2017-12-09 19:00:00,"{'w': 0.3682302585113614, 'd': 0.27917239439256814, 'l': 0.35259734708980867}",d,Angers,2017,Ligue_1
8739,True,a,"{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '1', 'a': '0'}","{'h': '1.13634', 'a': '0.231309'}",2017-12-17 14:00:00,"{'w': 0.5987866261107688, 'd': 0.32618306150357607, 'l': 0.07503031238385889}",l,Angers,2017,Ligue_1
8748,True,h,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '181', 'title': 'Dijon', 'short_title': 'DJN'}","{'h': '2', 'a': '1'}","{'h': '2.68188', 'a': '1.3176'}",2017-12-20 19:50:00,"{'w': 0.6638741637671877, 'd': 0.16848060469378207, 'l': 0.1676450640098535}",w,Angers,2017,Ligue_1
8757,True,a,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '1', 'a': '1'}","{'h': '1.33723', 'a': '1.15533'}",2018-01-14 16:00:00,"{'w': 0.40876800713946576, 'd': 0.26915002440711894, 'l': 0.32208196843403075}",d,Angers,2017,Ligue_1
8766,True,h,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'h': '3', 'a': '1'}","{'h': '1.886', 'a': '0.340789'}",2018-01-17 18:00:00,"{'w': 0.7522848597964524, 'd': 0.18917716851342703, 'l': 0.058537969905385435}",w,Angers,2017,Ligue_1
8782,True,a,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '1', 'a': '0'}","{'h': '1.06811', 'a': '0.41615'}",2018-01-20 19:00:00,"{'w': 0.5178293383373429, 'd': 0.33918813894061833, 'l': 0.14298252272128165}",l,Angers,2017,Ligue_1
8785,True,h,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'h': '1', 'a': '0'}","{'h': '1.52438', 'a': '0.0630897'}",2018-01-27 19:00:00,"{'w': 0.7614607436186751, 'd': 0.2245818303153101, 'l': 0.013957425963431623}",w,Angers,2017,Ligue_1
8799,True,a,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '2', 'a': '1'}","{'h': '0.285745', 'a': '0.996403'}",2018-02-03 19:00:00,"{'w': 0.10479628045277477, 'd': 0.36223653316214505, 'l': 0.532967186384795}",l,Angers,2017,Ligue_1
8812,True,h,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '0', 'a': '4'}","{'h': '0.533175', 'a': '2.26036'}",2018-02-10 19:00:00,"{'w': 0.07179547173256061, 'd': 0.16040115649378145, 'l': 0.7678033527198362}",l,Angers,2017,Ligue_1
8820,True,h,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'h': '0', 'a': '1'}","{'h': '1.2482', 'a': '0.662397'}",2018-02-17 19:00:00,"{'w': 0.5045964816663013, 'd': 0.2980920294034833, 'l': 0.19731148892359568}",l,Angers,2017,Ligue_1
8831,True,a,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '1', 'a': '2'}","{'h': '0.965021', 'a': '1.82329'}",2018-02-24 19:00:00,"{'w': 0.1968534272167676, 'd': 0.22780677904585805, 'l': 0.5753397925979232}",w,Angers,2017,Ligue_1
