id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
8567,True,h,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'h': '4', 'a': '0'}","{'h': '1.72783', 'a': '0.292445'}",2017-08-05 19:00:00,"{'w': 0.7346079564058354, 'd': 0.20858649911623772, 'l': 0.05680554392215699}",w,Lyon,2017,Ligue_1
8576,True,a,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '1', 'a': '2'}","{'h': '0.712298', 'a': '1.53095'}",2017-08-11 19:45:00,"{'w': 0.1731105072533754, 'd': 0.25747046923767647, 'l': 0.5694190234001949}",w,Lyon,2017,Ligue_1
8586,True,h,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'h': '3', 'a': '3'}","{'h': '0.933014', 'a': '0.924278'}",2017-08-19 16:00:00,"{'w': 0.3410267500807476, 'd': 0.3226620474715564, 'l': 0.33631120244748447}",d,Lyon,2017,Ligue_1
8601,True,a,"{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '0', 'a': '0'}","{'h': '0.318881', 'a': '0.806351'}",2017-08-26 16:15:00,"{'w': 0.13738058343130466, 'd': 0.4135563730835933, 'l': 0.4490630434850878}",d,Lyon,2017,Ligue_1
8607,True,h,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'h': '2', 'a': '1'}","{'h': '0.762372', 'a': '0.834402'}",2017-09-10 16:00:00,"{'w': 0.30268067852836694, 'd': 0.35339318817885973, 'l': 0.34392613329274363}",w,Lyon,2017,Ligue_1
8624,True,a,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '2', 'a': '0'}","{'h': '1.77327', 'a': '0.928593'}",2017-09-17 20:00:00,"{'w': 0.5728000219379029, 'd': 0.23224404294750917, 'l': 0.19495593432810449}",l,Lyon,2017,Ligue_1
8629,True,h,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '181', 'title': 'Dijon', 'short_title': 'DJN'}","{'h': '3', 'a': '3'}","{'h': '3.5055', 'a': '1.68516'}",2017-09-23 19:00:00,"{'w': 0.7183874571670458, 'd': 0.1339980006904009, 'l': 0.14761019811600207}",d,Lyon,2017,Ligue_1
8636,True,a,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '3', 'a': '3'}","{'h': '0.999606', 'a': '1.5737'}",2017-10-01 16:00:00,"{'w': 0.24048877319215317, 'd': 0.2525870168003178, 'l': 0.50692420984927}",d,Lyon,2017,Ligue_1
8649,True,h,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '3', 'a': '2'}","{'h': '1.79765', 'a': '1.86517'}",2017-10-13 19:45:00,"{'w': 0.37786783853949724, 'd': 0.21714256168556534, 'l': 0.40498959729103334}",w,Lyon,2017,Ligue_1
8663,True,a,"{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '0', 'a': '5'}","{'h': '0.277198', 'a': '3.27703'}",2017-10-22 16:00:00,"{'w': 0.013725983891672872, 'd': 0.06111770426466039, 'l': 0.925154359981843}",w,Lyon,2017,Ligue_1
8670,True,h,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'h': '2', 'a': '0'}","{'h': '1.38545', 'a': '0.506774'}",2017-10-29 14:00:00,"{'w': 0.5880892155565524, 'd': 0.27666089223787166, 'l': 0.13524989217772906}",w,Lyon,2017,Ligue_1
8684,True,a,"{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '0', 'a': '5'}","{'h': '0.842106', 'a': '2.43783'}",2017-11-05 20:00:00,"{'w': 0.11012276068899703, 'd': 0.1648362842748986, 'l': 0.7250409048231995}",w,Lyon,2017,Ligue_1
8693,True,h,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'h': '0', 'a': '0'}","{'h': '0.738148', 'a': '0.770313'}",2017-11-19 16:00:00,"{'w': 0.30753425299062825, 'd': 0.36610830476369366, 'l': 0.32635744224566704}",d,Lyon,2017,Ligue_1
8696,True,a,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '0', 'a': '5'}","{'h': '0.244374', 'a': '2.22509'}",2017-11-26 14:00:00,"{'w': 0.03010493910536196, 'd': 0.1372949332269005, 'l': 0.8326001121167058}",w,Lyon,2017,Ligue_1
8709,True,h,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'h': '1', 'a': '2'}","{'h': '2.95324', 'a': '1.15359'}",2017-11-29 18:00:00,"{'w': 0.7390221808883045, 'd': 0.14280247722487588, 'l': 0.11817478881110871}",l,Lyon,2017,Ligue_1
8721,True,a,"{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '1', 'a': '2'}","{'h': '0.986845', 'a': '1.98069'}",2017-12-03 16:00:00,"{'w': 0.1820944181399184, 'd': 0.21315949195324646, 'l': 0.6047460864990134}",w,Lyon,2017,Ligue_1
