id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
555,Memphis Depay,36,2569,19,13.003762170672417,13,7.758002858608961,106,75,2,0,F M S,Lyon,17,11.48357917368412,19.44432764314115,6.923560222610831,Lyon,2017,Ligue_1
3667,Nabil Fekir,30,2488,18,11.944972170516849,8,7.036876141093671,88,60,8,0,F M S,Lyon,15,8.90458970144391,17.899115040898323,7.284308968111873,Lyon,2017,Ligue_1
5110,Mariano,34,2524,18,13.493719259276986,4,3.598993710707873,98,29,6,0,F S,Lyon,17,12.733625272288918,15.992713324725628,3.140972499269992,Lyon,2017,Ligue_1
695,Bertrand Traoré,31,2293,13,9.106915744021535,4,2.8190845930948853,79,26,3,0,F M S,Lyon,13,9.106915744021535,17.78347520902753,7.707059936597943,Lyon,2017,Ligue_1
5733,Houssem Aouar,32,2442,6,4.931064793840051,5,4.3267274824902415,49,37,1,0,F M S,Lyon,6,4.931064793840051,18.490656409412622,10.885216274764389,Lyon,2017,Ligue_1
3278,Maxwel Cornet,30,1248,4,2.9222120232880116,6,2.709474105387926,31,26,1,0,F M S,Lyon,4,2.9222120232880116,6.025444699451327,2.195373079739511,Lyon,2017,Ligue_1
93,Marcelo,35,3108,3,2.487159999087453,1,1.0293626859784126,24,6,5,1,D,Lyon,3,2.487159999087453,10.385672830045223,9.842169813811779,Lyon,2017,Ligue_1
3270,Rafael,24,1826,1,0.6972378073260188,2,3.1177751049399376,8,21,9,0,D S,Lyon,1,0.6972378073260188,8.086682783439755,5.949904570356011,Lyon,2017,Ligue_1
5666,Mouctar Diakhaby,12,722,1,1.256495214998722,0,0,4,0,2,0,D S,Lyon,1,1.256495214998722,2.748014986515045,2.748014986515045,Lyon,2017,Ligue_1
5736,Myziane Maolida,13,318,1,0.517272399738431,0,1.0296039804816246,10,7,0,0,F S,Lyon,1,0.517272399738431,2.2765204664319754,1.3066079132258892,Lyon,2017,Ligue_1
5973,Kenny Tete,22,1597,1,0.8887970298528671,4,2.6426528058946133,7,14,3,0,D S,Lyon,1,0.8887970298528671,5.888882007449865,5.072427477687597,Lyon,2017,Ligue_1
2291,Pape Cheikh,1,9,0,0,0,0,0,0,0,0,S,Lyon,0,0,0.0953558012843132,0.0953558012843132,Lyon,2017,Ligue_1
2621,Sergi Darder,3,212,0,0.030183300375938416,0,0.08878800086677074,2,2,1,1,M,Lyon,0,0.030183300375938416,0.28177499771118164,0.19329620152711868,Lyon,2017,Ligue_1
3269,Anthony Lopes,34,3060,0,0,0,0,0,0,1,0,GK,Lyon,0,0,5.3564149383455515,5.3564149383455515,Lyon,2017,Ligue_1
3271,Jérémy Morel,33,2915,0,0.017406700178980827,0,0.051967100240290165,1,2,4,0,D S,Lyon,0,0.017406700178980827,10.133809933438897,10.078792879357934,Lyon,2017,Ligue_1
3272,Mapou Yanga-Mbiwa,2,125,0,0,0,0,0,0,1,0,D S,Lyon,0,0,1.4075260162353516,1.4075260162353516,Lyon,2017,Ligue_1
3275,Jordan Ferri,24,606,0,0.36505809985101223,1,0.890749916434288,7,8,4,0,M S,Lyon,0,0.36505809985101223,5.846432473510504,4.908259484916925,Lyon,2017,Ligue_1
3283,Mathieu Gorgelin,4,360,0,0,0,0,0,0,0,0,GK,Lyon,0,0,0.4161108899861574,0.4161108899861574,Lyon,2017,Ligue_1
3568,Clément Grenier,1,2,0,0.08019179850816727,0,0,1,0,0,0,S,Lyon,0,0.08019179850816727,0,0,Lyon,2017,Ligue_1
3743,Lucas Tousart,37,3154,0,1.619803812354803,0,0.5322069954127073,16,13,8,0,M,Lyon,0,1.619803812354803,13.563630804419518,12.945720680058002,Lyon,2017,Ligue_1
5708,Fernando Marçal,18,1300,0,0.04720440041273832,3,1.8222491778433323,2,17,1,0,D S,Lyon,0,0.04720440041273832,5.217945286072791,4.765347310341895,Lyon,2017,Ligue_1
5962,Tanguy NDombele Alvaro,32,2368,0,1.4378644260577857,6,3.3047037422657013,26,43,5,0,M S,Lyon,0,1.4378644260577857,13.778172984719276,11.012554045766592,Lyon,2017,Ligue_1
6233,Ferland Mendy,27,2115,0,0.6874514045193791,5,2.49965641181916,17,28,4,0,D S,Lyon,0,0.6874514045193791,11.43304542824626,9.706062955316156,Lyon,2017,Ligue_1
6234,Christopher Martins Pereira,2,70,0,0,0,0.06064759939908981,0,1,1,0,M S,Lyon,0,0,0.17748509347438812,0.17748509347438812,Lyon,2017,Ligue_1
6332,Willem Geubbels,2,29,0,0,0,0,0,0,0,0,S,Lyon,0,0,0,0,Lyon,2017,Ligue_1
6401,Amine Gouiri,7,69,0,0.1567181944847107,0,0.14025799930095673,3,2,0,0,S,Lyon,0,0.1567181944847107,0.7340140119194984,0.4370369939133525,Lyon,2017,Ligue_1
