id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
8565,True,h,"{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'h': '3', 'a': '2'}","{'h': '2.14636', 'a': '0.248798'}",2017-08-04 19:45:00,"{'w': 0.8203231573391877, 'd': 0.1467352926188038, 'l': 0.032941540295450836}",w,Monaco,2017,Ligue_1
8583,True,a,"{'id': '181', 'title': 'Dijon', 'short_title': 'DJN'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '1', 'a': '4'}","{'h': '1.15256', 'a': '1.82196'}",2017-08-13 16:00:00,"{'w': 0.23997468972373912, 'd': 0.2296357695447002, 'l': 0.5303895396011096}",w,Monaco,2017,Ligue_1
8588,True,a,"{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '0', 'a': '1'}","{'h': '0.799504', 'a': '1.93555'}",2017-08-18 19:45:00,"{'w': 0.1473341632459094, 'd': 0.21152293838010064, 'l': 0.6411428958592196}",w,Monaco,2017,Ligue_1
8604,True,h,"{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'h': '6', 'a': '1'}","{'h': '4.53179', 'a': '1.41561'}",2017-08-27 20:00:00,"{'w': 0.8645612633435562, 'd': 0.07547133866367903, 'l': 0.05988788770347096}",w,Monaco,2017,Ligue_1
8609,True,a,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '4', 'a': '0'}","{'h': '2.94979', 'a': '0.881798'}",2017-09-09 16:00:00,"{'w': 0.7911434990884276, 'd': 0.12722887230755142, 'l': 0.08162708340486056}",l,Monaco,2017,Ligue_1
8622,True,h,"{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'h': '3', 'a': '0'}","{'h': '2.74933', 'a': '1.25366'}",2017-09-16 16:00:00,"{'w': 0.6880689196262179, 'd': 0.1613609603743352, 'l': 0.15056989157994624}",w,Monaco,2017,Ligue_1
8627,True,a,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '0', 'a': '4'}","{'h': '1.03899', 'a': '2.53149'}",2017-09-22 19:45:00,"{'w': 0.13507636864919456, 'd': 0.16766087676162494, 'l': 0.6972626735544191}",w,Monaco,2017,Ligue_1
8641,True,h,"{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'h': '1', 'a': '1'}","{'h': '0.939163', 'a': '0.948064'}",2017-09-29 19:45:00,"{'w': 0.3378410974996618, 'd': 0.3195440689484161, 'l': 0.3426148335516563}",d,Monaco,2017,Ligue_1
8649,True,a,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '3', 'a': '2'}","{'h': '1.79765', 'a': '1.86517'}",2017-10-13 19:45:00,"{'w': 0.37786783853949724, 'd': 0.21714256168556534, 'l': 0.40498959729103334}",l,Monaco,2017,Ligue_1
8658,True,h,"{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'h': '2', 'a': '0'}","{'h': '2.02602', 'a': '0.382019'}",2017-10-21 16:00:00,"{'w': 0.7666040619354085, 'd': 0.1743371563614894, 'l': 0.05905877711590206}",w,Monaco,2017,Ligue_1
