id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
8569,True,a,"{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '1', 'a': '0'}","{'h': '0.943684', 'a': '0.593773'}",2017-08-05 19:00:00,"{'w': 0.4243183746668448, 'd': 0.35331621545702047, 'l': 0.22236540987600195}",l,Nice,2017,Ligue_1
8575,True,h,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'h': '1', 'a': '2'}","{'h': '1.92396', 'a': '0.432943'}",2017-08-11 18:00:00,"{'w': 0.7343754750208997, 'd': 0.19163686728903828, 'l': 0.07398765536704249}",l,Nice,2017,Ligue_1
8590,True,h,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'h': '2', 'a': '0'}","{'h': '1.41445', 'a': '0.455777'}",2017-08-19 19:00:00,"{'w': 0.6110071100257172, 'd': 0.27062981134693026, 'l': 0.11836307859037062}",w,Nice,2017,Ligue_1
8595,True,a,"{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '3', 'a': '0'}","{'h': '1.3292', 'a': '0.247748'}",2017-08-26 19:00:00,"{'w': 0.6517888259177759, 'd': 0.28045141382759464, 'l': 0.06775976023886951}",l,Nice,2017,Ligue_1
8609,True,h,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '4', 'a': '0'}","{'h': '2.94979', 'a': '0.881798'}",2017-09-09 16:00:00,"{'w': 0.7911434990884276, 'd': 0.12722887230755142, 'l': 0.08162708340486056}",w,Nice,2017,Ligue_1
8616,True,a,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '0', 'a': '1'}","{'h': '0.88774', 'a': '0.590921'}",2017-09-17 16:00:00,"{'w': 0.4050004907123054, 'd': 0.36414430174907436, 'l': 0.2308552075385643}",w,Nice,2017,Ligue_1
8632,True,h,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '2', 'a': '2'}","{'h': '1.75619', 'a': '1.67713'}",2017-09-22 18:00:00,"{'w': 0.4038393557674355, 'd': 0.22503051255660883, 'l': 0.37113013061222366}",d,Nice,2017,Ligue_1
8643,True,h,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'h': '2', 'a': '4'}","{'h': '2.67558', 'a': '2.56739'}",2017-10-01 20:00:00,"{'w': 0.42898306570504596, 'd': 0.1787860447812554, 'l': 0.39223063004307895}",l,Nice,2017,Ligue_1
8648,True,a,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '2', 'a': '0'}","{'h': '1.39101', 'a': '1.94389'}",2017-10-15 16:00:00,"{'w': 0.27521616159033163, 'd': 0.22028554240490109, 'l': 0.5044982933137864}",l,Nice,2017,Ligue_1
8660,True,h,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'h': '1', 'a': '2'}","{'h': '1.8532', 'a': '1.15613'}",2017-10-22 14:00:00,"{'w': 0.5366967740225101, 'd': 0.22705530357042844, 'l': 0.2362479209904914}",l,Nice,2017,Ligue_1
