team,team_id,season,league,h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
Lille,160,2018,Ligue_1,h,1.88164,0.447458,1.88164,0.447458,"{'att': 182, 'def': 16}","{'att': 281, 'def': 26}",17,5,3,1,2.464,w,2018-08-11 21:00:00,1,0,0,3,1.4341819999999998
Lille,160,2018,Ligue_1,a,0.580405,1.62023,0.580405,0.860131,"{'att': 203, 'def': 22}","{'att': 210, 'def': 18}",5,3,0,0,0.4964,d,2018-08-18 21:00:00,0,1,0,1,-0.27972600000000003
Lille,160,2018,Ligue_1,h,1.70571,0.563755,1.70571,0.563755,"{'att': 278, 'def': 16}","{'att': 246, 'def': 20}",6,4,3,0,2.3192,w,2018-08-26 16:00:00,1,0,0,3,1.141955
Lille,160,2018,Ligue_1,a,1.51191,0.762905,0.652603,0.762905,"{'att': 145, 'def': 18}","{'att': 314, 'def': 15}",4,2,0,1,2.0459,l,2018-09-01 18:00:00,0,0,1,0,-0.11030200000000001
Lille,160,2018,Ligue_1,a,2.81999,1.44867,1.2998,0.688578,"{'att': 229, 'def': 25}","{'att': 249, 'def': 17}",7,4,3,2,2.3614,w,2018-09-15 18:00:00,1,0,0,3,0.611222
Lille,160,2018,Ligue_1,h,0.703161,1.2322,0.703161,1.2322,"{'att': 264, 'def': 29}","{'att': 160, 'def': 30}",6,6,2,1,0.8474999999999999,w,2018-09-22 15:00:00,1,0,0,3,-0.5290389999999999
Lille,160,2018,Ligue_1,a,2.01084,0.891123,2.01084,0.891123,"{'att': 130, 'def': 37}","{'att': 273, 'def': 26}",3,2,0,1,2.2859999999999996,l,2018-09-26 17:00:00,0,0,1,0,1.119717
Lille,160,2018,Ligue_1,h,2.94559,0.424331,1.4254,0.424331,"{'att': 264, 'def': 17}","{'att': 211, 'def': 24}",6,3,3,0,2.8985,w,2018-09-30 19:00:00,1,0,0,3,1.001069
Lille,160,2018,Ligue_1,h,0.792513,1.33367,0.792513,0.573572,"{'att': 303, 'def': 13}","{'att': 201, 'def': 22}",3,4,3,1,0.7743,w,2018-10-06 15:00:00,1,0,0,3,0.21894100000000005
Lille,160,2018,Ligue_1,a,1.94079,1.51825,1.18082,0.75815,"{'att': 318, 'def': 27}","{'att': 206, 'def': 28}",3,4,2,1,1.7153,w,2018-10-20 18:00:00,1,0,0,3,0.42267
