id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
10647,True,a,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '235', 'title': 'Nimes', 'short_title': 'NIM'}","{'h': '3', 'a': '4'}","{'h': '2.62438', 'a': '1.21376'}",2018-08-11 21:00:00,"{'w': 0.6757010511921601, 'd': 0.16846751543812563, 'l': 0.1558313057170372}",w,Nimes,2018,Ligue_1
10662,True,h,"{'id': '235', 'title': 'Nimes', 'short_title': 'NIM'}","{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'h': '3', 'a': '1'}","{'h': '1.63136', 'a': '0.967387'}",2018-08-19 22:00:00,"{'w': 0.5292016848288522, 'd': 0.24700615112216326, 'l': 0.2237921637919698}",w,Nimes,2018,Ligue_1
10666,True,a,"{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'id': '235', 'title': 'Nimes', 'short_title': 'NIM'}","{'h': '1', 'a': '0'}","{'h': '2.72202', 'a': '0.486732'}",2018-08-25 21:00:00,"{'w': 0.8410864751937833, 'd': 0.11451246713559528, 'l': 0.044400855983990316}",l,Nimes,2018,Ligue_1
10674,True,h,"{'id': '235', 'title': 'Nimes', 'short_title': 'NIM'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '2', 'a': '4'}","{'h': '1.1751', 'a': '2.55182'}",2018-09-01 15:00:00,"{'w': 0.15631518113178225, 'd': 0.17218128180073622, 'l': 0.6715034474071288}",l,Nimes,2018,Ligue_1
10684,True,a,"{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'id': '235', 'title': 'Nimes', 'short_title': 'NIM'}","{'h': '3', 'a': '3'}","{'h': '0.987408', 'a': '1.4185'}",2018-09-16 15:00:00,"{'w': 0.26228317252179717, 'd': 0.2682494637027622, 'l': 0.4694673637367325}",d,Nimes,2018,Ligue_1
10696,True,a,"{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'id': '235', 'title': 'Nimes', 'short_title': 'NIM'}","{'h': '1', 'a': '1'}","{'h': '1.71296', 'a': '0.776658'}",2018-09-21 18:45:00,"{'w': 0.5972445471374747, 'd': 0.23588696471276357, 'l': 0.16686848765475937}",d,Nimes,2018,Ligue_1
10710,True,h,"{'id': '235', 'title': 'Nimes', 'short_title': 'NIM'}","{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'h': '0', 'a': '0'}","{'h': '0.922377', 'a': '0.355414'}",2018-09-26 17:00:00,"{'w': 0.48397414266923733, 'd': 0.3777665331621515, 'l': 0.13825932416851486}",d,Nimes,2018,Ligue_1
10718,True,a,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '235', 'title': 'Nimes', 'short_title': 'NIM'}","{'h': '3', 'a': '0'}","{'h': '2.65101', 'a': '0.941051'}",2018-09-30 15:00:00,"{'w': 0.7373735040010693, 'd': 0.15303167807321552, 'l': 0.10959467302765497}",l,Nimes,2018,Ligue_1
10730,True,h,"{'id': '235', 'title': 'Nimes', 'short_title': 'NIM'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '0', 'a': '0'}","{'h': '0.760306', 'a': '1.4833'}",2018-10-06 18:00:00,"{'w': 0.19183698775429994, 'd': 0.26396898004597646, 'l': 0.5441940321289658}",d,Nimes,2018,Ligue_1
10735,True,a,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '235', 'title': 'Nimes', 'short_title': 'NIM'}","{'h': '2', 'a': '0'}","{'h': '1.71752', 'a': '1.39758'}",2018-10-19 18:45:00,"{'w': 0.4515743471603761, 'd': 0.2346746306857907, 'l': 0.3137510216095032}",l,Nimes,2018,Ligue_1
10749,True,h,"{'id': '235', 'title': 'Nimes', 'short_title': 'NIM'}","{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'h': '1', 'a': '1'}","{'h': '1.32474', 'a': '1.21742'}",2018-10-26 18:45:00,"{'w': 0.3919064962656037, 'd': 0.26694379414848984, 'l': 0.3411497095661754}",d,Nimes,2018,Ligue_1
