id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
10645,True,a,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '0', 'a': '1'}","{'h': '1.03263', 'a': '0.26742'}",2018-08-11 21:00:00,"{'w': 0.5517886341984618, 'd': 0.3531304594852779, 'l': 0.09508090631578894}",w,Reims,2018,Ligue_1
10653,True,h,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '1', 'a': '0'}","{'h': '0.677345', 'a': '0.977973'}",2018-08-17 21:45:00,"{'w': 0.24542866347243997, 'd': 0.3401397370531337, 'l': 0.41443159947420594}",w,Reims,2018,Ligue_1
10669,True,a,"{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '4', 'a': '1'}","{'h': '2.18312', 'a': '0.700141'}",2018-08-25 21:00:00,"{'w': 0.7142656291099951, 'd': 0.1802683435096249, 'l': 0.10546601522851337}",l,Reims,2018,Ligue_1
10678,True,h,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'h': '0', 'a': '1'}","{'h': '1.01568', 'a': '0.469098'}",2018-09-01 18:00:00,"{'w': 0.48419535576144973, 'd': 0.3480530391828003, 'l': 0.16775160505537615}",l,Reims,2018,Ligue_1
10689,True,a,"{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '0', 'a': '0'}","{'h': '0.822305', 'a': '0.426507'}",2018-09-16 13:00:00,"{'w': 0.42450856613375154, 'd': 0.396619576835506, 'l': 0.1788718570307235}",d,Reims,2018,Ligue_1
10698,True,h,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '181', 'title': 'Dijon', 'short_title': 'DJN'}","{'h': '0', 'a': '0'}","{'h': '1.06301', 'a': '0.154099'}",2018-09-22 18:00:00,"{'w': 0.6000172716422197, 'd': 0.346608978891676, 'l': 0.05337374946539671}",d,Reims,2018,Ligue_1
10711,True,a,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '4', 'a': '1'}","{'h': '3.65268', 'a': '0.326745'}",2018-09-26 19:00:00,"{'w': 0.9391998812213451, 'd': 0.04862037473961143, 'l': 0.012172716512505209}",l,Reims,2018,Ligue_1
10719,True,h,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'h': '0', 'a': '0'}","{'h': '0.63867', 'a': '0.205687'}",2018-09-29 18:00:00,"{'w': 0.40729649331539175, 'd': 0.48818093678354335, 'l': 0.10452256990106436}",d,Reims,2018,Ligue_1
10730,True,a,"{'id': '235', 'title': 'Nimes', 'short_title': 'NIM'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '0', 'a': '0'}","{'h': '0.760306', 'a': '1.4833'}",2018-10-06 18:00:00,"{'w': 0.19183698775429994, 'd': 0.26396898004597646, 'l': 0.5441940321289658}",d,Reims,2018,Ligue_1
10740,True,h,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '1', 'a': '1'}","{'h': '1.03372', 'a': '1.62653'}",2018-10-20 18:00:00,"{'w': 0.24090672012750497, 'd': 0.24720675481928636, 'l': 0.511886524805968}",d,Reims,2018,Ligue_1
10750,True,a,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '0', 'a': '2'}","{'h': '0.512686', 'a': '0.225626'}",2018-10-28 13:00:00,"{'w': 0.33735021263792747, 'd': 0.534822927157195, 'l': 0.12782686020487738}",w,Reims,2018,Ligue_1
10760,True,h,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '1', 'a': '0'}","{'h': '1.10683', 'a': '1.02637'}",2018-11-03 19:00:00,"{'w': 0.3722951687861837, 'd': 0.2964285998215906, 'l': 0.3312762313905484}",w,Reims,2018,Ligue_1
10769,True,a,"{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '2', 'a': '0'}","{'h': '1.30361', 'a': '0.7083'}",2018-11-10 19:00:00,"{'w': 0.508446160237101, 'd': 0.2888186522332272, 'l': 0.20273518751761133}",l,Reims,2018,Ligue_1
10778,True,h,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'h': '2', 'a': '1'}","{'h': '1.07478', 'a': '1.26231'}",2018-11-24 19:00:00,"{'w': 0.31434932519297015, 'd': 0.2794347295837138, 'l': 0.4062159452147592}",w,Reims,2018,Ligue_1
10785,True,a,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '0', 'a': '0'}","{'h': '0.682463', 'a': '0.510439'}",2018-12-02 16:00:00,"{'w': 0.3453445176877333, 'd': 0.41857657843801943, 'l': 0.2360789038742461}",d,Reims,2018,Ligue_1
10801,True,h,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'h': '0', 'a': '1'}","{'h': '1.55092', 'a': '1.2521'}",2018-12-05 18:00:00,"{'w': 0.4427531448959402, 'd': 0.24946587580995647, 'l': 0.3077809791575411}",l,Reims,2018,Ligue_1
10805,True,a,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '1', 'a': '1'}","{'h': '1.68774', 'a': '1.18633'}",2018-12-09 16:00:00,"{'w': 0.4910597403842136, 'd': 0.24042431778222176, 'l': 0.26851594142462326}",d,Reims,2018,Ligue_1
10822,True,h,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'h': '2', 'a': '1'}","{'h': '0.766134', 'a': '0.491204'}",2018-12-15 19:00:00,"{'w': 0.384553590754964, 'd': 0.4019424891260113, 'l': 0.21350392011901784}",w,Reims,2018,Ligue_1
10829,True,h,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'h': '2', 'a': '2'}","{'h': '1.74452', 'a': '0.412006'}",2018-12-22 19:00:00,"{'w': 0.7037238432213531, 'd': 0.21510021138157026, 'l': 0.08117594476499967}",d,Reims,2018,Ligue_1
10834,True,a,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '1', 'a': '1'}","{'h': '1.17326', 'a': '1.01755'}",2019-01-11 19:45:00,"{'w': 0.3937796182839981, 'd': 0.290875132852438, 'l': 0.31534524886037707}",d,Reims,2018,Ligue_1
