id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
12715,True,h,"{'id': '181', 'title': 'Dijon', 'short_title': 'DJN'}","{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'h': '1', 'a': '2'}","{'h': '2.15127', 'a': '0.916517'}",2019-08-10 19:00:00,"{'w': 0.6563350556267353, 'd': 0.19469781836655695, 'l': 0.1489671159661262}",l,Dijon,2019,Ligue_1
12725,True,a,"{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'id': '181', 'title': 'Dijon', 'short_title': 'DJN'}","{'h': '1', 'a': '0'}","{'h': '1.61998', 'a': '1.20997'}",2019-08-17 19:00:00,"{'w': 0.4692330620614446, 'd': 0.2453639688512139, 'l': 0.2854029688493493}",l,Dijon,2019,Ligue_1
12731,True,h,"{'id': '181', 'title': 'Dijon', 'short_title': 'DJN'}","{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'h': '0', 'a': '2'}","{'h': '0.234901', 'a': '0.626181'}",2019-08-24 19:00:00,"{'w': 0.12002715560776486, 'd': 0.4872043801274195, 'l': 0.3927684642648153}",l,Dijon,2019,Ligue_1
12739,True,a,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '181', 'title': 'Dijon', 'short_title': 'DJN'}","{'h': '2', 'a': '0'}","{'h': '1.41921', 'a': '0.736529'}",2019-08-31 18:00:00,"{'w': 0.5333209408856011, 'd': 0.2724416105508524, 'l': 0.19423744852482158}",l,Dijon,2019,Ligue_1
12749,True,h,"{'id': '181', 'title': 'Dijon', 'short_title': 'DJN'}","{'id': '235', 'title': 'Nimes', 'short_title': 'NIM'}","{'h': '0', 'a': '0'}","{'h': '0.789744', 'a': '0.342108'}",2019-09-14 18:00:00,"{'w': 0.4353548198834258, 'd': 0.4156142440334022, 'l': 0.14903093608316126}",d,Dijon,2019,Ligue_1
12768,True,a,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '181', 'title': 'Dijon', 'short_title': 'DJN'}","{'h': '2', 'a': '1'}","{'h': '1.08457', 'a': '1.10909'}",2019-09-21 18:00:00,"{'w': 0.3479250113176996, 'd': 0.291791820915799, 'l': 0.3602831677642839}",l,Dijon,2019,Ligue_1
12775,True,h,"{'id': '181', 'title': 'Dijon', 'short_title': 'DJN'}","{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'h': '0', 'a': '0'}","{'h': '1.74443', 'a': '1.31656'}",2019-09-24 17:00:00,"{'w': 0.4753793918000169, 'd': 0.23443247478754625, 'l': 0.2901881327669778}",d,Dijon,2019,Ligue_1
12788,True,a,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '181', 'title': 'Dijon', 'short_title': 'DJN'}","{'h': '1', 'a': '2'}","{'h': '0.784118', 'a': '1.41539'}",2019-09-28 18:00:00,"{'w': 0.2077473758381437, 'd': 0.2725427503461883, 'l': 0.5197098737783387}",w,Dijon,2019,Ligue_1
12790,True,h,"{'id': '181', 'title': 'Dijon', 'short_title': 'DJN'}","{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'h': '1', 'a': '0'}","{'h': '1.18723', 'a': '0.780588'}",2019-10-05 19:00:00,"{'w': 0.4550490959146692, 'd': 0.30256772092662215, 'l': 0.24238318315539417}",w,Dijon,2019,Ligue_1
12807,True,a,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '181', 'title': 'Dijon', 'short_title': 'DJN'}","{'h': '0', 'a': '0'}","{'h': '1.85901', 'a': '0.357988'}",2019-10-19 16:30:00,"{'w': 0.7423435231334999, 'd': 0.19442443024610168, 'l': 0.06323204514611673}",d,Dijon,2019,Ligue_1
