id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
7716,Darío Benedetto,26,2142,11,9.784038187935948,0,1.5451842211186886,61,20,4,0,F S,Marseille,11,9.02394318766892,10.924236755818129,2.126017030328512,Marseille,2019,Ligue_1
536,Dimitri Payet,22,1951,9,5.863477209582925,4,6.8619479034096,63,87,5,1,F M,Marseille,6,3.5831911489367485,11.00719652324915,6.137673204764724,Marseille,2019,Ligue_1
3696,Morgan Sanson,27,2214,5,4.178842863067985,4,3.4475713055580854,39,31,5,0,M S,Marseille,5,4.178842863067985,9.741332786157727,3.55496796220541,Marseille,2019,Ligue_1
7160,Nemanja Radonjic,21,862,5,3.57582151517272,1,1.405389692634344,30,14,3,0,F M S,Marseille,5,3.57582151517272,5.680345758795738,0.8515313994139433,Marseille,2019,Ligue_1
1256,Kevin Strootman,25,1401,2,1.8931765109300613,3,0.6827719938009977,11,12,7,0,M S,Marseille,1,1.1330815106630325,5.167892139405012,4.5151597410440445,Marseille,2019,Ligue_1
3309,Valère Germain,25,1324,2,1.4531455840915442,4,2.6792273931205273,20,13,1,0,F M S,Marseille,2,1.4531455840915442,5.494180269539356,2.790252633392811,Marseille,2019,Ligue_1
961,Jordan Amavi,26,2161,1,0.8594956221058965,1,1.0940013946965337,15,12,9,0,D S,Marseille,1,0.8594956221058965,4.821975029073656,4.247531456872821,Marseille,2019,Ligue_1
3393,Bouna Sarr,27,2184,1,2.1241784933954477,3,1.9631212744861841,28,14,3,0,D F M S,Marseille,1,2.1241784933954477,8.315525829792023,5.192528521642089,Marseille,2019,Ligue_1
5789,Boubacar Kamara,24,2142,1,0.5099027082324028,2,0.29524710588157177,15,7,7,1,D M,Marseille,1,0.5099027082324028,5.760385589674115,5.55130710080266,Marseille,2019,Ligue_1
7007,Duje Caleta-Car,23,1885,1,1.2676638178527355,1,0.7455479875206947,15,6,6,0,D S,Marseille,1,1.2676638178527355,2.49229540489614,2.0838697776198387,Marseille,2019,Ligue_1
92,Hiroki Sakai,21,1621,0,0.09623919799923897,0,1.5675201211124659,2,14,3,0,D S,Marseille,0,0.09623919799923897,5.178375747054815,4.423508524894714,Marseille,2019,Ligue_1
387,Luiz Gustavo,3,185,0,0.1406860053539276,0,0.12430270202457905,2,2,0,0,M S,Marseille,0,0.1406860053539276,0.33042800426483154,0.33042800426483154,Marseille,2019,Ligue_1
942,Florian Thauvin,2,13,0,0.42532829195261,0,0,3,0,0,0,S,Marseille,0,0.42532829195261,0.42532829195261,0,Marseille,2019,Ligue_1
1670,Steve Mandanda,27,2370,0,0,0,0,0,0,1,0,GK,Marseille,0,0,0.8529808074235916,0.8529808074235916,Marseille,2019,Ligue_1
2430,Álvaro González,20,1630,0,0.7859452096745372,0,0.5266234283335507,13,3,4,1,D S,Marseille,0,0.7859452096745372,1.2643324956297874,1.2178392950445414,Marseille,2019,Ligue_1
3395,Yohann Pelé,2,150,0,0,0,0,0,0,0,0,GK S,Marseille,0,0,0.026155900210142136,0.026155900210142136,Marseille,2019,Ligue_1
3673,Valentin Rongier,23,1799,0,2.2901291819289327,2,2.144740091636777,37,28,3,0,M S,Marseille,0,1.5300341816619039,6.293254394084215,4.284386642277241,Marseille,2019,Ligue_1
3772,Maxime Lopez,23,1113,0,0.7036226037889719,3,0.8451440986245871,10,18,2,0,F M S,Marseille,0,0.7036226037889719,3.692994564771652,2.577136892825365,Marseille,2019,Ligue_1
5737,Saif-Eddine Khaoui,7,86,0,0.2329363003373146,0,0.14078600332140923,5,2,1,0,S,Marseille,0,0.2329363003373146,0.47691260278224945,0.12866119667887688,Marseille,2019,Ligue_1
7229,Florian Chabrolle,1,14,0,0,0,0,0,0,0,0,S,Marseille,0,0,0,0,Marseille,2019,Ligue_1
7614,Lucas Perrin,4,360,0,0.5234934091567993,0,0,3,0,2,0,D,Marseille,0,0.5234934091567993,1.0290070176124573,0.5701158046722412,Marseille,2019,Ligue_1
7717,Isaac Lihadji,2,22,0,0,0,0,0,0,0,0,S,Marseille,0,0,0.10718770325183868,0.10718770325183868,Marseille,2019,Ligue_1
8037,Marley Aké,9,78,0,0.1374753974378109,0,0,3,0,1,0,S,Marseille,0,0.1374753974378109,0.7433703076094389,0.6570329088717699,Marseille,2019,Ligue_1
