id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
12715,True,a,"{'id': '181', 'title': 'Dijon', 'short_title': 'DJN'}","{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'h': '1', 'a': '2'}","{'h': '2.15127', 'a': '0.916517'}",2019-08-10 19:00:00,"{'w': 0.6563350556267353, 'd': 0.19469781836655695, 'l': 0.1489671159661262}",w,Saint-Etienne,2019,Ligue_1
12726,True,h,"{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'h': '1', 'a': '1'}","{'h': '2.21564', 'a': '0.501067'}",2019-08-18 14:00:00,"{'w': 0.7683604132355949, 'd': 0.1625254766516239, 'l': 0.06911409539488093}",d,Saint-Etienne,2019,Ligue_1
12735,True,a,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'h': '3', 'a': '0'}","{'h': '2.66328', 'a': '0.79996'}",2019-08-28 18:00:00,"{'w': 0.7689080598906941, 'd': 0.14326116221111806, 'l': 0.0878306243642822}",l,Saint-Etienne,2019,Ligue_1
12745,True,a,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'h': '1', 'a': '0'}","{'h': '0.845557', 'a': '0.524356'}",2019-09-01 20:00:00,"{'w': 0.4068339015288921, 'd': 0.37992476470214753, 'l': 0.2132413337689326}",l,Saint-Etienne,2019,Ligue_1
12754,True,h,"{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'h': '2', 'a': '2'}","{'h': '1.06769', 'a': '1.93338'}",2019-09-15 15:00:00,"{'w': 0.20548932543309337, 'd': 0.21923411066568943, 'l': 0.5752765614226704}",d,Saint-Etienne,2019,Ligue_1
12766,True,a,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'h': '4', 'a': '1'}","{'h': '1.92745', 'a': '0.794221'}",2019-09-22 15:00:00,"{'w': 0.6407563006492136, 'd': 0.2121878371965993, 'l': 0.14705585977487529}",l,Saint-Etienne,2019,Ligue_1
12773,True,h,"{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'h': '0', 'a': '1'}","{'h': '0.810489', 'a': '0.532843'}",2019-09-25 17:00:00,"{'w': 0.391160396040544, 'd': 0.38644831297327914, 'l': 0.2223912909861618}",l,Saint-Etienne,2019,Ligue_1
12787,True,a,"{'id': '235', 'title': 'Nimes', 'short_title': 'NIM'}","{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'h': '0', 'a': '1'}","{'h': '1.71161', 'a': '0.856429'}",2019-09-29 15:00:00,"{'w': 0.5764199049444791, 'd': 0.2376545460765038, 'l': 0.18592554848919338}",w,Saint-Etienne,2019,Ligue_1
12797,True,h,"{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '1', 'a': '0'}","{'h': '0.702101', 'a': '0.362585'}",2019-10-06 20:00:00,"{'w': 0.3921411444255808, 'd': 0.43836897051335144, 'l': 0.16948988506106558}",w,Saint-Etienne,2019,Ligue_1
12804,True,a,"{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'h': '0', 'a': '1'}","{'h': '0.898813', 'a': '0.869056'}",2019-10-20 14:00:00,"{'w': 0.3419697697824713, 'd': 0.33244160745125156, 'l': 0.3255886227661692}",w,Saint-Etienne,2019,Ligue_1
