id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
12717,True,h,"{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'h': '1', 'a': '1'}","{'h': '1.60857', 'a': '0.252178'}",2019-08-11 16:00:00,"{'w': 0.7207679572685673, 'd': 0.22535198307992546, 'l': 0.05388005943907886}",d,Strasbourg,2019,Ligue_1
12727,True,a,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'h': '0', 'a': '0'}","{'h': '0.337739', 'a': '0.560077'}",2019-08-18 16:00:00,"{'w': 0.1787744094101349, 'd': 0.48825576396369597, 'l': 0.3329698266261688}",d,Strasbourg,2019,Ligue_1
12737,True,h,"{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'h': '0', 'a': '2'}","{'h': '1.62131', 'a': '0.496085'}",2019-08-25 16:00:00,"{'w': 0.6518391765161025, 'd': 0.23843163704174133, 'l': 0.10972918620586355}",l,Strasbourg,2019,Ligue_1
12748,True,h,"{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '2', 'a': '2'}","{'h': '1.34345', 'a': '2.87671'}",2019-09-01 16:00:00,"{'w': 0.15306382702007384, 'd': 0.15660801353352413, 'l': 0.6903277590093245}",d,Strasbourg,2019,Ligue_1
12758,True,a,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'h': '1', 'a': '0'}","{'h': '0.839304', 'a': '0.561424'}",2019-09-14 15:30:00,"{'w': 0.39472442661582285, 'd': 0.3769467045633673, 'l': 0.22832886882078446}",l,Strasbourg,2019,Ligue_1
12763,True,h,"{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'h': '2', 'a': '1'}","{'h': '1.87224', 'a': '0.553506'}",2019-09-20 18:45:00,"{'w': 0.6916788738150955, 'd': 0.20668766040167083, 'l': 0.10163346416354574}",w,Strasbourg,2019,Ligue_1
12777,True,a,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'h': '2', 'a': '0'}","{'h': '3.02158', 'a': '0.234977'}",2019-09-25 17:00:00,"{'w': 0.9147615884503902, 'd': 0.07112570308151014, 'l': 0.014111976748461362}",l,Strasbourg,2019,Ligue_1
12785,True,h,"{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'h': '1', 'a': '0'}","{'h': '0.390945', 'a': '1.28128'}",2019-09-29 13:00:00,"{'w': 0.11266366770156805, 'd': 0.2943727081534821, 'l': 0.5929636241354489}",w,Strasbourg,2019,Ligue_1
12790,True,a,"{'id': '181', 'title': 'Dijon', 'short_title': 'DJN'}","{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'h': '1', 'a': '0'}","{'h': '1.18723', 'a': '0.780588'}",2019-10-05 19:00:00,"{'w': 0.4550490959146692, 'd': 0.30256772092662215, 'l': 0.24238318315539417}",l,Strasbourg,2019,Ligue_1
12806,True,a,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'h': '2', 'a': '0'}","{'h': '1.5975', 'a': '0.32374'}",2019-10-20 20:00:00,"{'w': 0.6966053268149153, 'd': 0.23252500578358903, 'l': 0.07086966720798547}",l,Strasbourg,2019,Ligue_1
12809,True,h,"{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '1', 'a': '0'}","{'h': '2.00977', 'a': '0.937597'}",2019-10-26 19:00:00,"{'w': 0.6227330900727595, 'd': 0.2089420830812664, 'l': 0.1683248227187143}",w,Strasbourg,2019,Ligue_1
12826,True,a,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'h': '1', 'a': '0'}","{'h': '0.985715', 'a': '1.37295'}",2019-11-02 19:00:00,"{'w': 0.2695680212440003, 'd': 0.2728816851740613, 'l': 0.45755029355710136}",l,Strasbourg,2019,Ligue_1
12837,True,h,"{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'id': '235', 'title': 'Nimes', 'short_title': 'NIM'}","{'h': '4', 'a': '1'}","{'h': '3.34398', 'a': '0.728859'}",2019-11-09 19:00:00,"{'w': 0.8612347337408076, 'd': 0.09182408459946212, 'l': 0.04693869662353061}",w,Strasbourg,2019,Ligue_1
12846,True,a,"{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'h': '0', 'a': '4'}","{'h': '0.205703', 'a': '2.67166'}",2019-11-23 19:00:00,"{'w': 0.016586862346955174, 'd': 0.09173267851499642, 'l': 0.8916802994412967}",w,Strasbourg,2019,Ligue_1
12849,True,h,"{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '1', 'a': '2'}","{'h': '0.422943', 'a': '0.819941'}",2019-11-30 17:00:00,"{'w': 0.17779874536039939, 'd': 0.3976339553821386, 'l': 0.4245672992574442}",l,Strasbourg,2019,Ligue_1
12866,True,a,"{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'h': '5', 'a': '0'}","{'h': '2.23505', 'a': '0.775747'}",2019-12-03 18:00:00,"{'w': 0.7054670209897898, 'd': 0.17962320746809146, 'l': 0.11490975506670509}",l,Strasbourg,2019,Ligue_1
12875,True,h,"{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'h': '4', 'a': '2'}","{'h': '2.82508', 'a': '2.12038'}",2019-12-07 19:00:00,"{'w': 0.5331825166467394, 'd': 0.17649577090727175, 'l': 0.29032138401716245}",w,Strasbourg,2019,Ligue_1
12883,True,a,"{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'h': '0', 'a': '1'}","{'h': '1.28592', 'a': '0.527336'}",2019-12-15 14:00:00,"{'w': 0.5537198123902429, 'd': 0.29396401133720634, 'l': 0.1523161762625639}",w,Strasbourg,2019,Ligue_1
