id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
12711,True,a,"{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'h': '1', 'a': '1'}","{'h': '2.32973', 'a': '1.42777'}",2019-08-10 19:00:00,"{'w': 0.5767293218786513, 'd': 0.19510096115613285, 'l': 0.22816968880899616}",d,Toulouse,2019,Ligue_1
12725,True,h,"{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'id': '181', 'title': 'Dijon', 'short_title': 'DJN'}","{'h': '1', 'a': '0'}","{'h': '1.61998', 'a': '1.20997'}",2019-08-17 19:00:00,"{'w': 0.4692330620614446, 'd': 0.2453639688512139, 'l': 0.2854029688493493}",w,Toulouse,2019,Ligue_1
12729,True,a,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'h': '4', 'a': '0'}","{'h': '4.70776', 'a': '0.699812'}",2019-08-25 20:00:00,"{'w': 0.9473288914503402, 'd': 0.03691568358052244, 'l': 0.015635613500283106}",l,Toulouse,2019,Ligue_1
12740,True,h,"{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'h': '2', 'a': '0'}","{'h': '1.28893', 'a': '0.27328'}",2019-08-31 18:00:00,"{'w': 0.6320848930553848, 'd': 0.29029069964459076, 'l': 0.07762440728971023}",w,Toulouse,2019,Ligue_1
12754,True,a,"{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'h': '2', 'a': '2'}","{'h': '1.06769', 'a': '1.93338'}",2019-09-15 15:00:00,"{'w': 0.20548932543309337, 'd': 0.21923411066568943, 'l': 0.5752765614226704}",d,Toulouse,2019,Ligue_1
12765,True,a,"{'id': '235', 'title': 'Nimes', 'short_title': 'NIM'}","{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'h': '1', 'a': '0'}","{'h': '1.62783', 'a': '0.844257'}",2019-09-21 18:00:00,"{'w': 0.5592296553276885, 'd': 0.2469063778911255, 'l': 0.19386396653172425}",l,Toulouse,2019,Ligue_1
12776,True,h,"{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '0', 'a': '2'}","{'h': '0.227476', 'a': '1.35732'}",2019-09-25 17:00:00,"{'w': 0.060539660543380946, 'd': 0.27333809229232364, 'l': 0.6661222471432796}",l,Toulouse,2019,Ligue_1
12783,True,a,"{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'h': '2', 'a': '2'}","{'h': '1.52646', 'a': '0.82033'}",2019-09-28 18:00:00,"{'w': 0.5397730096357116, 'd': 0.2586339691402988, 'l': 0.20159302111947114}",d,Toulouse,2019,Ligue_1
12795,True,h,"{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'h': '1', 'a': '3'}","{'h': '0.846031', 'a': '1.07992'}",2019-10-05 19:00:00,"{'w': 0.2816783810121936, 'd': 0.3125730113033678, 'l': 0.40574860768352766}",l,Toulouse,2019,Ligue_1
12802,True,h,"{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'h': '2', 'a': '1'}","{'h': '2.6316', 'a': '0.717652'}",2019-10-19 19:00:00,"{'w': 0.781785107057188, 'd': 0.1401336650001124, 'l': 0.07808109581165436}",w,Toulouse,2019,Ligue_1
12810,True,a,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'h': '3', 'a': '2'}","{'h': '2.20537', 'a': '0.98473'}",2019-10-27 14:00:00,"{'w': 0.6508041529618277, 'd': 0.1925600111935701, 'l': 0.15663582198563505}",l,Toulouse,2019,Ligue_1
