id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
17824,True,a,"{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '1', 'a': '2'}","{'h': '0.618173', 'a': '1.48651'}",2021-08-07 19:00:00,"{'w': 0.1539993185036269, 'd': 0.26240018127819176, 'l': 0.5836005001453158}",w,Paris Saint Germain,2021,Ligue_1
17834,True,h,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'h': '4', 'a': '2'}","{'h': '2.90032', 'a': '0.570058'}",2021-08-14 19:00:00,"{'w': 0.8447141825746851, 'd': 0.10812681295598019, 'l': 0.04715856160823537}",w,Paris Saint Germain,2021,Ligue_1
17842,True,a,"{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '2', 'a': '4'}","{'h': '1.24868', 'a': '1.51499'}",2021-08-20 19:00:00,"{'w': 0.3133637207365454, 'd': 0.25214299283364305, 'l': 0.43449328632883316}",w,Paris Saint Germain,2021,Ligue_1
17861,True,a,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '0', 'a': '2'}","{'h': '0.826608', 'a': '1.82461'}",2021-08-29 18:45:00,"{'w': 0.165367896680142, 'd': 0.22452327769730643, 'l': 0.6101088244722417}",w,Paris Saint Germain,2021,Ligue_1
17863,True,h,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '270', 'title': 'Clermont Foot', 'short_title': 'CLE'}","{'h': '4', 'a': '0'}","{'h': '2.50575', 'a': '1.0353'}",2021-09-11 15:00:00,"{'w': 0.6937237377917377, 'd': 0.16952230273899202, 'l': 0.13675388827186274}",w,Paris Saint Germain,2021,Ligue_1
17879,True,h,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '2', 'a': '1'}","{'h': '2.22972', 'a': '0.822779'}",2021-09-19 18:45:00,"{'w': 0.6933564973783227, 'd': 0.1827589695979207, 'l': 0.12388451704904253}",w,Paris Saint Germain,2021,Ligue_1
17885,True,a,"{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '1', 'a': '2'}","{'h': '0.761431', 'a': '1.14719'}",2021-09-22 19:00:00,"{'w': 0.2432932179937052, 'd': 0.3089986780619467, 'l': 0.4477081039422906}",w,Paris Saint Germain,2021,Ligue_1
17897,True,h,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'h': '2', 'a': '0'}","{'h': '2.58386', 'a': '0.274573'}",2021-09-25 19:00:00,"{'w': 0.8691253815929525, 'd': 0.10586457535259874, 'l': 0.025009938108439315}",w,Paris Saint Germain,2021,Ligue_1
17910,True,a,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '2', 'a': '0'}","{'h': '0.878199', 'a': '1.39782'}",2021-10-03 11:00:00,"{'w': 0.23609021361167792, 'd': 0.2731427465002634, 'l': 0.49076703985655645}",l,Paris Saint Germain,2021,Ligue_1
17919,True,h,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '2', 'a': '1'}","{'h': '2.48997', 'a': '1.15895'}",2021-10-15 19:00:00,"{'w': 0.664193037797947, 'd': 0.17616702276374155, 'l': 0.159639873720921}",w,Paris Saint Germain,2021,Ligue_1
17925,True,a,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '0', 'a': '0'}","{'h': '1.29195', 'a': '2.0521'}",2021-10-24 18:45:00,"{'w': 0.23784891000608435, 'd': 0.21252684630143237, 'l': 0.5496242382575851}",d,Paris Saint Germain,2021,Ligue_1
17939,True,h,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'h': '2', 'a': '1'}","{'h': '2.30974', 'a': '1.83335'}",2021-10-29 19:00:00,"{'w': 0.4906165884767171, 'd': 0.1982881936765283, 'l': 0.31109519145298753}",w,Paris Saint Germain,2021,Ligue_1
17942,True,a,"{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '2', 'a': '3'}","{'h': '1.57566', 'a': '1.23993'}",2021-11-06 20:00:00,"{'w': 0.4515969290244517, 'd': 0.24800774479791365, 'l': 0.30039532601095387}",w,Paris Saint Germain,2021,Ligue_1
17956,True,h,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'h': '3', 'a': '1'}","{'h': '1.26725', 'a': '0.998765'}",2021-11-20 16:00:00,"{'w': 0.4250797516354597, 'd': 0.28287645683695334, 'l': 0.2920437915191312}",w,Paris Saint Germain,2021,Ligue_1
17962,True,a,"{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '1', 'a': '3'}","{'h': '0.969955', 'a': '3.43495'}",2021-11-28 12:00:00,"{'w': 0.06668653369213395, 'd': 0.10237439835808043, 'l': 0.8309356505531446}",w,Paris Saint Germain,2021,Ligue_1
17978,True,h,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '0', 'a': '0'}","{'h': '1.61794', 'a': '0.957516'}",2021-12-01 20:00:00,"{'w': 0.5283080516969269, 'd': 0.24838731962561666, 'l': 0.22330462844754237}",d,Paris Saint Germain,2021,Ligue_1
17991,True,a,"{'id': '210', 'title': 'Lens', 'short_title': 'LEN'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '1', 'a': '1'}","{'h': '0.824432', 'a': '2.29134'}",2021-12-04 20:00:00,"{'w': 0.11891101195734752, 'd': 0.17703599165095563, 'l': 0.7040529736843593}",d,Paris Saint Germain,2021,Ligue_1
17999,True,h,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '2', 'a': '0'}","{'h': '1.90289', 'a': '0.815473'}",2021-12-12 19:45:00,"{'w': 0.6301503243211738, 'd': 0.21564811709253395, 'l': 0.1542015565779695}",w,Paris Saint Germain,2021,Ligue_1
18004,True,a,"{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '1', 'a': '1'}","{'h': '1.47671', 'a': '2.19929'}",2021-12-22 19:45:00,"{'w': 0.2556175938743033, 'd': 0.2040317788683274, 'l': 0.5403506138189181}",d,Paris Saint Germain,2021,Ligue_1
