team,team_id,season,league,wins,draws,loses,scored,missed,pts,xG,xGA,npxG,npxGA,deep,deep_allowed,xpts
Lille,160,2022,Ligue_1,,,,,,,,,,,,,
Paris Saint Germain,161,2022,Ligue_1,,,,,,,,,,,,,
Rennes,163,2022,Ligue_1,,,,,,,,,,,,,
Marseille,164,2022,Ligue_1,,,,,,,,,,,,,
Montpellier,166,2022,Ligue_1,,,,,,,,,,,,,
Angers,167,2022,Ligue_1,,,,,,,,,,,,,
Nantes,168,2022,Ligue_1,,,,,,,,,,,,,
Nice,170,2022,Ligue_1,,,,,,,,,,,,,
Monaco,171,2022,Ligue_1,,,,,,,,,,,,,
Troyes,172,2022,Ligue_1,,,,,,,,,,,,,
Toulouse,174,2022,Ligue_1,,,,,,,,,,,,,
Reims,177,2022,Ligue_1,,,,,,,,,,,,,
Lyon,178,2022,Ligue_1,,,,,,,,,,,,,
Lorient,179,2022,Ligue_1,,,,,,,,,,,,,
Lens,210,2022,Ligue_1,,,,,,,,,,,,,
Strasbourg,225,2022,Ligue_1,,,,,,,,,,,,,
Brest,241,2022,Ligue_1,,,,,,,,,,,,,
Clermont Foot,270,2022,Ligue_1,,,,,,,,,,,,,
Ajaccio,274,2022,Ligue_1,,,,,,,,,,,,,
Auxerre,275,2022,Ligue_1,,,,,,,,,,,,,
