Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS,season,league
Paris Saint Germain,32,23,4,5,71,27,73,73.83,67.75,28.24,25.2,42.55,7.73,22.61,386,126,72.68,2025,Ligue_1
Lens,32,21,4,7,62,33,67,69.3,65.5,40.89,36.04,29.46,10.13,11.73,274,171,60.78,2025,Ligue_1
Lille,33,18,7,8,52,35,61,55.97,49.89,38.0,34.72,15.16,10.27,14.02,310,136,55.43,2025,Ligue_1
Lyon,33,18,6,9,53,36,60,54.04,50.24,45.96,42.04,8.2,10.6,13.06,236,165,52.04,2025,Ligue_1
Rennes,33,17,8,8,58,47,59,52.26,47.7,56.32,51.76,-4.06,10.47,11.78,205,209,44.04,2025,Ligue_1
Marseille,33,17,5,11,60,44,56,65.54,59.46,47.46,42.89,16.57,10.02,17.87,252,172,56.88,2025,Ligue_1
Monaco,33,16,6,11,56,49,54,59.96,54.51,49.09,45.29,9.21,8.39,12.64,289,253,52.38,2025,Ligue_1
Strasbourg,32,13,8,11,51,42,47,52.96,47.64,43.65,39.85,7.79,11.16,13.94,207,177,49.11,2025,Ligue_1
Lorient,33,11,12,10,48,49,45,47.84,43.12,51.59,47.02,-3.9,17.91,10.66,164,214,41.9,2025,Ligue_1
Toulouse,33,12,8,13,47,46,44,46.29,40.97,44.32,40.52,0.45,12.77,9.7,210,198,48.21,2025,Ligue_1
Paris FC,33,10,11,12,45,49,41,47.38,42.74,55.73,46.61,-3.86,14.09,13.63,187,208,40.66,2025,Ligue_1
Brest,32,10,8,14,41,52,38,41.35,35.27,53.48,49.68,-14.42,11.27,9.96,149,219,38.23,2025,Ligue_1
Angers,33,9,8,16,28,47,35,32.39,28.59,57.88,53.32,-24.73,18.32,10.01,126,239,29.84,2025,Ligue_1
Le Havre,33,6,14,13,30,44,32,37.4,32.72,54.46,49.14,-16.42,10.58,9.21,127,256,37.23,2025,Ligue_1
Auxerre,33,7,10,16,32,44,31,39.72,35.92,48.82,45.02,-9.1,13.16,8.09,146,205,39.79,2025,Ligue_1
Nice,33,7,10,16,37,60,31,45.57,43.29,59.91,52.31,-9.02,13.32,10.35,177,249,36.97,2025,Ligue_1
Nantes,33,5,8,20,29,52,23,37.82,34.63,52.75,48.95,-14.33,13.9,8.53,149,205,35.45,2025,Ligue_1
Metz,33,3,7,23,32,76,16,32.74,28.18,63.82,57.74,-29.56,15.59,11.94,105,297,27.08,2025,Ligue_1
