id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
29542,True,h,"{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'h': '3', 'a': '3'}","{'h': '1.49573', 'a': '1.84218'}",2025-08-17 13:00:00,"{'w': 0.3150201134382297, 'd': 0.2253735534652045, 'l': 0.4596063317107206}",d,Brest,2025,Ligue_1
29554,True,a,"{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'h': '2', 'a': '0'}","{'h': '1.32432', 'a': '0.750148'}",2025-08-24 15:15:00,"{'w': 0.5032556267179318, 'd': 0.28505913281706313, 'l': 0.21168524045001805}",l,Brest,2025,Ligue_1
29556,True,a,"{'id': '210', 'title': 'Lens', 'short_title': 'LEN'}","{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'h': '3', 'a': '1'}","{'h': '4.42054', 'a': '0.963409'}",2025-08-29 18:45:00,"{'w': 0.908982236254998, 'd': 0.05792025580027223, 'l': 0.03303685413919668}",l,Brest,2025,Ligue_1
29566,True,h,"{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'id': '290', 'title': 'Paris FC', 'short_title': 'PAR'}","{'h': '1', 'a': '2'}","{'h': '2.60519', 'a': '1.85008'}",2025-09-14 15:15:00,"{'w': 0.5439552728352788, 'd': 0.1845033266711848, 'l': 0.2715412827160837}",l,Brest,2025,Ligue_1
29575,True,h,"{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '4', 'a': '1'}","{'h': '2.07376', 'a': '2.26393'}",2025-09-20 17:00:00,"{'w': 0.36603402395925483, 'd': 0.1973641612794381, 'l': 0.43660178909271985}",w,Brest,2025,Ligue_1
29583,True,a,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'h': '0', 'a': '2'}","{'h': '0.501827', 'a': '1.34192'}",2025-09-28 15:15:00,"{'w': 0.13856049801544634, 'd': 0.2841111139077681, 'l': 0.5773283880588197}",w,Brest,2025,Ligue_1
29593,True,h,"{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'h': '0', 'a': '0'}","{'h': '1.44552', 'a': '0.489862'}",2025-10-04 17:00:00,"{'w': 0.6093252525637984, 'd': 0.26618347451625873, 'l': 0.12449127287017371}",d,Brest,2025,Ligue_1
29603,True,a,"{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'h': '3', 'a': '3'}","{'h': '1.5878', 'a': '1.56803'}",2025-10-19 15:15:00,"{'w': 0.38619853323958103, 'd': 0.23610263424201583, 'l': 0.3776988321897564}",d,Brest,2025,Ligue_1
29613,True,h,"{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '0', 'a': '3'}","{'h': '1.89257', 'a': '2.92453'}",2025-10-25 15:00:00,"{'w': 0.23803860664196932, 'd': 0.16953827812324127, 'l': 0.5924226228135601}",l,Brest,2025,Ligue_1
29619,True,a,"{'id': '282', 'title': 'Le Havre', 'short_title': 'LHV'}","{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'h': '1', 'a': '0'}","{'h': '0.556063', 'a': '0.370311'}",2025-10-29 17:00:00,"{'w': 0.32297567740750194, 'd': 0.4818220030416822, 'l': 0.19520231955081588}",l,Brest,2025,Ligue_1
29629,True,h,"{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '0', 'a': '0'}","{'h': '1.63942', 'a': '0.143862'}",2025-11-02 19:45:00,"{'w': 0.7607528662844765, 'd': 0.21012822959806485, 'l': 0.029118903842994103}",d,Brest,2025,Ligue_1
29641,True,a,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'h': '3', 'a': '0'}","{'h': '3.09058', 'a': '0.69584'}",2025-11-08 16:00:00,"{'w': 0.8419497495877105, 'd': 0.10484703607893321, 'l': 0.053202251149933336}",l,Brest,2025,Ligue_1
