id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
29542,True,a,"{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'h': '3', 'a': '3'}","{'h': '1.49573', 'a': '1.84218'}",2025-08-17 13:00:00,"{'w': 0.3150201134382297, 'd': 0.2253735534652045, 'l': 0.4596063317107206}",d,Lille,2025,Ligue_1
29555,True,h,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '1', 'a': '0'}","{'h': '2.41091', 'a': '1.52213'}",2025-08-24 18:45:00,"{'w': 0.572705379597427, 'd': 0.1914408293351653, 'l': 0.23585374738268555}",w,Lille,2025,Ligue_1
29557,True,a,"{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'h': '1', 'a': '7'}","{'h': '1.1603', 'a': '3.70255'}",2025-08-30 15:00:00,"{'w': 0.07321146623420906, 'd': 0.09906961582678761, 'l': 0.8277106922945991}",w,Lille,2025,Ligue_1
29567,True,h,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'h': '2', 'a': '1'}","{'h': '2.42116', 'a': '1.15678'}",2025-09-14 13:00:00,"{'w': 0.6523647654209309, 'd': 0.18133791651157674, 'l': 0.16629727205703254}",w,Lille,2025,Ligue_1
29577,True,a,"{'id': '210', 'title': 'Lens', 'short_title': 'LEN'}","{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'h': '3', 'a': '0'}","{'h': '3.8174', 'a': '1.89889'}",2025-09-20 19:05:00,"{'w': 0.7233433074337778, 'd': 0.12665669963554832, 'l': 0.14998829071231282}",l,Lille,2025,Ligue_1
29584,True,h,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '0', 'a': '1'}","{'h': '1.65271', 'a': '0.642572'}",2025-09-28 15:15:00,"{'w': 0.6185730014508113, 'd': 0.23969546162375188, 'l': 0.1417315366194456}",l,Lille,2025,Ligue_1
29595,True,h,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '1', 'a': '1'}","{'h': '0.647492', 'a': '1.71207'}",2025-10-05 18:45:00,"{'w': 0.1367283836711443, 'd': 0.2320313145217825, 'l': 0.6312403013155146}",d,Lille,2025,Ligue_1
29605,True,a,"{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'h': '0', 'a': '2'}","{'h': '0.772603', 'a': '2.7603'}",2025-10-19 18:45:00,"{'w': 0.07822358640373213, 'd': 0.1337753350238333, 'l': 0.7880008385528562}",w,Lille,2025,Ligue_1
29617,True,h,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'h': '6', 'a': '1'}","{'h': '3.85054', 'a': '1.01476'}",2025-10-26 13:00:00,"{'w': 0.8626592238821494, 'd': 0.08370038617632003, 'l': 0.053627470476176664}",w,Lille,2025,Ligue_1
29623,True,a,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'h': '2', 'a': '0'}","{'h': '1.74459', 'a': '0.661109'}",2025-10-29 17:00:00,"{'w': 0.6350707522625237, 'd': 0.22837117957164443, 'l': 0.13655806753341457}",l,Lille,2025,Ligue_1
