id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
9690,Folarin Balogun,29,2197,13,13.742539389058948,4,4.1103387251496315,72,22,4,1,F S,Monaco,10,11.462253956124187,15.567311994731426,1.9075878635048866,Monaco,2025,Ligue_1
7967,Anssumane Fati,24,968,10,11.083896696567535,0,1.8502037413418293,39,14,1,0,F M S,Monaco,7,8.043516147881746,12.456795707345009,3.763922795653343,Monaco,2025,Ligue_1
10058,Maghnes Akliouche,30,2355,6,6.614660864695907,6,5.215315073728561,48,42,3,0,F M S,Monaco,6,6.614660864695907,18.775879971683025,8.261359868571162,Monaco,2025,Ligue_1
2897,Aleksandr Golovin,25,1695,5,4.700230384245515,5,2.307285126298666,34,24,2,1,M S,Monaco,5,4.700230384245515,11.270541843026876,5.069507037289441,Monaco,2025,Ligue_1
8239,Takumi Minamino,15,976,3,3.3724637255072594,2,2.100285714492202,21,9,4,0,F M S,Monaco,3,3.3724637255072594,6.809733860194683,1.6067421715706587,Monaco,2025,Ligue_1
11710,Simon Adingra,13,787,3,2.8126854188740253,1,1.3759673722088337,20,13,0,0,D F M S,Monaco,3,2.8126854188740253,4.876373749226332,1.3967427872121334,Monaco,2025,Ligue_1
12285,Mamadou Coulibaly,24,1387,3,1.9390665665268898,3,1.762764260172844,12,12,6,1,F M S,Monaco,3,1.9390665665268898,7.870961628854275,5.550460156053305,Monaco,2025,Ligue_1
6147,Denis Zakaria,23,1949,2,2.5287663117051125,1,1.4270154759287834,17,6,4,1,D M S,Monaco,2,2.5287663117051125,7.489018198102713,6.3633325062692165,Monaco,2025,Ligue_1
10349,Mika Biereth,31,1045,2,3.207695998251438,2,2.307873759418726,19,18,0,0,F M S,Monaco,2,3.207695998251438,7.45265494287014,2.3845423869788647,Monaco,2025,Ligue_1
12804,George Ilenikhena,15,343,2,1.2629067562520504,0,0.2268627993762493,15,3,0,0,F S,Monaco,2,1.2629067562520504,2.503964938223362,1.0573195964097977,Monaco,2025,Ligue_1
643,Eric Dier,9,693,1,0.5377254784107208,0,0.028601836413145065,3,1,0,0,D S,Monaco,1,0.5377254784107208,2.885582761839032,2.856980921700597,Monaco,2025,Ligue_1
6923,Mohammed Salisu,12,1080,1,0.8756848890334368,0,0.15080468729138374,8,2,3,0,D,Monaco,1,0.8756848890334368,3.4531896859407425,3.2525459304451942,Monaco,2025,Ligue_1
11799,Lamine Camara,23,1780,1,1.1108700092881918,4,4.624436096288264,21,32,5,0,M S,Monaco,1,1.1108700092881918,10.239450927823782,7.508115619421005,Monaco,2025,Ligue_1
12426,Stanis Idumbo Muzambo,8,129,1,1.0647227093577385,1,0.4020053409039974,6,3,0,0,S,Monaco,1,1.0647227093577385,1.4752825424075127,0.03686131536960602,Monaco,2025,Ligue_1
12950,Jordan Teze,32,2440,1,0.7771280901506543,2,4.144214039668441,14,34,7,0,D M S,Monaco,1,0.7771280901506543,11.804485201835632,8.570215247571468,Monaco,2025,Ligue_1
281,Lukas Hradecky,16,1355,0,0,0,0,0,0,1,0,GK,Monaco,0,0,2.794602807611227,2.794602807611227,Monaco,2025,Ligue_1
1740,Paul Pogba,6,102,0,0.09498397260904312,0,0,2,0,0,0,M S,Monaco,0,0.09498397260904312,0.069953553378582,0.069953553378582,Monaco,2025,Ligue_1
2674,Thilo Kehrer,27,2348,0,1.5215591192245483,0,0.3930577524006367,16,5,5,2,D,Monaco,0,1.5215591192245483,8.013462707400322,7.996981248259544,Monaco,2025,Ligue_1
5177,Caio Henrique,22,1527,0,0.19101067632436752,2,3.198100356385112,2,21,2,0,D M S,Monaco,0,0.19101067632436752,4.503836177289486,3.891177363693714,Monaco,2025,Ligue_1
8646,Wout Faes,13,1046,0,0.559219591319561,0,0,5,0,3,0,D S,Monaco,0,0.559219591319561,3.1247669383883476,3.1247669383883476,Monaco,2025,Ligue_1
9279,Krépin Diatta,18,997,0,0.9261248912662268,1,1.7593798488378525,7,12,2,0,D M S,Monaco,0,0.9261248912662268,5.158774934709072,3.25042811781168,Monaco,2025,Ligue_1
10271,Vanderson,14,609,0,0.1478172391653061,2,1.3581282254308462,3,11,4,0,D M S,Monaco,0,0.1478172391653061,3.2797976564615965,2.639238817617297,Monaco,2025,Ligue_1
10771,Ben Seghir,2,40,0,0.06498191505670547,0,0,1,0,0,0,S,Monaco,0,0.06498191505670547,0.06498191505670547,0,Monaco,2025,Ligue_1
11131,Christian Mawissa Elebi,17,1088,0,0.29555004835128784,0,0.2609071731567383,1,3,3,0,D S,Monaco,0,0.29555004835128784,3.396572779864073,2.840115588158369,Monaco,2025,Ligue_1
11781,Philipp Köhn,19,1615,0,0,0,0,0,0,0,0,GK S,Monaco,0,0,2.2199502903968096,2.2199502903968096,Monaco,2025,Ligue_1
12186,Kassoum Ouattara,15,992,0,1.185075655579567,3,2.7024725899100304,12,17,3,0,D M S,Monaco,0,1.185075655579567,7.205395624041557,4.093011476099491,Monaco,2025,Ligue_1
12255,Paris Brunner,6,107,0,0.08084410056471825,0,0,2,0,1,0,F S,Monaco,0,0.08084410056471825,0.08084410056471825,0,Monaco,2025,Ligue_1
12376,Lucas Michal,2,48,0,0.044548265635967255,0,0,1,0,0,0,S,Monaco,0,0.044548265635967255,0.044548265635967255,0,Monaco,2025,Ligue_1
13181,Samuel Nibombé,1,1,0,0,0,0,0,0,0,0,S,Monaco,0,0,0,0,Monaco,2025,Ligue_1
13214,Aladji Bamba,17,760,0,0.05884551256895065,1,1.599558014422655,1,10,3,0,M S,Monaco,0,0.05884551256895065,3.194741554558277,2.3843064047396183,Monaco,2025,Ligue_1
14098,Pape Cabral,4,53,0,0.5059756189584732,0,0,3,0,0,0,S,Monaco,0,0.5059756189584732,0.5961288139224052,0.5003542080521584,Monaco,2025,Ligue_1
14293,Ilane Touré,1,6,0,0,0,0,0,0,0,0,S,Monaco,0,0,0,0,Monaco,2025,Ligue_1
