id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
29544,True,a,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '290', 'title': 'Paris FC', 'short_title': 'PAR'}","{'h': '1', 'a': '0'}","{'h': '0.82142', 'a': '0.71125'}",2025-08-17 15:15:00,"{'w': 0.35112538022413686, 'd': 0.3617979526455195, 'l': 0.2870766671303225}",l,Paris FC,2025,Ligue_1
29548,True,a,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '290', 'title': 'Paris FC', 'short_title': 'PAR'}","{'h': '5', 'a': '2'}","{'h': '3.337', 'a': '1.05457'}",2025-08-23 15:00:00,"{'w': 0.8062007247448713, 'd': 0.11308281508073786, 'l': 0.08071403623753708}",l,Paris FC,2025,Ligue_1
29562,True,h,"{'id': '290', 'title': 'Paris FC', 'short_title': 'PAR'}","{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'h': '3', 'a': '2'}","{'h': '3.39898', 'a': '1.6248'}",2025-08-31 15:15:00,"{'w': 0.7144419061813637, 'd': 0.1372488941685016, 'l': 0.14830618262520964}",w,Paris FC,2025,Ligue_1
29566,True,a,"{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'id': '290', 'title': 'Paris FC', 'short_title': 'PAR'}","{'h': '1', 'a': '2'}","{'h': '2.60519', 'a': '1.85008'}",2025-09-14 15:15:00,"{'w': 0.5439552728352788, 'd': 0.1845033266711848, 'l': 0.2715412827160837}",w,Paris FC,2025,Ligue_1
29582,True,h,"{'id': '290', 'title': 'Paris FC', 'short_title': 'PAR'}","{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'h': '2', 'a': '3'}","{'h': '1.9014', 'a': '2.46459'}",2025-09-21 13:00:00,"{'w': 0.30110266558011, 'd': 0.19118559423556813, 'l': 0.50771168050016}",l,Paris FC,2025,Ligue_1
29587,True,a,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '290', 'title': 'Paris FC', 'short_title': 'PAR'}","{'h': '1', 'a': '1'}","{'h': '1.36997', 'a': '1.49444'}",2025-09-28 13:00:00,"{'w': 0.3475850225812566, 'd': 0.2489786708876329, 'l': 0.40343630642890294}",d,Paris FC,2025,Ligue_1
29599,True,h,"{'id': '290', 'title': 'Paris FC', 'short_title': 'PAR'}","{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'h': '2', 'a': '0'}","{'h': '1.83687', 'a': '0.855852'}",2025-10-03 18:45:00,"{'w': 0.6054757709556227, 'd': 0.224019817300248, 'l': 0.17050441048668266}",w,Paris FC,2025,Ligue_1
29602,True,a,"{'id': '210', 'title': 'Lens', 'short_title': 'LEN'}","{'id': '290', 'title': 'Paris FC', 'short_title': 'PAR'}","{'h': '2', 'a': '1'}","{'h': '1.98018', 'a': '0.583966'}",2025-10-19 13:00:00,"{'w': 0.7053419897095867, 'd': 0.19529930926143838, 'l': 0.09935869763292836}",l,Paris FC,2025,Ligue_1
29614,True,h,"{'id': '290', 'title': 'Paris FC', 'short_title': 'PAR'}","{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'h': '1', 'a': '2'}","{'h': '0.951277', 'a': '0.916827'}",2025-10-24 18:45:00,"{'w': 0.3485446018873183, 'd': 0.3214618852035515, 'l': 0.32999351290889345}",l,Paris FC,2025,Ligue_1
29622,True,h,"{'id': '290', 'title': 'Paris FC', 'short_title': 'PAR'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '3', 'a': '3'}","{'h': '0.581508', 'a': '1.21871'}",2025-10-29 19:05:00,"{'w': 0.17704494594117176, 'd': 0.30484179576235654, 'l': 0.5181132582917186}",d,Paris FC,2025,Ligue_1
