id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
9656,Ilan Kebbal,28,2226,9,6.189049772918224,4,4.9013017155230045,49,58,7,0,F M S,Paris FC,6,3.1487349029630423,12.89548409730196,6.784041738137603,Paris FC,2025,Ligue_1
6332,Willem Geubbels,23,944,5,5.551396399736404,0,0.47479547932744026,29,6,0,0,F S,Paris FC,4,4.791301265358925,5.489102154970169,0.8277539480477571,Paris FC,2025,Ligue_1
7908,Marshall Munetsi,14,916,4,3.947655960917473,1,0.7354808151721954,16,6,0,0,M S,Paris FC,4,3.947655960917473,4.017964795231819,1.621576115489006,Paris FC,2025,Ligue_1
5661,Jonathan Ikone,22,1039,3,3.5433878637850285,1,2.152355272322893,23,12,2,0,F M S,Paris FC,3,3.5433878637850285,6.864595424383879,2.210764056071639,Paris FC,2025,Ligue_1
7169,Moses Simon,28,1994,3,2.8105711210519075,3,4.311588157899678,33,32,1,0,F M S,Paris FC,3,2.8105711210519075,9.587133932858706,4.0332848858088255,Paris FC,2025,Ligue_1
10620,Luca Koleosho,15,496,3,2.6928724367171526,0,0.9300173129886389,16,7,0,0,M S,Paris FC,3,2.6928724367171526,5.008405860513449,2.4311221688985825,Paris FC,2025,Ligue_1
13801,Alimami Gory,23,937,3,2.5742545537650585,1,0.6585926469415426,16,4,2,0,D F M S,Paris FC,3,2.5742545537650585,4.216919993981719,1.0015269126743078,Paris FC,2025,Ligue_1
1209,Ciro Immobile,12,736,2,2.3328911624848843,2,1.9044423550367355,15,9,2,0,F S,Paris FC,2,2.3328911624848843,4.8917010352015495,2.161927657201886,Paris FC,2025,Ligue_1
5696,Vincent Marchetti,22,786,2,2.1302939681336284,1,0.5922490283846855,24,4,1,0,M S,Paris FC,2,2.1302939681336284,5.35577193275094,2.7062599174678326,Paris FC,2025,Ligue_1
8690,Jean-Phillipe Krasso,25,1082,2,4.3040565541014075,2,3.1578205032274127,27,23,0,0,F S,Paris FC,1,3.5439614383503795,7.954925827682018,1.9078789902850986,Paris FC,2025,Ligue_1
13577,Rudy Matondo,10,667,2,1.593732239678502,0,0.13723964802920818,9,3,1,1,D M S,Paris FC,2,1.593732239678502,1.887509231455624,1.4411199884489179,Paris FC,2025,Ligue_1
5619,Pierre Lees-Melou,21,1701,1,1.4736520051956177,2,2.0284863635897636,26,13,5,1,M S,Paris FC,1,1.4736520051956177,8.378878749907017,5.8363393768668175,Paris FC,2025,Ligue_1
10270,Lohann Doucet,5,114,1,0.6114895138889551,0,0.09275395981967449,2,4,2,0,M S,Paris FC,1,0.6114895138889551,0.7432505246251822,0.06531228870153427,Paris FC,2025,Ligue_1
13800,Samir Chergui,14,1067,1,1.7251441795378923,0,0.14677738398313522,12,2,1,0,D M S,Paris FC,1,1.7251441795378923,4.541268460452557,4.155108980834484,Paris FC,2025,Ligue_1
13802,Nouha Dicko,8,51,1,0.6042886339128017,1,0.29913920164108276,5,1,0,0,S,Paris FC,1,0.6042886339128017,0.8723113313317299,0.33900293335318565,Paris FC,2025,Ligue_1
13805,Adama Camara,28,2108,1,1.8084615897387266,0,1.372406106442213,17,15,8,0,D M S,Paris FC,1,1.8084615897387266,9.032478109002113,7.265292815864086,Paris FC,2025,Ligue_1
13871,Otávio,22,1822,1,0.5789848626591265,0,0.13376383855938911,12,3,6,1,D S,Paris FC,1,0.5789848626591265,5.799941705539823,5.685466211289167,Paris FC,2025,Ligue_1
2063,Timothée Kolodziejczak,11,660,0,0.04284840077161789,0,0.03673993609845638,1,2,2,0,D S,Paris FC,0,0.04284840077161789,1.1362606137990952,1.0995206870138645,Paris FC,2025,Ligue_1
3239,Hamari Traore,17,1164,0,0.36396299861371517,1,0.8060098411515355,4,9,4,0,D S,Paris FC,0,0.36396299861371517,4.230144029483199,3.7136071901768446,Paris FC,2025,Ligue_1
3286,Kevin Trapp,21,1890,0,0,0,0,0,0,2,0,GK,Paris FC,0,0,2.5581390224397182,2.5581390224397182,Paris FC,2025,Ligue_1
