id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
29538,True,h,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'h': '1', 'a': '0'}","{'h': '1.31418', 'a': '2.07298'}",2025-08-15 18:45:00,"{'w': 0.23964503098519824, 'd': 0.21121710259630802, 'l': 0.5491378602126248}",w,Rennes,2025,Ligue_1
29551,True,a,"{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'h': '4', 'a': '0'}","{'h': '3.4466', 'a': '0.0728372'}",2025-08-24 13:00:00,"{'w': 0.9599387641109338, 'd': 0.03753077820518911, 'l': 0.0025269007097308742}",l,Rennes,2025,Ligue_1
29560,True,a,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'h': '1', 'a': '1'}","{'h': '1.58619', 'a': '1.73758'}",2025-08-31 13:00:00,"{'w': 0.35390388351112395, 'd': 0.22866631691971281, 'l': 0.4174297987941217}",d,Rennes,2025,Ligue_1
29572,True,h,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '3', 'a': '1'}","{'h': '2.20918', 'a': '1.7381'}",2025-09-14 18:45:00,"{'w': 0.489015238808751, 'd': 0.2035049549792466, 'l': 0.30747979143836046}",w,Rennes,2025,Ligue_1
29581,True,a,"{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'h': '2', 'a': '2'}","{'h': '2.65629', 'a': '1.44041'}",2025-09-20 15:00:00,"{'w': 0.6343852851883469, 'd': 0.1742136013784053, 'l': 0.19140096482706784}",d,Rennes,2025,Ligue_1
29589,True,h,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '210', 'title': 'Lens', 'short_title': 'LEN'}","{'h': '0', 'a': '0'}","{'h': '1.57438', 'a': '1.51932'}",2025-09-28 18:45:00,"{'w': 0.392594979247743, 'd': 0.23869237631995527, 'l': 0.368712644175361}",d,Rennes,2025,Ligue_1
29594,True,a,"{'id': '282', 'title': 'Le Havre', 'short_title': 'LHV'}","{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'h': '2', 'a': '2'}","{'h': '1.98097', 'a': '1.21285'}",2025-10-05 15:15:00,"{'w': 0.5520753058551195, 'd': 0.21716668560043317, 'l': 0.2307580051260844}",d,Rennes,2025,Ligue_1
29609,True,h,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '275', 'title': 'Auxerre', 'short_title': 'AUX'}","{'h': '2', 'a': '2'}","{'h': '1.93587', 'a': '1.66634'}",2025-10-19 15:15:00,"{'w': 0.4457178314509915, 'd': 0.21740644910336354, 'l': 0.33687571658365045}",d,Rennes,2025,Ligue_1
29618,True,h,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '1', 'a': '2'}","{'h': '1.54435', 'a': '0.88734'}",2025-10-26 15:15:00,"{'w': 0.5272518700202592, 'd': 0.2564394209004318, 'l': 0.21630870895685325}",l,Rennes,2025,Ligue_1
29626,True,a,"{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'h': '2', 'a': '2'}","{'h': '1.62131', 'a': '1.26096'}",2025-10-29 19:05:00,"{'w': 0.4581709004807378, 'd': 0.2441712271413927, 'l': 0.29765787213395867}",d,Rennes,2025,Ligue_1
29635,True,h,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'h': '4', 'a': '1'}","{'h': '3.06877', 'a': '2.08816'}",2025-11-02 14:00:00,"{'w': 0.580759768056394, 'd': 0.16595074723844208, 'l': 0.25328859412915383}",w,Rennes,2025,Ligue_1
29644,True,a,"{'id': '290', 'title': 'Paris FC', 'short_title': 'PAR'}","{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'h': '0', 'a': '1'}","{'h': '2.2285', 'a': '1.36728'}",2025-11-07 19:45:00,"{'w': 0.5696042991041458, 'd': 0.20094682603201325, 'l': 0.22944885897855344}",w,Rennes,2025,Ligue_1
29653,True,h,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '4', 'a': '1'}","{'h': '3.067', 'a': '1.60818'}",2025-11-22 18:00:00,"{'w': 0.6690148267689131, 'd': 0.15485228246058602, 'l': 0.17613201297393738}",w,Rennes,2025,Ligue_1
29660,True,a,"{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'h': '0', 'a': '1'}","{'h': '1.31354', 'a': '0.980088'}",2025-11-28 19:45:00,"{'w': 0.4424997056022143, 'd': 0.2790903179501104, 'l': 0.27840997643406196}",w,Rennes,2025,Ligue_1
29671,True,a,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'h': '5', 'a': '0'}","{'h': '2.32641', 'a': '0.153549'}",2025-12-06 20:05:00,"{'w': 0.8670930296986872, 'd': 0.11644252342082152, 'l': 0.016464419276358482}",l,Rennes,2025,Ligue_1
29681,True,h,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'h': '3', 'a': '1'}","{'h': '1.58903', 'a': '0.872611'}",2025-12-13 16:00:00,"{'w': 0.5423291884085321, 'd': 0.25145921424011275, 'l': 0.20621159717121773}",w,Rennes,2025,Ligue_1
