id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
6874,Yann Gboho,31,2619,8,5.629588656127453,4,4.1475674994289875,57,57,1,1,F M S,Toulouse,8,5.629588656127453,12.911917438730597,4.810364473611116,Toulouse,2025,Ligue_1
14082,Emersonn,27,1517,7,7.415036683902144,2,1.8788170740008354,51,19,5,1,F S,Toulouse,7,7.415036683902144,7.866539558395743,1.186018974520266,Toulouse,2025,Ligue_1
10193,Frank Magri,17,1297,5,4.1963038221001625,1,0.8383028265088797,33,14,3,0,F M S,Toulouse,5,3.436208687722683,3.482685424387455,1.0790665484964848,Toulouse,2025,Ligue_1
12045,Aron Dønnum,28,2438,4,4.60387984290719,4,6.289067713543773,40,63,8,1,D F M,Toulouse,1,2.323594458401203,11.223862638697028,5.957076565362513,Toulouse,2025,Ligue_1
13756,Santiago Hidalgo,28,1297,4,3.9984716661274433,6,2.7228170400485396,33,13,4,0,F M S,Toulouse,4,3.9984716661274433,6.639282990247011,2.0777887292206287,Toulouse,2025,Ligue_1
3357,Djibril Sidibe,32,2169,3,3.01466503739357,4,1.9726380528882146,8,15,1,0,D S,Toulouse,2,1.4944747984409332,5.725381668657064,4.560083646327257,Toulouse,2025,Ligue_1
9220,Charlie Cresswell,29,2537,3,4.463126664981246,2,1.1976852640509605,38,11,8,0,D S,Toulouse,3,4.463126664981246,6.1904706954956055,4.257518079131842,Toulouse,2025,Ligue_1
11777,Cristian Cásseres Jr.,30,2506,2,1.70372299477458,3,3.142685988917947,26,37,6,0,M S,Toulouse,2,0.9436278305947781,8.740205682814121,6.731325209140778,Toulouse,2025,Ligue_1
12841,Dayann Methalie,27,1906,2,1.47647943533957,1,2.021740846335888,15,10,9,0,D S,Toulouse,2,1.47647943533957,5.686182048171759,2.9120020512491465,Toulouse,2025,Ligue_1
13918,Julián Vignolo,13,154,2,1.6874926052987576,0,0.330946609377861,8,7,0,0,M S,Toulouse,2,1.6874926052987576,0.6546274572610855,0.12988736853003502,Toulouse,2025,Ligue_1
10788,Rasmus Nicolaisen,32,2582,1,0.8822177099063993,0,0.09761351346969604,15,2,3,0,D S,Toulouse,1,0.8822177099063993,4.308370929211378,4.092125441879034,Toulouse,2025,Ligue_1
11291,Warren Kamanzi,24,825,1,1.5046230126172304,1,0.5564930234104395,12,9,1,0,D S,Toulouse,1,1.5046230126172304,3.678338922560215,1.8030570596456528,Toulouse,2025,Ligue_1
13755,Mário Sauer,25,611,1,1.286695908755064,0,0.12826909497380257,14,3,4,0,M S,Toulouse,1,1.286695908755064,2.095279081724584,0.7933451663702726,Toulouse,2025,Ligue_1
13757,Alexis Vossah,23,1097,1,0.4475819719955325,1,0.6934271529316902,9,7,5,1,M S,Toulouse,1,0.4475819719955325,2.707592196762562,2.048197515308857,Toulouse,2025,Ligue_1
13758,Seny Koumbassa,9,432,1,0.4978318251669407,0,0,3,0,0,0,D S,Toulouse,1,0.4978318251669407,0.5097077284008265,0.5097077284008265,Toulouse,2025,Ligue_1
14358,Pape Diop,15,1187,1,1.532203583046794,2,1.4103867206722498,29,19,2,0,M S,Toulouse,1,1.532203583046794,3.818284255452454,2.4263842049986124,Toulouse,2025,Ligue_1
14435,Jacen Russell-Rowe,13,461,1,1.5652745682746172,0,0.20251605473458767,11,6,0,0,F S,Toulouse,1,1.5652745682746172,1.8706004470586777,0.5934525821357965,Toulouse,2025,Ligue_1
10800,Kjetil Haug,1,27,0,0,0,0,0,0,0,0,S,Toulouse,0,0,0.3960287570953369,0.3960287570953369,Toulouse,2025,Ligue_1
11776,Guillaume Restes,33,2943,0,0,0,0.061214763671159744,0,1,3,0,GK,Toulouse,0,0,2.648525705561042,2.648525705561042,Toulouse,2025,Ligue_1
12330,Noah Edjouma,12,226,0,0.4386063180863857,0,0.38523048162460327,8,6,0,0,F S,Toulouse,0,0.4386063180863857,0.7348308302462101,0.06369567662477493,Toulouse,2025,Ligue_1
12598,Rafik Messali,12,493,0,0,0,0.6397527754306793,0,3,2,0,D M S,Toulouse,0,0,1.0807295013219118,0.4409767556935549,Toulouse,2025,Ligue_1
12842,Mark McKenzie,29,2407,0,0.2593727596104145,2,2.299533972516656,6,17,7,1,D S,Toulouse,0,0.2593727596104145,6.9600393027067184,5.473827317357063,Toulouse,2025,Ligue_1
13091,Jaydee Canvot,2,180,0,0.10035194456577301,0,0,2,0,1,0,D M,Toulouse,0,0.10035194456577301,0.1547568142414093,0.05440486967563629,Toulouse,2025,Ligue_1
13211,Mathis Saka,1,2,0,0,0,0,0,0,0,0,S,Toulouse,0,0,0,0,Toulouse,2025,Ligue_1
13608,Ilyas Azizi,3,23,0,0.05734306946396828,0,0.028749627992510796,1,1,0,0,S,Toulouse,0,0.05734306946396828,0.14907943457365036,0.12032980099320412,Toulouse,2025,Ligue_1
14049,Abu Francis,8,546,0,0.17653927952051163,0,0.04437817260622978,6,1,2,0,M S,Toulouse,0,0.17653927952051163,1.878791879862547,1.688640858978033,Toulouse,2025,Ligue_1
