team,team_id,season,league,h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
Verona,94,2015,Serie_A,h,0.865017,1.16312,0.865017,1.16312,"{'att': 309, 'def': 20}","{'att': 112, 'def': 18}",2,11,1,1,1.0943,d,2015-08-22 20:00:00,0,1,0,1,-0.2981029999999999
Verona,94,2015,Serie_A,a,0.520796,2.03288,0.520796,2.03288,"{'att': 211, 'def': 23}","{'att': 110, 'def': 27}",4,7,0,2,0.3174,l,2015-08-30 22:45:00,0,0,1,0,-1.512084
Verona,94,2015,Serie_A,h,1.61701,0.926644,0.855706,0.926644,"{'att': 256, 'def': 21}","{'att': 231, 'def': 26}",2,7,2,2,1.957,d,2015-09-13 14:30:00,0,1,0,1,-0.07093800000000006
Verona,94,2015,Serie_A,a,0.753904,0.921773,0.753904,0.921773,"{'att': 176, 'def': 23}","{'att': 148, 'def': 21}",2,7,1,1,1.1668,d,2015-09-20 17:00:00,0,1,0,1,-0.16786899999999993
Verona,94,2015,Serie_A,a,0.240971,0.838775,0.240971,0.838775,"{'att': 296, 'def': 19}","{'att': 188, 'def': 27}",6,8,0,1,0.7021,l,2015-09-23 22:45:00,0,0,1,0,-0.597804
Verona,94,2015,Serie_A,h,1.07591,2.28189,1.07591,1.52067,"{'att': 283, 'def': 20}","{'att': 156, 'def': 34}",3,12,1,2,0.3916,l,2015-09-27 17:00:00,0,0,1,0,-0.44476000000000004
Verona,94,2015,Serie_A,a,1.11646,1.67182,1.11646,1.67182,"{'att': 233, 'def': 20}","{'att': 197, 'def': 41}",6,6,1,1,0.9111,d,2015-10-03 22:45:00,0,1,0,1,-0.5553600000000001
Verona,94,2015,Serie_A,h,1.10503,0.839325,0.343733,0.839325,"{'att': 257, 'def': 18}","{'att': 242, 'def': 29}",3,2,1,1,1.6379000000000001,d,2015-10-18 17:00:00,0,1,0,1,-0.495592
Verona,94,2015,Serie_A,a,0.629179,2.84874,0.629179,2.84874,"{'att': 229, 'def': 16}","{'att': 272, 'def': 23}",9,9,1,4,0.1669,l,2015-10-25 15:30:00,0,0,1,0,-2.2195609999999997
Verona,94,2015,Serie_A,h,0.0829689,1.97422,0.0829689,1.97422,"{'att': 411, 'def': 35}","{'att': 201, 'def': 19}",2,5,0,2,0.074,l,2015-10-28 23:45:00,0,0,1,0,-1.8912511
Verona,94,2015,Serie_A,a,0.525153,1.24528,0.525153,1.24528,"{'att': 113, 'def': 28}","{'att': 246, 'def': 28}",7,5,0,0,0.6918,d,2015-11-01 18:00:00,0,1,0,1,-0.720127
Verona,94,2015,Serie_A,h,0.238936,1.29364,0.238936,1.29364,"{'att': 239, 'def': 32}","{'att': 243, 'def': 12}",7,3,0,2,0.39670000000000005,l,2015-11-07 21:00:00,0,0,1,0,-1.0547039999999999
Verona,94,2015,Serie_A,h,0.169838,2.39349,0.169838,2.39349,"{'att': 433, 'def': 16}","{'att': 157, 'def': 30}",0,19,0,2,0.0891,l,2015-11-22 15:30:00,0,0,1,0,-2.223652
Verona,94,2015,Serie_A,a,0.811855,2.46758,0.811855,1.70628,"{'att': 187, 'def': 25}","{'att': 157, 'def': 31}",5,6,2,3,0.31789999999999996,l,2015-11-29 18:00:00,0,0,1,0,-0.894425
Verona,94,2015,Serie_A,h,1.40759,0.644992,1.40759,0.644992,"{'att': 238, 'def': 29}","{'att': 270, 'def': 21}",3,6,0,1,2.0140000000000002,l,2015-12-06 18:00:00,0,0,1,0,0.7625979999999999
Verona,94,2015,Serie_A,a,1.06932,1.44621,0.308019,1.44621,"{'att': 260, 'def': 23}","{'att': 173, 'def': 18}",4,7,1,1,1.0273,d,2015-12-13 18:00:00,0,1,0,1,-1.138191
Verona,94,2015,Serie_A,h,1.16023,1.49577,1.16023,1.49577,"{'att': 274, 'def': 27}","{'att': 195, 'def': 30}",4,4,1,1,1.0647000000000002,d,2015-12-20 18:00:00,0,1,0,1,-0.33553999999999995
Verona,94,2015,Serie_A,a,0.268673,1.4656,0.268673,1.4656,"{'att': 297, 'def': 18}","{'att': 236, 'def': 30}",3,6,0,3,0.371,l,2016-01-06 18:00:00,0,0,1,0,-1.196927
