team,team_id,season,league,wins,draws,loses,scored,missed,pts,xG,xGA,npxG,npxGA,deep,deep_allowed,xpts
Verona,94,2015,Serie_A,,,,,,,,,,,,,
Roma,95,2015,Serie_A,,,,,,,,,,,,,
Lazio,96,2015,Serie_A,,,,,,,,,,,,,
Bologna,97,2015,Serie_A,,,,,,,,,,,,,
Juventus,98,2015,Serie_A,,,,,,,,,,,,,
Udinese,99,2015,Serie_A,,,,,,,,,,,,,
Palermo,100,2015,Serie_A,,,,,,,,,,,,,
Genoa,101,2015,Serie_A,,,,,,,,,,,,,
Sampdoria,102,2015,Serie_A,,,,,,,,,,,,,
Carpi,103,2015,Serie_A,,,,,,,,,,,,,
Sassuolo,104,2015,Serie_A,,,,,,,,,,,,,
Napoli,105,2015,Serie_A,,,,,,,,,,,,,
Inter,106,2015,Serie_A,,,,,,,,,,,,,
Atalanta,107,2015,Serie_A,,,,,,,,,,,,,
Empoli,108,2015,Serie_A,,,,,,,,,,,,,
Chievo,109,2015,Serie_A,,,,,,,,,,,,,
Fiorentina,110,2015,Serie_A,,,,,,,,,,,,,
AC Milan,111,2015,Serie_A,,,,,,,,,,,,,
Frosinone,112,2015,Serie_A,,,,,,,,,,,,,
Torino,113,2015,Serie_A,,,,,,,,,,,,,
