id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
1903,Kevin Lasagna,36,1441,5,4.217365125194192,2,2.0328319892287254,44,23,1,0,F M S,Carpi,5,4.217365125194192,6.484209157526493,0.6971576903015375,Carpi,2015,Serie_A
1405,Marco Borriello,12,750,4,2.6961365304887295,3,2.073939248919487,30,12,1,1,F S,Carpi,4,2.6961365304887295,3.7056553438305855,0.32055010087788105,Carpi,2015,Serie_A
1445,Simone Verdi,8,270,3,2.5523370280861855,0,0.20126054249703884,15,5,1,0,F M S,Carpi,1,1.029738999903202,1.0873926598578691,0.18513640016317368,Carpi,2015,Serie_A
1905,Antonio Di Gaudio,29,1511,3,3.750231269747019,3,2.4830039776861668,35,15,2,0,F M S,Carpi,3,3.750231269747019,5.607607956044376,1.0575241968035698,Carpi,2015,Serie_A
1973,Lorenzo Lollo,27,2103,3,3.418472549878061,1,1.0339489039033651,36,15,10,2,M S,Carpi,3,3.418472549878061,8.108247357420623,4.099014803767204,Carpi,2015,Serie_A
1153,Ryder Matos,15,1208,2,4.643702705390751,1,1.4195023849606514,31,18,1,0,F M S,Carpi,2,3.8824077444151044,4.120059408247471,0.6799910990521312,Carpi,2015,Serie_A
1899,Lorenzo Pasciuti,21,1556,2,0.3927720934152603,3,3.667264844290912,6,26,4,1,D M S,Carpi,2,0.3927720934152603,4.94626204483211,3.3123858142644167,Carpi,2015,Serie_A
1907,Jerry Mbakogu,24,1706,2,6.062509052455425,2,3.954690707847476,34,25,2,0,F S,Carpi,1,3.7786086723208427,8.266382917761803,1.8209550008177757,Carpi,2015,Serie_A
1350,Jonathan de Guzmán,5,105,1,0.7860872186720371,0,0.05225680023431778,2,1,0,0,M S,Carpi,0,0.024828199297189713,0.16721279919147491,0.0901281014084816,Carpi,2015,Serie_A
1643,Luca Marrone,9,732,1,0.21744100470095873,0,0.16438470222055912,5,7,4,0,M,Carpi,1,0.21744100470095873,1.0473757945001125,0.8392873890697956,Carpi,2015,Serie_A
1895,Cristian Zaccardo,27,2405,1,1.7240969147533178,0,0.3442838964983821,17,7,4,0,D S,Carpi,1,1.7240969147533178,3.182131553068757,1.962209889665246,Carpi,2015,Serie_A
1896,Riccardo Gagliolo,31,2633,1,0.9764901315793395,0,0.4615537980571389,12,13,11,1,D S,Carpi,1,0.9764901315793395,3.32962154597044,2.904393447563052,Carpi,2015,Serie_A
1898,Stefano Sabelli,7,556,1,0.5728257857263088,0,0.3628602996468544,4,5,1,0,D M S,Carpi,1,0.5728257857263088,1.1417050138115883,0.3356917053461075,Carpi,2015,Serie_A
1900,Raffaele Bianco,26,1870,1,1.104566096328199,3,0.8598595000803471,17,19,5,1,M S,Carpi,1,1.104566096328199,4.36568099539727,2.893233503215015,Carpi,2015,Serie_A
1972,Gaetano Letizia,35,2893,1,1.1993432780727744,0,3.047821719199419,24,33,5,0,D M S,Carpi,1,1.1993432780727744,8.472485462203622,6.650567824952304,Carpi,2015,Serie_A
1981,Matteo Mancosu,12,584,1,2.3701469898223877,0,0.2625878006219864,10,6,2,0,F S,Carpi,0,1.608847975730896,1.3230551928281784,0.17026659846305847,Carpi,2015,Serie_A
2027,Andrea Lazzari,8,336,1,1.4639357635751367,0,1.3124194741249084,10,16,1,0,M S,Carpi,1,0.7026328155770898,1.0601862967014313,0.2995773945003748,Carpi,2015,Serie_A
1112,Isaac Cofie,29,2163,0,1.1960462983697653,1,0.84447160968557,23,13,7,0,M S,Carpi,0,1.1960462983697653,4.947361752856523,3.547509145922959,Carpi,2015,Serie_A
1342,Nicolás Spolli,4,328,0,0.09342949837446213,0,0.012982499785721302,1,1,2,0,D,Carpi,0,0.09342949837446213,0.030866400338709354,0.017883900552988052,Carpi,2015,Serie_A
1894,Simone Colombi,1,90,0,0,0,0,0,0,0,0,GK,Carpi,0,0,0.13371999561786652,0.13371999561786652,Carpi,2015,Serie_A
1897,Emanuele Suagher,9,721,0,0.21071679890155792,0,0.010909300297498703,3,1,8,0,D S,Carpi,0,0.21071679890155792,0.2779778093099594,0.2779778093099594,Carpi,2015,Serie_A
1901,Raphael Martinho,11,693,0,0.5967795541509986,0,0.12840750068426132,10,5,3,0,M S,Carpi,0,0.5967795541509986,1.5010978765785694,0.8896492999047041,Carpi,2015,Serie_A
1902,Marco Crimi,19,954,0,0.30694760009646416,1,0.891895204782486,7,9,9,0,M S,Carpi,0,0.30694760009646416,1.9147479049861431,0.9827045947313309,Carpi,2015,Serie_A
1904,Filippo Porcari,4,181,0,0.0303311999887228,0,0.5003715921193361,2,4,1,0,M S,Carpi,0,0.0303311999887228,0.8116893246769905,0.3140610009431839,Carpi,2015,Serie_A
1906,Matteo Fedele,8,570,0,0.5139713920652866,0,0.6659411825239658,11,8,2,0,M,Carpi,0,0.5139713920652866,1.1974385334178805,0.860985504463315,Carpi,2015,Serie_A
