id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
1867,Federico Dionisi,32,2455,9,6.684953992720693,4,3.2036831099539995,83,29,12,0,F S,Frosinone,8,5.923654978629202,9.287635625340044,2.292624640278518,Frosinone,2015,Serie_A
1868,Daniel Ciofani,37,2919,9,8.207670653238893,1,2.151538717094809,76,40,1,0,F S,Frosinone,7,6.685073608532548,9.041167430579662,1.9722033981233835,Frosinone,2015,Serie_A
1866,Paolo Sammarco,28,2321,4,2.1321675730869174,1,1.4467895859852433,23,25,7,0,M S,Frosinone,4,2.1321675730869174,5.030454466119409,2.053174953907728,Frosinone,2015,Serie_A
1860,Leonardo Blanchard,28,2458,3,2.40681547857821,1,0.7386813163757324,22,4,11,1,D S,Frosinone,3,2.40681547857821,2.074065675958991,1.846566280350089,Frosinone,2015,Serie_A
1865,Alessandro Frara,20,1163,2,1.1051394939422607,0,0.1107706194743514,12,6,3,0,M S,Frosinone,2,1.1051394939422607,1.6602859888225794,0.7866327241063118,Frosinone,2015,Serie_A
1963,Luca Paganini,27,1850,2,2.7698268154636025,2,1.674337505362928,25,22,6,0,F M S,Frosinone,2,2.7698268154636025,5.482808041386306,1.8933875225484371,Frosinone,2015,Serie_A
1191,Arlind Ajeti,16,1216,1,0.38817470148205757,0,0.3860398083925247,9,4,5,1,D S,Frosinone,1,0.38817470148205757,0.8543715123087168,0.8277155105024576,Frosinone,2015,Serie_A
1807,Modibo Diakité,18,1620,1,2.0981289437040687,0,0.11359244119375944,7,4,4,0,D,Frosinone,1,2.0981289437040687,1.9534041760489345,1.9145069811493158,Frosinone,2015,Serie_A
1861,Adriano Russo,10,886,1,0.0978073999285698,0,0.16420119628310204,1,3,2,0,D S,Frosinone,1,0.0978073999285698,0.6465359032154083,0.6169087029993534,Frosinone,2015,Serie_A
1863,Oliver Kragl,15,940,1,1.2641654992476106,0,0.645513616502285,32,10,4,0,F M S,Frosinone,1,1.2641654992476106,1.8981282254680991,0.48392230179160833,Frosinone,2015,Serie_A
1871,Danilo Soddimo,28,1792,1,1.8490606937557459,2,2.518753263168037,44,44,9,1,F M S,Frosinone,1,1.8490606937557459,6.043059201911092,3.17514256760478,Frosinone,2015,Serie_A
1352,Aleandro Rosi,27,2161,0,0.6136047001928091,0,1.0022299378179014,15,14,6,0,D S,Frosinone,0,0.6136047001928091,4.0820240043103695,3.142627503722906,Frosinone,2015,Serie_A
1359,Aleksandar Tonev,22,1073,0,1.1244863397441804,1,1.109284209087491,31,10,2,0,F M S,Frosinone,0,1.1244863397441804,1.3950126213021576,0.42422569543123245,Frosinone,2015,Serie_A
1602,Daniel Pavlovic,22,1939,0,0.6163249043747783,5,3.0421848874539137,12,42,6,0,D,Frosinone,0,0.6163249043747783,2.551100531592965,1.618318434804678,Frosinone,2015,Serie_A
1858,Massimo Zappino,4,331,0,0,0,0.02838060911744833,0,2,0,0,GK S,Frosinone,0,0,0.10474521014839411,0.09723220020532608,Frosinone,2015,Serie_A
1859,Matteo Ciofani,18,1294,0,0.09129699878394604,1,0.369511891156435,4,5,2,0,D S,Frosinone,0,0.09129699878394604,1.0748527087271214,0.654769298620522,Frosinone,2015,Serie_A
1862,Roberto Crivello,17,1440,0,0.06570800021290779,1,0.5482480954378843,2,14,5,0,D S,Frosinone,0,0.06570800021290779,1.1321572018787265,0.7125314949080348,Frosinone,2015,Serie_A
1864,Mirko Gori,28,2187,0,0.43990139849483967,0,0.5689426995813847,23,13,10,1,M S,Frosinone,0,0.43990139849483967,3.882754100486636,3.1762288995087147,Frosinone,2015,Serie_A
1869,Robert Gucher,24,1369,0,0.3286994080990553,0,1.2220198269933462,21,19,3,0,M S,Frosinone,0,0.3286994080990553,1.2905294056981802,0.7592307068407536,Frosinone,2015,Serie_A
1870,Massimiliano Carlini,14,365,0,0.18138370104134083,0,0.3980024065822363,4,11,0,0,M S,Frosinone,0,0.18138370104134083,1.4099906980991364,0.938247062265873,Frosinone,2015,Serie_A
1872,Raman Chibsah,22,1159,0,0.270980903878808,2,0.8461986873298883,11,16,1,1,M S,Frosinone,0,0.270980903878808,2.1553749311715364,1.5013478361070156,Frosinone,2015,Serie_A
1873,Nicola Leali,33,2970,0,0,0,0.013170500285923481,0,1,3,0,GK,Frosinone,0,0,2.092812728136778,2.079642228782177,Frosinone,2015,Serie_A
1874,Samuele Longo,18,316,0,0.8150248005986214,1,0.23692849837243557,10,4,2,0,F S,Frosinone,0,0.8150248005986214,1.3619217071682215,0.5425191894173622,Frosinone,2015,Serie_A
1875,Vasiliy Pryima,5,292,0,0.04530540108680725,0,0,1,0,1,0,D S,Frosinone,0,0.04530540108680725,0.04358629882335663,0.04358629882335663,Frosinone,2015,Serie_A
1964,Davide Bertoncini,5,363,0,0,0,0.05569999851286411,0,2,1,0,D S,Frosinone,0,0,0.13153001107275486,0.13153001107275486,Frosinone,2015,Serie_A
1989,Francesco Bardi,2,119,0,0,0,0,0,0,1,0,GK,Frosinone,0,0,0.38578900694847107,0.38578900694847107,Frosinone,2015,Serie_A
2026,Nicolás Castillo,6,302,0,0.48869650438427925,0,0.014588999561965466,10,1,1,0,F S,Frosinone,0,0.48869650438427925,0.30749499052762985,0.1198631003499031,Frosinone,2015,Serie_A
2044,Daniele Verde,6,119,0,0.32134849671274424,0,0.03908799961209297,10,1,0,0,M S,Frosinone,0,0.32134849671274424,0.3604374909773469,0,Frosinone,2015,Serie_A
