id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
1513,Mauro Icardi,34,3030,24,20.680375462397933,8,4.897649142891169,109,43,1,0,F,Inter,21,17.635182356461883,21.163840677589178,2.2115487111732364,Inter,2016,Serie_A
448,Ivan Perisic,36,2757,11,10.203199268318713,8,9.262201668694615,104,62,2,1,F M S,Inter,11,10.203199268318713,18.98707863688469,6.029577658511698,Inter,2016,Serie_A
1514,Éder,33,1466,8,6.306901330128312,4,4.37309839669615,54,34,3,0,F M S,Inter,8,6.306901330128312,13.63123841304332,5.179729405790567,Inter,2016,Serie_A
1517,Antonio Candreva,38,3035,6,6.166529240086675,10,10.465335519053042,88,83,2,0,F M S,Inter,6,5.405230322852731,21.01456007361412,9.772360909730196,Inter,2016,Serie_A
1520,Éver Banega,28,1565,6,2.94786480627954,6,4.2964123990386724,43,59,2,1,M S,Inter,6,2.94786480627954,10.462356643751264,6.944755580276251,Inter,2016,Serie_A
1511,Marcelo Brozovic,23,1743,4,2.717277092859149,2,3.5886184219270945,40,43,7,0,M S,Inter,4,2.717277092859149,13.350027000531554,8.6584666762501,Inter,2016,Serie_A
1512,João Mário,30,1999,3,4.814515192061663,5,4.550249212421477,32,55,5,0,M S,Inter,3,4.814515192061663,16.24547467008233,9.530046442523599,Inter,2016,Serie_A
1523,Danilo D&#039;Ambrosio,32,2834,3,2.328121623955667,3,3.1842399686574936,25,23,4,0,D M,Inter,3,2.328121623955667,12.312917124480009,9.297520246356726,Inter,2016,Serie_A
1496,Roberto Gagliardini,18,1578,2,2.5654004579409957,1,1.5974457170814276,23,18,2,0,M,Inter,2,2.5654004579409957,8.443583680316806,6.365548249334097,Inter,2016,Serie_A
1516,Geoffrey Kondogbia,24,1715,1,1.406003788113594,2,1.7798901125788689,33,10,5,1,M S,Inter,1,1.406003788113594,7.079613560810685,6.326530318707228,Inter,2016,Serie_A
1521,Gabriel,9,104,1,1.4405401572585106,0,0.20738029852509499,10,4,3,0,S,Inter,1,1.4405401572585106,1.5621721558272839,0.12156300060451031,Inter,2016,Serie_A
2603,Marco Andreolli,6,362,1,0.551407590508461,0,0,5,0,0,0,D S,Inter,1,0.551407590508461,0.6588452868163586,0.6588452868163586,Inter,2016,Serie_A
1505,Samir Handanovic,37,3330,0,0.029560500755906105,0,0,1,0,4,0,GK,Inter,0,0.029560500755906105,5.5048680901527405,5.5048680901527405,Inter,2016,Serie_A
1506,Yuto Nagatomo,16,1020,0,0.13163850083947182,0,0.040123000741004944,3,1,2,0,D M S,Inter,0,0.13163850083947182,1.784206822514534,1.6316908244043589,Inter,2016,Serie_A
1507,Miranda,32,2880,0,1.415878395549953,0,0.23142889700829983,16,8,6,0,D,Inter,0,1.415878395549953,8.938769900240004,8.705252378247678,Inter,2016,Serie_A
1508,Jeison Murillo,27,2082,0,0.7358302064239979,0,0.05238249897956848,10,1,6,0,D S,Inter,0,0.7358302064239979,4.000758538022637,3.8663238380104303,Inter,2016,Serie_A
1509,Davide Santon,14,1017,0,0.013767500407993793,1,0.8838148936629295,1,12,1,0,D S,Inter,0,0.013767500407993793,3.2921658605337143,2.646848849952221,Inter,2016,Serie_A
1510,Gary Medel,26,2172,0,0.6481094239279628,0,0.17454140447080135,10,5,5,0,D M,Inter,0,0.6481094239279628,7.67021999694407,7.009698795154691,Inter,2016,Serie_A
1515,Cristian Ansaldi,21,1507,0,0.44211069494485855,1,0.912244101986289,6,14,8,1,D S,Inter,0,0.44211069494485855,6.3485814575105906,5.375104952603579,Inter,2016,Serie_A
1518,Rodrigo Palacio,15,418,0,2.6523674726486206,3,1.5300894966349006,13,12,1,0,F S,Inter,0,2.6523674726486206,4.8329873494803905,0.9861774072051048,Inter,2016,Serie_A
1519,Juan Pablo Carrizo,1,90,0,0,0,0,0,0,0,0,GK,Inter,0,0,0.08082509785890579,0.08082509785890579,Inter,2016,Serie_A
1522,Andrea Ranocchia,5,379,0,1.0324273779988289,0,0.05773800238966942,5,2,2,0,D,Inter,0,1.0324273779988289,0.6536380052566528,0.16598709858953953,Inter,2016,Serie_A
1524,Stevan Jovetic,5,63,0,0,0,0.015713199973106384,0,1,1,0,S,Inter,0,0,0.19503310322761536,0.19503310322761536,Inter,2016,Serie_A
1525,Assane Demoya Gnoukouri,4,138,0,0.09055370092391968,0,0.026052100583910942,1,1,0,0,S,Inter,0,0.09055370092391968,0.6011929959058762,0.4845871925354004,Inter,2016,Serie_A
1549,Senna Miangue,3,122,0,0,0,0.12253999710083008,0,3,0,0,D S,Inter,0,0,0.6399170011281967,0.5509457066655159,Inter,2016,Serie_A
1568,Felipe Melo,5,171,0,0.014376499690115452,0,0,1,0,1,1,M S,Inter,0,0.014376499690115452,2.19929002225399,2.1849100440740585,Inter,2016,Serie_A
1600,Jonathan Biabiany,1,1,0,0.12112600356340408,0,0,1,0,0,0,S,Inter,0,0.12112600356340408,0.12112600356340408,0,Inter,2016,Serie_A
4894,Trent Sainsbury,1,19,0,0,0,0,0,0,1,0,S,Inter,0,0,0,0,Inter,2016,Serie_A
4895,Andrea Pinamonti,2,16,0,0.11937890201807022,0,0.05623000115156174,2,1,0,0,S,Inter,0,0.11937890201807022,0.32680100202560425,0.15119299292564392,Inter,2016,Serie_A
