id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
1293,Gonzalo Higuaín,38,2966,24,19.412508625537157,3,6.201655928045511,134,39,1,0,F S,Juventus,24,19.412508625537157,26.90888499841094,6.43667459487915,Juventus,2016,Serie_A
1294,Paulo Dybala,31,2162,11,9.196441102772951,7,7.809733675792813,89,58,2,0,F M S,Juventus,8,6.912545073777437,18.34104100614786,9.298405032604933,Juventus,2016,Serie_A
1295,Mario Mandzukic,34,2490,7,9.283317811787128,4,3.7162265703082085,54,36,5,0,F M S,Juventus,7,9.283317811787128,16.731929935514927,6.573443781584501,Juventus,2016,Serie_A
1290,Miralem Pjanic,30,2179,5,5.833482532761991,9,7.522018824703991,52,60,5,0,M S,Juventus,5,5.833482532761991,16.916392970830202,9.612024568021297,Juventus,2016,Serie_A
1292,Sami Khedira,31,2554,5,5.316195914521813,4,3.8509855661541224,40,30,2,0,M,Juventus,5,5.316195914521813,16.306753028184175,9.787498453631997,Juventus,2016,Serie_A
1287,Leonardo Bonucci,29,2404,3,2.405666181817651,0,0.6668806988745928,19,10,5,0,D S,Juventus,3,2.405666181817651,12.957792170345783,12.378638070076704,Juventus,2016,Serie_A
1289,Alex Sandro,27,2310,3,1.407162170857191,4,4.732058769091964,18,50,5,0,D M S,Juventus,3,1.407162170857191,13.660929307341576,9.370907360687852,Juventus,2016,Serie_A
1089,Juan Cuadrado,30,2114,2,3.0361419711261988,6,6.472433764487505,36,47,8,0,D F M S,Juventus,2,3.0361419711261988,18.369203239679337,11.21215563826263,Juventus,2016,Serie_A
1288,Dani Alves,19,1360,2,0.8606137009337544,2,2.3499875785782933,19,33,5,0,D M S,Juventus,2,0.8606137009337544,8.20434220507741,6.782214678823948,Juventus,2016,Serie_A
1301,Daniele Rugani,15,1076,2,0.6887237057089806,0,0.4377810060977936,3,1,4,0,D S,Juventus,2,0.6887237057089806,4.6127195451408625,4.583048148080707,Juventus,2016,Serie_A
1576,Giorgio Chiellini,21,1636,2,1.5418969001621008,1,0.16348599642515182,13,4,4,0,D S,Juventus,2,1.5418969001621008,7.870771752670407,7.666725756600499,Juventus,2016,Serie_A
328,Medhi Benatia,15,1185,1,1.0858221221715212,0,0.4036880135536194,9,1,3,0,D S,Juventus,1,1.0858221221715212,4.887345302850008,3.86170332506299,Juventus,2016,Serie_A
1291,Hernanes,10,726,1,0.46871490217745304,0,0.8608018085360527,17,6,3,0,M S,Juventus,1,0.46871490217745304,3.4626507312059402,2.3819148764014244,Juventus,2016,Serie_A
1299,Mario Lemina,19,888,1,2.4484242275357246,1,0.8503708206117153,17,8,1,0,M S,Juventus,1,2.4484242275357246,7.077173387631774,4.54450448602438,Juventus,2016,Serie_A
1300,Claudio Marchisio,18,1266,1,1.0995277911424637,2,0.5678765811026096,9,7,2,0,M S,Juventus,1,1.0995277911424637,7.019773658365011,6.175749268382788,Juventus,2016,Serie_A
1303,Stephan Lichtsteiner,26,1874,1,1.4278505630791187,2,2.525599882006645,6,17,5,0,D M S,Juventus,1,1.4278505630791187,11.406603619456291,9.102913096547127,Juventus,2016,Serie_A
1304,Moise Kean,3,17,1,0.3704090118408203,0,0,1,0,0,0,S,Juventus,1,0.3704090118408203,0.0781639963388443,0.0781639963388443,Juventus,2016,Serie_A
1099,Tomás Rincón,13,288,0,0.17012299597263336,1,0.5726554989814758,1,2,0,0,M S,Juventus,0,0.17012299597263336,2.135135017335415,1.5624790266156197,Juventus,2016,Serie_A
1285,Gianluigi Buffon,30,2656,0,0,0,0.024700399488210678,0,1,0,0,GK,Juventus,0,0,4.516381727531552,4.491680698469281,Juventus,2016,Serie_A
1286,Andrea Barzagli,23,1525,0,0.10556850209832191,0,0.15079160407185555,2,2,2,0,D S,Juventus,0,0.10556850209832191,6.269900120794773,6.085141122341156,Juventus,2016,Serie_A
1296,Stefano Sturaro,21,1033,0,1.8763923067599535,1,1.0240528993308544,21,12,5,0,M S,Juventus,0,1.8763923067599535,4.516332928091288,2.4115115385502577,Juventus,2016,Serie_A
1297,Neto,8,674,0,0,0,0,0,0,0,0,GK S,Juventus,0,0,1.485153391957283,1.485153391957283,Juventus,2016,Serie_A
1298,Patrice Evra,6,242,0,0.022529499605298042,0,0,1,0,0,0,D S,Juventus,0,0.022529499605298042,1.1995049938559532,1.176975391805172,Juventus,2016,Serie_A
1302,Emil Audero,1,90,0,0,0,0,0,0,0,0,GK,Juventus,0,0,0.0675790011882782,0.0675790011882782,Juventus,2016,Serie_A
1577,Marko Pjaca,14,440,0,1.8173696845769882,0,0.3751389980316162,13,4,1,0,M S,Juventus,0,1.8173696845769882,2.221975088119507,0.4580368995666504,Juventus,2016,Serie_A
1587,Kwadwo Asamoah,18,1465,0,0.3936212006956339,1,1.0135679822415113,8,14,2,0,D M S,Juventus,0,0.3936212006956339,6.689341899007559,5.380202041938901,Juventus,2016,Serie_A
3821,Rolando Mandragora,1,4,0,0.018168499693274498,0,0,1,0,0,0,S,Juventus,0,0.018168499693274498,0.018168499693274498,0,Juventus,2016,Serie_A
