id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
1272,Ilija Nestorovski,37,3106,11,8.045288931578398,3,2.0566700268536806,76,37,5,0,F S,Palermo,10,7.283989902585745,9.829104276373982,2.4159801993519068,Palermo,2016,Serie_A
1274,Andrea Rispoli,32,2686,6,2.499694283120334,3,3.5551183810457587,25,38,5,0,D M S,Palermo,6,2.499694283120334,6.142173030413687,2.0082851136103272,Palermo,2016,Serie_A
1275,Robin Quaison,17,1073,4,1.6508715748786926,0,0.6081817857921124,23,7,5,0,F M S,Palermo,4,1.6508715748786926,2.482861962169409,0.49433530773967505,Palermo,2016,Serie_A
1271,Ivaylo Chochev,30,2287,3,2.5155366072431207,3,1.8058216413483024,37,20,4,0,M S,Palermo,3,2.5155366072431207,4.196020787581801,2.1256703808903694,Palermo,2016,Serie_A
1264,Edoardo Goldaniga,28,2329,2,1.6498693265020847,1,0.09611090086400509,10,3,11,1,D S,Palermo,2,1.6498693265020847,2.339623707346618,2.3278031069785357,Palermo,2016,Serie_A
948,Alessandro Diamanti,31,1701,1,1.9335140036419034,5,3.7298026997596025,43,42,8,1,F M S,Palermo,1,1.9335140036419034,5.63687209226191,3.3682784605771303,Palermo,2016,Serie_A
1268,Bruno Henrique,33,2219,1,1.3388187950477004,3,2.6557155260816216,23,28,7,0,M S,Palermo,1,1.3388187950477004,5.716663197614253,3.1788744796067476,Palermo,2016,Serie_A
1270,Haitam Aleesami,31,2627,1,0.3887660941109061,3,1.6396678760647774,12,23,6,0,D M S,Palermo,1,0.3887660941109061,4.3987044943496585,3.1522571770474315,Palermo,2016,Serie_A
1273,Mato Jajalo,26,1870,1,0.901593005284667,1,0.6860355045646429,24,20,5,0,M S,Palermo,1,0.901593005284667,3.059141969308257,2.235432385466993,Palermo,2016,Serie_A
1277,Roland Sallai,21,959,1,2.5475246347486973,0,0.3672052025794983,29,11,3,1,F M S,Palermo,1,2.5475246347486973,3.149570300243795,0.9431794984266162,Palermo,2016,Serie_A
1534,Giancarlo Gonzalez,21,1659,1,1.1015833336859941,0,0.23637920431792736,5,6,7,2,D M S,Palermo,1,1.1015833336859941,1.0807448169216514,0.9997913045808673,Palermo,2016,Serie_A
1837,Aleksandar Trajkovski,11,437,1,0.36265270598232746,0,0.17151986621320248,6,4,1,0,F S,Palermo,1,0.36265270598232746,0.4398900084197521,0.14088029973208904,Palermo,2016,Serie_A
18,Slobodan Rajkovic,4,298,0,0.1049611009657383,0,0,2,0,0,1,D,Palermo,0,0.1049611009657383,0.5462437942624092,0.5462437942624092,Palermo,2016,Serie_A
57,Toni Sunjic,7,240,0,0.13750529661774635,0,0.05481389909982681,2,1,1,0,D S,Palermo,0,0.13750529661774635,0.7584410160779953,0.7584410160779953,Palermo,2016,Serie_A
1263,Josip Posavec,29,2610,0,0,0,0,0,0,1,0,GK,Palermo,0,0,0.5029299054294825,0.5029299054294825,Palermo,2016,Serie_A
1265,Thiago Cionek,29,2330,0,0.798235802911222,0,0.027706200256943703,7,1,8,0,D S,Palermo,0,0.798235802911222,1.4691636161878705,1.4353414960205555,Palermo,2016,Serie_A
1266,Sinisa Andjelkovic,22,1840,0,0.3762214928865433,1,0.9044259786605835,6,1,3,0,D S,Palermo,0,0.3762214928865433,1.4179911883547902,1.4179911883547902,Palermo,2016,Serie_A
1267,Michel Morganella,11,650,0,0.13105743564665318,0,0.210881101898849,5,4,3,0,D M S,Palermo,0,0.13105743564665318,0.7142078932374716,0.4277609046548605,Palermo,2016,Serie_A
1269,Alessandro Gazzi,25,1943,0,0.06146190129220486,0,0.07065439969301224,2,3,6,2,M S,Palermo,0,0.06146190129220486,1.9021175932139158,1.8525585923343897,Palermo,2016,Serie_A
1276,Carlos Embalo,12,616,0,0.349278399720788,1,0.2429455928504467,11,4,0,0,F M S,Palermo,0,0.349278399720788,1.0659477896988392,0.6731829941272736,Palermo,2016,Serie_A
1278,Andrea Fulignati,9,810,0,0,0,0,0,0,0,0,GK,Palermo,0,0,0.1318361684679985,0.1318361684679985,Palermo,2016,Serie_A
1279,Roberto Vitiello,5,378,0,0,0,0,0,0,1,0,D,Palermo,0,0,0.40646979212760925,0.40646979212760925,Palermo,2016,Serie_A
1280,Simone Lo Faso,10,241,0,0.4212843906134367,0,0.8913498893380165,7,5,0,0,M S,Palermo,0,0.4212843906134367,1.1131855882704258,0.616774600930512,Palermo,2016,Serie_A
1281,Giuseppe Pezzella,10,804,0,0.20498790219426155,0,0.2152635045349598,5,4,1,0,D M S,Palermo,0,0.20498790219426155,0.555432103574276,0.408222496509552,Palermo,2016,Serie_A
1283,Ouasim Bouy,2,35,0,0.012344700284302235,0,0.030834000557661057,1,1,1,0,S,Palermo,0,0.012344700284302235,0.08226729929447174,0.039088599383831024,Palermo,2016,Serie_A
1284,Oscar Hiljemark,15,1055,0,0.9243166986852884,0,0.9221353065222502,12,12,1,0,M S,Palermo,0,0.9243166986852884,2.629825782030821,1.4077632911503315,Palermo,2016,Serie_A
1535,Accursio Bentivegna,3,90,0,0.029035799205303192,0,0,1,0,0,0,F M S,Palermo,0,0.029035799205303192,0.029035799205303192,0,Palermo,2016,Serie_A
1536,Norbert Balogh,16,525,0,0.8157491851598024,0,0.09679879993200302,9,4,1,1,F M S,Palermo,0,0.8157491851598024,1.4092896655201912,0.5680915042757988,Palermo,2016,Serie_A
4935,Gennaro Ruggiero,2,150,0,0.01641879975795746,0,0.06729830056428909,1,1,0,0,M,Palermo,0,0.01641879975795746,0.1388690024614334,0.055151499807834625,Palermo,2016,Serie_A
4936,Stefan Silva,1,15,0,0,0,0,0,0,0,0,S,Palermo,0,0,0,0,Palermo,2016,Serie_A
