id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
1362,Simy,23,1199,7,4.235890502110124,1,0.5803112955763936,31,16,0,0,F S,Crotone,7,4.235890502110124,4.500429850071669,1.2238265415653586,Crotone,2017,Serie_A
1369,Marcello Trotta,34,2277,7,7.254192920401692,4,1.9280438693240285,65,26,2,0,F S,Crotone,5,4.9703408498317,8.420635709539056,3.019960844889283,Crotone,2017,Serie_A
1235,Ante Budimir,22,1585,6,5.669539015740156,0,1.3251922968775034,30,19,8,0,F S,Crotone,6,5.669539015740156,4.791560247540474,0.24657620023936033,Crotone,2017,Serie_A
1945,Marco Tumminello,9,188,3,0.8498726217076182,1,0.33973899483680725,8,1,1,0,F S,Crotone,3,0.8498726217076182,1.1430311193689704,0.38972601294517517,Crotone,2017,Serie_A
1363,Adrian Stoian,32,2167,2,1.6307837776839733,4,2.150544182397425,19,19,5,0,F M S,Crotone,2,1.6307837776839733,6.112355873920023,3.3121547466143966,Crotone,2017,Serie_A
1364,Marcus Rohden,26,1644,2,1.8169971159659326,0,0.8402113672345877,21,11,2,0,F M S,Crotone,2,1.8169971159659326,3.2320938180200756,1.1204364988952875,Crotone,2017,Serie_A
1372,Andrea Barberis,38,3032,2,1.445054111070931,1,2.4865952003747225,25,35,1,0,M S,Crotone,2,1.445054111070931,4.937016425654292,3.1758006028831005,Crotone,2017,Serie_A
3821,Rolando Mandragora,36,3240,2,1.560557977296412,0,1.3921170136891305,34,23,8,0,M,Crotone,2,1.560557977296412,6.30630159471184,4.823309056460857,Crotone,2017,Serie_A
3978,Marco Faraoni,28,1734,2,0.72908641025424,4,0.5936330035328865,12,9,2,0,D F M S,Crotone,2,0.72908641025424,3.072914249263704,1.9953975258395076,Crotone,2017,Serie_A
1166,Ahmed Benali,10,814,1,0.47509900480508804,1,0.32170139625668526,5,6,2,0,M,Crotone,1,0.47509900480508804,2.3276607133448124,1.69010065542534,Crotone,2017,Serie_A
1355,Bruno Martella,30,2623,1,0.9879799205809832,3,1.7439064411446452,24,19,3,0,D,Crotone,1,0.9879799205809832,5.9557172721251845,3.979367426596582,Crotone,2017,Serie_A
1370,Federico Ceccherini,37,3234,1,1.100190635304898,1,0.4001339003443718,16,10,4,1,D,Crotone,1,1.100190635304898,2.300299044698477,2.103701824322343,Crotone,2017,Serie_A
1470,Federico Ricci,15,927,1,1.4224988911300898,1,1.30451531521976,24,12,4,0,F S,Crotone,1,1.4224988911300898,2.575353216379881,0.7716886922717094,Crotone,2017,Serie_A
6169,Giovanni Crociata,11,272,1,1.3029656731523573,0,0.08782247826457024,9,3,0,0,F S,Crotone,1,1.3029656731523573,2.1780929598025978,0.8552086874842644,Crotone,2017,Serie_A
1191,Arlind Ajeti,21,1267,0,0.9245284614153206,1,1.023466296494007,8,4,7,0,D M S,Crotone,0,0.9245284614153206,1.3333986885845661,1.2274406049400568,Crotone,2017,Serie_A
1339,Mariano Izco,5,173,0,0,0,0,0,0,0,0,M S,Crotone,0,0,0.07906469702720642,0.07906469702720642,Crotone,2017,Serie_A
1351,Alex Cordaz,38,3420,0,0,0,0.17853249236941338,0,2,2,0,GK,Crotone,0,0,1.606362502090633,1.4278299929574132,Crotone,2017,Serie_A
1359,Aleksandar Tonev,8,397,0,0.5820711934939027,0,0.18280400149524212,10,3,0,0,F M S,Crotone,0,0.5820711934939027,0.8872782997786999,0.12240400165319443,Crotone,2017,Serie_A
1366,Noe Dussenne,1,83,0,0.03781919926404953,0,0,1,0,1,0,S,Crotone,0,0.03781919926404953,0,0,Crotone,2017,Serie_A
1371,Mario Sampirisi,31,2192,0,0.09207579866051674,0,0.7824582047760487,3,8,2,0,D S,Crotone,0,0.09207579866051674,3.0444874772801995,2.432974091731012,Crotone,2017,Serie_A
1408,Marco Capuano,16,1408,0,0.11649999767541885,0,0.02572432952001691,1,2,3,1,D,Crotone,0,0.11649999767541885,0.7301455312408507,0.704421404749155,Crotone,2017,Serie_A
1528,Andrea Nalini,23,1654,0,1.2166611040011048,3,2.8199966102838516,21,19,2,0,D F M S,Crotone,0,1.2166611040011048,4.818312261253595,1.5465071038343012,Crotone,2017,Serie_A
1602,Daniel Pavlovic,10,755,0,0.10076449904590845,0,0.8963228184729815,4,9,0,0,D M S,Crotone,0,0.10076449904590845,0.4318675994873047,0.3060000017285347,Crotone,2017,Serie_A
1818,Stefan Simic,9,551,0,0.12185000255703926,0,0,2,0,2,0,D S,Crotone,0,0.12185000255703926,0.11172030121088028,0.11172030121088028,Crotone,2017,Serie_A
1863,Oliver Kragl,5,89,0,0,0,0.13334359787404537,0,2,0,0,S,Crotone,0,0,0.018722599372267723,0,Crotone,2017,Serie_A
4917,Niccolò Zanellato,1,75,0,0.06374850124120712,0,0.6902509927749634,2,2,0,0,S,Crotone,0,0.06374850124120712,0.07385239750146866,0,Crotone,2017,Serie_A
6168,Leandro Cabrera,5,365,0,0.10637190006673336,0,0.061409998685121536,3,1,0,0,D S,Crotone,0,0.10637190006673336,0.17745499685406685,0.11604499816894531,Crotone,2017,Serie_A
6300,Aristóteles Romero,6,75,0,0.0629831999540329,0,0.012042799964547157,1,1,2,0,S,Crotone,0,0.0629831999540329,0.17878799885511398,0.10376200079917908,Crotone,2017,Serie_A
6556,Moussa Diaby,2,68,0,0,0,0,0,0,0,0,F S,Crotone,0,0,0.08877850323915482,0.08877850323915482,Crotone,2017,Serie_A
