id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
1136,Gianluca Lapadula,28,1473,6,9.748634360730648,1,0.8603679873049259,53,13,3,0,F M S,Genoa,3,6.70347722619772,7.895174751058221,1.0166429951786995,Genoa,2017,Serie_A
1115,Goran Pandev,32,1830,5,5.177305286750197,1,3.6152467913925648,43,31,4,1,F M S,Genoa,5,5.177305286750197,11.404103618115187,4.609098066575825,Genoa,2017,Serie_A
1100,Diego Laxalt,32,2820,3,1.6279148031026125,3,2.1447844402864575,31,24,2,0,D M,Genoa,3,1.6279148031026125,7.689995126798749,4.8052200227975845,Genoa,2017,Serie_A
6201,Andrej Galabinov,20,1133,3,3.567564196884632,1,1.2987521030008793,33,12,2,0,F S,Genoa,2,2.806265227496624,5.0523423701524734,1.5340807382017374,Genoa,2017,Serie_A
1101,Luca Rigoni,23,1594,2,4.786981036886573,2,1.6667657671496272,20,13,5,0,M S,Genoa,2,4.786981036886573,6.988260390236974,2.8732263762503862,Genoa,2017,Serie_A
4450,Adel Taarabt,22,1622,2,1.5964880986139178,2,3.0750363748520613,33,35,5,1,F M S,Genoa,2,1.5964880986139178,7.773766105994582,4.6728257816284895,Genoa,2017,Serie_A
4932,Pietro Pellegri,6,279,2,1.061791468411684,0,0.040957299061119556,8,3,2,0,F S,Genoa,2,1.061791468411684,1.11428208835423,0.03335369937121868,Genoa,2017,Serie_A
6130,Daniel Bessa,11,447,2,1.0953859686851501,1,0.7593284137547016,4,6,0,0,M S,Genoa,2,1.0953859686851501,2.7101310081779957,1.4600845165550709,Genoa,2017,Serie_A
6536,Iuri Medeiros,11,639,2,0.7744663022458553,1,1.3766423929482698,20,12,1,0,F M S,Genoa,2,0.7744663022458553,4.182733695954084,2.6876282207667828,Genoa,2017,Serie_A
1096,Armando Izzo,16,1387,1,1.0279181934893131,0,0.16932029835879803,3,3,2,0,D,Genoa,1,1.0279181934893131,2.3255619257688522,2.2979369312524796,Genoa,2017,Serie_A
1098,Miguel Veloso,22,1748,1,0.8304565958678722,0,2.1674153730273247,28,19,4,0,M S,Genoa,1,0.8304565958678722,5.237282868474722,4.3636215552687645,Genoa,2017,Serie_A
1641,Andrea Bertolacci,33,2900,1,1.269992577843368,1,1.6947816032916307,16,26,7,1,M,Genoa,1,1.269992577843368,9.110671158879995,6.8792404271662235,Genoa,2017,Serie_A
1644,Giuseppe Rossi,9,242,1,2.0575721338391304,0,0.6523750126361847,12,2,0,0,F S,Genoa,1,2.0575721338391304,3.2590666338801384,1.10692398250103,Genoa,2017,Serie_A
1093,Mattia Perin,37,3330,0,0,0,0.10043169930577278,0,2,1,0,GK,Genoa,0,0,3.478058177046478,3.414113881997764,Genoa,2017,Serie_A
1106,Darko Lazovic,21,1182,0,0.6204064954072237,2,1.9075342193245888,9,14,2,0,D M S,Genoa,0,0.6204064954072237,6.245950467884541,4.245441623032093,Genoa,2017,Serie_A
1107,Santiago Gentiletti,4,289,0,0,0,0,0,0,2,0,D S,Genoa,0,0,0.3036688668653369,0.3036688668653369,Genoa,2017,Serie_A
1112,Isaac Cofie,12,578,0,0.17686000280082226,0,0.018192699179053307,5,1,1,0,M S,Genoa,0,0.17686000280082226,2.1607579849660397,1.9864465668797493,Genoa,2017,Serie_A
1113,Eugenio Lamanna,1,90,0,0,0,0,0,0,0,0,GK,Genoa,0,0,0,0,Genoa,2017,Serie_A
1114,Davide Biraschi,23,1797,0,0.6299135284498334,1,1.005349986255169,4,9,2,0,D S,Genoa,0,0.6299135284498334,4.6035983171314,3.4835568834096193,Genoa,2017,Serie_A
1180,Luca Rossettini,23,2027,0,0.6498425770550966,0,0.11681399587541819,11,3,7,0,D S,Genoa,0,0.6498425770550966,3.3026073053479195,3.2256723046302795,Genoa,2017,Serie_A
1241,Pedro Pereira,6,376,0,0.021382100880146027,0,0.10413459688425064,1,2,2,0,D S,Genoa,0,0.021382100880146027,0.3424381986260414,0.24370070546865463,Genoa,2017,Serie_A
1284,Oscar Hiljemark,15,1288,0,1.1810338078066707,3,5.303863532841206,13,37,1,0,M,Genoa,0,1.1810338078066707,6.631440609693527,1.9619085229933262,Genoa,2017,Serie_A
1342,Nicolás Spolli,21,1775,0,0.5075471065938473,0,0.08839686773717403,6,2,7,0,D S,Genoa,0,0.5075471065938473,2.7103614332154393,2.700374231673777,Genoa,2017,Serie_A
1352,Aleandro Rosi,24,1716,0,0.6590701006352901,1,0.6228395067155361,12,8,5,0,D M S,Genoa,0,0.6590701006352901,3.838111689314246,3.0135329887270927,Genoa,2017,Serie_A
1361,Raffaele Palladino,4,223,0,0.6311865150928497,0,0.861773706972599,4,8,1,0,F M S,Genoa,0,0.6311865150928497,1.5449238121509552,0.5484878942370415,Genoa,2017,Serie_A
1470,Federico Ricci,5,207,0,0.46324516739696264,0,0.23422620072960854,3,4,0,0,M S,Genoa,0,0.46324516739696264,1.322526372037828,0.7002252116799355,Genoa,2017,Serie_A
1497,Ervin Zukanovic,31,2790,0,1.4884696882218122,1,1.4583762884140015,22,13,5,0,D,Genoa,0,1.4884696882218122,6.324212299659848,5.1028151866048574,Genoa,2017,Serie_A
6202,Stephane Omeonga,19,771,0,0.6416597068309784,0,0.4420110024511814,14,9,2,1,D M S,Genoa,0,0.6416597068309784,2.5131135135889053,1.5045799287036061,Genoa,2017,Serie_A
6203,Eddie Salcedo,2,28,0,0.11003820225596428,0,0,2,0,0,0,S,Genoa,0,0.11003820225596428,0.11003820225596428,0,Genoa,2017,Serie_A
6204,Ricardo Centurión,3,46,0,0,0,0,0,0,0,0,M S,Genoa,0,0,0.06458889693021774,0.06458889693021774,Genoa,2017,Serie_A
6205,Francesco Migliore,6,327,0,0.013135899789631367,0,0.4826869089156389,1,3,1,0,D S,Genoa,0,0.013135899789631367,0.7639107219874859,0.2928236983716488,Genoa,2017,Serie_A
6286,Petar Brlek,5,237,0,0.1795319952070713,0,0.13391399383544922,3,1,1,0,M S,Genoa,0,0.1795319952070713,0.2177548548206687,0.06369956117123365,Genoa,2017,Serie_A
6546,Jawad El Yamiq,4,360,0,0.010296699590981007,0,0,1,0,0,0,D,Genoa,0,0.010296699590981007,0.1307424008846283,0.1307424008846283,Genoa,2017,Serie_A
