id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
1304,Moise Kean,19,1135,4,5.300495713017881,0,0.40301300399005413,34,7,5,0,F S,Verona,4,5.300495713017881,5.446040689945221,0.3146970020607114,Verona,2017,Serie_A
1847,Giampaolo Pazzini,19,913,4,3.681411702185869,0,0.7621434051543474,17,5,1,0,F S,Verona,0,0.636217288672924,1.4655337929725647,0.16551589965820312,Verona,2017,Serie_A
1849,Rômulo,37,3171,3,4.645753721706569,5,3.7192688081413507,28,49,7,0,D F M S,Verona,1,3.123154710046947,8.79067779891193,4.144849448464811,Verona,2017,Serie_A
1942,Martín Cáceres,14,1174,3,2.361911715939641,0,0.21922890096902847,15,4,3,0,D,Verona,3,2.361911715939641,2.2758861128240824,0.32719399966299534,Verona,2017,Serie_A
2006,Alessio Cerci,24,1663,3,3.077987629920244,2,3.8451913353055716,42,25,1,0,F M S,Verona,2,2.316689644008875,5.698056388646364,1.4699984332546592,Verona,2017,Serie_A
3899,Mattia Valoti,26,1577,3,3.581156212836504,0,0.787218788638711,21,11,9,0,F M S,Verona,3,3.581156212836504,5.277523935772479,1.5740716205909848,Verona,2017,Serie_A
2044,Daniele Verde,30,1965,2,1.9960214467719197,3,2.0146937761455774,37,22,0,0,F M S,Verona,2,1.9960214467719197,4.19555523339659,1.2860514130443335,Verona,2017,Serie_A
4067,Bruno Zuculini,16,1223,2,1.1192536009475589,0,0.02772689890116453,7,2,4,3,M S,Verona,2,1.1192536009475589,3.1332285422831774,2.4380189795047045,Verona,2017,Serie_A
6133,Antonio Caracciolo,33,2854,2,1.2021481906995177,0,0.9544882029294968,16,4,6,0,D S,Verona,2,1.2021481906995177,3.102569617331028,2.828532410785556,Verona,2017,Serie_A
1454,Alex Ferrari,25,2143,1,0.9425300220027566,0,0.20400099828839302,8,5,5,0,D,Verona,1,0.9425300220027566,1.9328165026381612,0.8744913367554545,Verona,2017,Serie_A
6130,Daniel Bessa,17,1380,1,0.9642991870641708,1,1.9105140026658773,14,23,5,0,F M S,Verona,1,0.9642991870641708,4.797832960262895,2.417385538108647,Verona,2017,Serie_A
6285,Lee Seung-Woo,14,324,1,0.7655986081808805,0,0.058599299751222134,11,3,4,0,F S,Verona,1,0.7655986081808805,0.3864735998213291,0.12831240240484476,Verona,2017,Serie_A
6518,Jagos Vukovic,15,1335,1,0.3615865111351013,1,0.5195369869470596,3,3,1,0,D,Verona,1,0.3615865111351013,0.2898132996633649,0.20424424950033426,Verona,2017,Serie_A
915,Rolando Aarons,11,517,0,0.195931700989604,0,0.4075127951800823,3,3,0,0,F M S,Verona,0,0.195931700989604,0.4699890920892358,0.008665899746119976,Verona,2017,Serie_A
1149,Thomas Heurtaux,17,1394,0,0.011413199827075005,0,0.037095800042152405,1,1,2,1,D S,Verona,0,0.011413199827075005,1.4501346545293927,1.4130389550700784,Verona,2017,Serie_A
1153,Ryder Matos,14,983,0,0.7128397990018129,1,0.7784282006323338,16,7,1,0,F M S,Verona,0,0.7128397990018129,2.044558573514223,0.605825886130333,Verona,2017,Serie_A
1325,Marcel Büchel,23,1705,0,0.15885430201888084,0,0.26823030319064856,9,13,9,0,M S,Verona,0,0.15885430201888084,1.6509392010048032,1.3475412018597126,Verona,2017,Serie_A
1843,Matteo Bianchetti,2,121,0,0,0,0,0,0,1,0,D S,Verona,0,0,0.10972339659929276,0.10972339659929276,Verona,2017,Serie_A
1954,Samuel Souprayen,22,1585,0,0.12555929739028215,0,0.3109753280878067,5,7,1,1,D S,Verona,0,0.12555929739028215,1.4198188865557313,1.1206776816397905,Verona,2017,Serie_A
1956,Mohamed Fares,30,2606,0,1.4239904284477234,1,1.761526620015502,32,18,12,0,D F M S,Verona,0,1.4239904284477234,3.811852104961872,2.038287077099085,Verona,2017,Serie_A
1958,Mattia Zaccagni,6,147,0,0.4142212066799402,0,0,3,0,1,0,M S,Verona,0,0.4142212066799402,0.284021208062768,0,Verona,2017,Serie_A
