id,isResult,h,a,goals,xG,datetime,forecast,season,league
9577,True,"{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'h': '2', 'a': '3'}","{'h': '1.05146', 'a': '2.25963'}",2018-08-18 19:00:00,"{'w': '0.0998', 'd': '0.2158', 'l': '0.6844'}",2018,Serie_A
9578,True,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '1', 'a': '2'}","{'h': '1.08236', 'a': '1.51942'}",2018-08-18 21:30:00,"{'w': '0.2217', 'd': '0.2909', 'l': '0.4874'}",2018,Serie_A
9579,True,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': '0', 'a': '1'}","{'h': '0.496521', 'a': '1.18063'}",2018-08-19 19:00:00,"{'w': '0.1447', 'd': '0.3036', 'l': '0.5517'}",2018,Serie_A
9582,True,"{'id': '230', 'title': 'Parma Calcio 1913', 'short_title': 'PAR'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '2', 'a': '2'}","{'h': '1.55455', 'a': '1.99515'}",2018-08-19 21:30:00,"{'w': '0.2286', 'd': '0.2992', 'l': '0.4722'}",2018,Serie_A
9583,True,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '1', 'a': '0'}","{'h': '1.40451', 'a': '1.20466'}",2018-08-19 21:30:00,"{'w': '0.4033', 'd': '0.312', 'l': '0.2847'}",2018,Serie_A
9584,True,"{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'h': '2', 'a': '0'}","{'h': '1.45907', 'a': '0.574056'}",2018-08-19 21:30:00,"{'w': '0.6305', 'd': '0.2477', 'l': '0.1218'}",2018,Serie_A
9585,True,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '221', 'title': 'SPAL 2013', 'short_title': 'SPL'}","{'h': '0', 'a': '1'}","{'h': '0.906945', 'a': '0.526925'}",2018-08-19 21:30:00,"{'w': '0.451', 'd': '0.3648', 'l': '0.1842'}",2018,Serie_A
9586,True,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'h': '4', 'a': '0'}","{'h': '2.66879', 'a': '0.348766'}",2018-08-20 21:30:00,"{'w': '0.9082', 'd': '0.0765', 'l': '0.0153'}",2018,Serie_A
9587,True,"{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '2', 'a': '0'}","{'h': '1.50717', 'a': '0.31552'}",2018-08-25 19:00:00,"{'w': '0.7349', 'd': '0.2115', 'l': '0.0536'}",2018,Serie_A
9588,True,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '3', 'a': '2'}","{'h': '2.0372', 'a': '0.521132'}",2018-08-25 21:30:00,"{'w': '0.7591', 'd': '0.173', 'l': '0.0679'}",2018,Serie_A
9589,True,"{'id': '221', 'title': 'SPAL 2013', 'short_title': 'SPL'}","{'id': '230', 'title': 'Parma Calcio 1913', 'short_title': 'PAR'}","{'h': '1', 'a': '0'}","{'h': '1.40818', 'a': '0.153916'}",2018-08-26 19:00:00,"{'w': '0.7451', 'd': '0.2228', 'l': '0.0321'}",2018,Serie_A
9590,True,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'h': '1', 'a': '0'}","{'h': '1.79867', 'a': '0.585585'}",2018-08-26 21:30:00,"{'w': '0.7086', 'd': '0.2006', 'l': '0.0908'}",2018,Serie_A
9591,True,"{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '2', 'a': '2'}","{'h': '1.52233', 'a': '1.78519'}",2018-08-26 21:30:00,"{'w': '0.2923', 'd': '0.2715', 'l': '0.4362'}",2018,Serie_A
9592,True,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'h': '6', 'a': '1'}","{'h': '3.33338', 'a': '0.637013'}",2018-08-26 21:30:00,"{'w': '0.9242', 'd': '0.0589', 'l': '0.0169'}",2018,Serie_A
9593,True,"{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '0', 'a': '0'}","{'h': '1.77944', 'a': '0.924593'}",2018-08-26 21:30:00,"{'w': '0.6208', 'd': '0.2324', 'l': '0.1468'}",2018,Serie_A
9594,True,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '2', 'a': '1'}","{'h': '0.950879', 'a': '1.25776'}",2018-08-26 21:30:00,"{'w': '0.2574', 'd': '0.2918', 'l': '0.4508'}",2018,Serie_A
9595,True,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '2', 'a': '2'}","{'h': '0.789096', 'a': '0.921797'}",2018-08-26 21:30:00,"{'w': '0.2886', 'd': '0.3301', 'l': '0.3813'}",2018,Serie_A
9596,True,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '3', 'a': '3'}","{'h': '2.22995', 'a': '2.35383'}",2018-08-27 21:30:00,"{'w': '0.3653', 'd': '0.222', 'l': '0.4127'}",2018,Serie_A
9597,True,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': '2', 'a': '1'}","{'h': '1.69218', 'a': '0.311589'}",2018-08-31 21:30:00,"{'w': '0.7595', 'd': '0.1925', 'l': '0.048'}",2018,Serie_A
