id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
1104,Leonardo Pavoletti,32,2748,16,12.384326819330454,1,1.5758441193029284,85,24,6,0,F S,Cagliari,16,12.384326819330454,10.769815733656287,2.6143847163766623,Cagliari,2018,Serie_A
1592,João Pedro,34,2590,7,8.502476677298546,2,3.355791480280459,61,34,4,1,F M S,Cagliari,5,6.979878380894661,11.261543018743396,3.570869980379939,Cagliari,2018,Serie_A
1604,Artur Ionita,37,3008,3,3.1567529207095504,2,1.1614401815459132,36,18,4,1,M S,Cagliari,3,3.1567529207095504,9.028583724051714,5.745728816837072,Cagliari,2018,Serie_A
1605,Diego Farias,16,688,3,2.6988596878945827,0,0.28302060440182686,23,5,3,0,F S,Cagliari,3,2.6988596878945827,3.7751305103302,1.2092777099460363,Cagliari,2018,Serie_A
1333,Lucas Castro,12,895,1,0.513883295468986,3,2.476556148380041,9,15,1,0,M S,Cagliari,1,0.513883295468986,3.637140303850174,1.1934622153639793,Cagliari,2018,Serie_A
1397,Fabio Pisacane,27,2267,1,0.9034090936183929,1,1.1795386942103505,8,6,6,0,D S,Cagliari,1,0.9034090936183929,3.346328373067081,2.9305561846122146,Cagliari,2018,Serie_A
1406,Marco Sau,14,542,1,0.8180176876485348,0,0.3633915111422539,9,6,4,0,F M S,Cagliari,1,0.8180176876485348,1.5432759001851082,0.5270146057009697,Cagliari,2018,Serie_A
1409,Nicolò Barella,35,3118,1,2.523894203826785,3,3.135654427111149,54,44,8,2,M,Cagliari,1,1.7625951897352934,9.49409923888743,6.191144204698503,Cagliari,2018,Serie_A
1550,Luca Ceppitelli,24,2053,1,2.7100875936448574,1,0.9057405889034271,15,2,6,2,D,Cagliari,1,2.7100875936448574,2.0897261081263423,2.0679619079455733,Cagliari,2018,Serie_A
4912,Paolo Faragò,26,1687,1,1.920295413583517,1,1.8285486968234181,20,20,7,1,D M S,Cagliari,1,1.920295413583517,6.341769899241626,3.349486173130572,Cagliari,2018,Serie_A
265,Ragnar Klavan,15,1234,0,0.04793289862573147,0,0.4199390113353729,2,1,2,0,D,Cagliari,0,0.04793289862573147,1.971429687924683,1.5368906678631902,Cagliari,2018,Serie_A
1147,Cyril Théréau,5,124,0,0.07000480033457279,0,0,2,0,0,0,F S,Cagliari,0,0.07000480033457279,0.169869102537632,0.169869102537632,Cagliari,2018,Serie_A
1238,Luca Cigarini,25,1697,0,0.42547354102134705,1,2.976713290438056,19,30,9,0,M S,Cagliari,0,0.42547354102134705,3.4909171033650637,2.657305620610714,Cagliari,2018,Serie_A
1329,Fabrizio Cacciatore,7,586,0,0.1108642965555191,2,0.9392863046377897,3,6,2,0,D,Cagliari,0,0.1108642965555191,2.010274864733219,1.3064498975872993,Cagliari,2018,Serie_A
1336,Valter Birsa,12,332,0,0.509193304926157,0,0.5002150982618332,11,9,0,0,F M S,Cagliari,0,0.509193304926157,1.2622310183942318,0.6898138038814068,Cagliari,2018,Serie_A
1403,Simone Padoin,30,1913,0,0.10694590024650097,2,1.083296013996005,3,15,2,0,D M S,Cagliari,0,0.10694590024650097,4.751268630847335,4.249875469133258,Cagliari,2018,Serie_A
1412,Daniele Dessena,11,338,0,0.5810226127505302,0,0.10260630026459694,5,2,3,0,M S,Cagliari,0,0.5810226127505302,0.692281898111105,0.11125948000699282,Cagliari,2018,Serie_A
1634,Alessandro Deiola,10,448,0,0.2015888998284936,0,0.020062299445271492,7,1,2,0,M S,Cagliari,0,0.2015888998284936,0.4000188047066331,0.2466155979782343,Cagliari,2018,Serie_A
1645,Marko Pajac,3,96,0,0,0,0.11311300098896027,0,1,0,0,S,Cagliari,0,0,0.042475201189517975,0.042475201189517975,Cagliari,2018,Serie_A
2058,Filippo Romagna,18,1473,0,0.3338153064250946,0,0,4,0,2,0,D S,Cagliari,0,0.3338153064250946,1.3722802316769958,1.3722802316769958,Cagliari,2018,Serie_A
2603,Marco Andreolli,3,102,0,0.01046380028128624,0,0,1,0,1,0,D S,Cagliari,0,0.01046380028128624,0.05882110074162483,0.05882110074162483,Cagliari,2018,Serie_A
3927,Alessio Cragno,38,3420,0,0,0,0.02488129958510399,0,1,1,0,GK,Cagliari,0,0,3.746546651236713,3.746546651236713,Cagliari,2018,Serie_A
4906,Alberto Cerri,15,664,0,1.7803303711116314,0,1.1506141889840364,24,9,3,0,F S,Cagliari,0,1.7803303711116314,2.64731253311038,0.4671269888058305,Cagliari,2018,Serie_A
4970,Luca Pellegrini,12,941,0,0.028953700326383114,1,1.101970687508583,2,10,2,1,D S,Cagliari,0,0.028953700326383114,1.7539828345179558,1.3403108101338148,Cagliari,2018,Serie_A
6517,Charalampos Lykogiannis,11,831,0,0.1756560979411006,1,1.116709278896451,7,8,1,0,D S,Cagliari,0,0.1756560979411006,0.8562265057116747,0.5214233044534922,Cagliari,2018,Serie_A
6987,Filip Bradaric,27,1494,0,0.3380432780832052,2,0.5657683284953237,14,9,5,0,M S,Cagliari,0,0.3380432780832052,3.564775463193655,3.0595285035669804,Cagliari,2018,Serie_A
7082,Darijo Srna,26,2091,0,0.5589063949882984,3,3.000992551445961,10,43,6,1,D S,Cagliari,0,0.5589063949882984,4.891083594411612,3.2515436923131347,Cagliari,2018,Serie_A
7285,Riccardo Doratiotto,1,81,0,0,0,0,0,0,0,0,F,Cagliari,0,0,0,0,Cagliari,2018,Serie_A
7299,Francesco Verde,1,9,0,0,0,0,0,0,0,0,S,Cagliari,0,0,0,0,Cagliari,2018,Serie_A
7405,Kiril Despodov,4,96,0,0,0,0,0,0,0,0,S,Cagliari,0,0,0,0,Cagliari,2018,Serie_A
