id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
1943,Gervinho,30,2312,11,7.671815723180771,2,4.0188678205013275,44,22,3,0,F S,Parma Calcio 1913,11,7.671815723180771,13.207351669669151,3.999035181477666,Parma Calcio 1913,2018,Serie_A
1340,Roberto Inglese,25,1977,9,7.689993814565241,0,0.6581482533365488,47,12,3,0,F S,Parma Calcio 1913,7,6.167391852475703,6.716074503026903,1.5600145012140274,Parma Calcio 1913,2018,Serie_A
1123,Juraj Kucka,18,1535,4,2.466346178203821,3,1.833237873390317,26,16,4,1,F M S,Parma Calcio 1913,3,1.7050471939146519,2.859187198802829,1.7744005620479584,Parma Calcio 1913,2018,Serie_A
1399,Bruno Alves,33,2924,4,2.163579383864999,1,1.0799211198464036,16,10,8,1,D,Parma Calcio 1913,4,2.163579383864999,5.727085234597325,5.705715548247099,Parma Calcio 1913,2018,Serie_A
6990,Antonino Barillà,31,2630,3,3.5839171558618546,2,2.026328606531024,19,20,10,0,M S,Parma Calcio 1913,3,3.5839171558618546,7.527968452312052,2.6878688018769026,Parma Calcio 1913,2018,Serie_A
1101,Luca Rigoni,23,1774,2,3.114808958955109,1,0.6135751251131296,16,10,5,0,M S,Parma Calcio 1913,2,3.114808958955109,3.3285587038844824,1.6156158298254013,Parma Calcio 1913,2018,Serie_A
6235,Fabio Ceravolo,25,1178,2,3.8357960330322385,0,0.6253058016300201,20,10,1,0,F S,Parma Calcio 1913,1,2.3132379995658994,2.9152523623779416,0.9132422134280205,Parma Calcio 1913,2018,Serie_A
1324,Federico Dimarco,13,889,1,0.47517619747668505,0,0.9814580120146275,14,9,4,0,D S,Parma Calcio 1913,1,0.47517619747668505,2.3915627179667354,1.7271497026085854,Parma Calcio 1913,2018,Serie_A
1478,Marcello Gazzola,20,907,1,0.9422292010858655,0,0.4514155089855194,2,4,3,0,D M S,Parma Calcio 1913,1,0.9422292010858655,1.8260391987860203,0.45413849875330925,Parma Calcio 1913,2018,Serie_A
1846,Luca Siligardi,29,1653,1,2.3095016945153475,2,2.390954718925059,37,18,2,0,F S,Parma Calcio 1913,1,2.3095016945153475,5.35398680716753,2.5334559306502342,Parma Calcio 1913,2018,Serie_A
4939,Alessandro Bastoni,24,1676,1,0.6640794100239873,0,0.2935659885406494,3,1,2,0,D S,Parma Calcio 1913,1,0.6640794100239873,2.9707645531743765,2.6771983709186316,Parma Calcio 1913,2018,Serie_A
6993,Mattia Sprocati,16,626,1,0.5016331933438778,0,0.792722487822175,10,11,0,0,F M S,Parma Calcio 1913,1,0.5016331933438778,2.2035923078656197,1.4521796070039272,Parma Calcio 1913,2018,Serie_A
1332,Massimo Gobbi,16,1178,0,0.1540272980928421,1,0.7148046074435115,3,9,3,0,D S,Parma Calcio 1913,0,0.1540272980928421,1.7145343888550997,1.2584538962692022,Parma Calcio 1913,2018,Serie_A
1392,Luigi Sepe,37,3330,0,0,0,0.05685260146856308,0,1,1,0,GK,Parma Calcio 1913,0,0,3.483146535232663,3.4262939337641,Parma Calcio 1913,2018,Serie_A
1411,Gianni Munari,1,1,0,0,0,0,0,0,0,0,S,Parma Calcio 1913,0,0,0,0,Parma Calcio 1913,2018,Serie_A
1504,Alberto Grassi,7,460,0,0.879951685667038,0,0.1518159955739975,5,2,0,0,M S,Parma Calcio 1913,0,0.879951685667038,1.2840902842581272,0.28349070623517036,Parma Calcio 1913,2018,Serie_A
1600,Jonathan Biabiany,18,1072,0,0.5070677120238543,0,1.1612697103992105,4,9,4,0,F M S,Parma Calcio 1913,0,0.5070677120238543,2.427364218980074,0.8746475726366043,Parma Calcio 1913,2018,Serie_A
1634,Alessandro Deiola,10,531,0,0.2996992003172636,1,0.33880838565528393,7,3,3,0,M S,Parma Calcio 1913,0,0.2996992003172636,0.65556900203228,0.04923360049724579,Parma Calcio 1913,2018,Serie_A
1896,Riccardo Gagliolo,34,3046,0,1.2741413051262498,2,2.3874878715723753,21,17,7,0,D,Parma Calcio 1913,0,1.2741413051262498,6.380531828850508,4.242849363014102,Parma Calcio 1913,2018,Serie_A
1905,Antonio Di Gaudio,12,715,0,1.4857794921845198,1,0.330335408449173,12,4,0,0,F S,Parma Calcio 1913,0,1.4857794921845198,1.6004445757716894,0.10771330259740353,Parma Calcio 1913,2018,Serie_A
1946,Pepín,2,77,0,0.09689569845795631,1,0.23218999803066254,2,1,0,0,M S,Parma Calcio 1913,0,0.09689569845795631,0.4249122925102711,0.09582670032978058,Parma Calcio 1913,2018,Serie_A
2005,Jacopo Dezi,1,90,0,0.07396840304136276,0,0,2,0,0,0,M,Parma Calcio 1913,0,0.07396840304136276,0.10242299735546112,0.028454799205064774,Parma Calcio 1913,2018,Serie_A
5195,Nicolás Schiappacase,3,82,0,0.025597000494599342,0,0,1,0,0,0,F S,Parma Calcio 1913,0,0.025597000494599342,0.025597000494599342,0,Parma Calcio 1913,2018,Serie_A
6193,Amato Ciciretti,6,134,0,0.0699222981929779,0,0.08809470292180777,1,2,0,0,F S,Parma Calcio 1913,0,0.0699222981929779,0.14714720100164413,0,Parma Calcio 1913,2018,Serie_A
6989,Simone Iacoponi,38,3355,0,0.7895376272499561,0,0.6701287971809506,9,11,4,0,D,Parma Calcio 1913,0,0.7895376272499561,5.681443337351084,5.153246427886188,Parma Calcio 1913,2018,Serie_A
6991,Leo Stulac,26,1451,0,0.6587113980203867,2,1.9355533793568611,22,21,3,1,M S,Parma Calcio 1913,0,0.6587113980203867,4.103182166814804,2.60662430152297,Parma Calcio 1913,2018,Serie_A
6992,Pierluigi Frattali,1,90,0,0,0,0,0,0,0,0,GK,Parma Calcio 1913,0,0,0.2909339964389801,0.2909339964389801,Parma Calcio 1913,2018,Serie_A
6994,Alessio Da Cruz,3,138,0,0.053025998175144196,0,0,1,0,0,0,F S,Parma Calcio 1913,0,0.053025998175144196,0.053025998175144196,0,Parma Calcio 1913,2018,Serie_A
7081,Francisco Sierralta,6,263,0,0.025509781204164028,0,0.5982289910316467,2,2,2,0,D S,Parma Calcio 1913,0,0.025509781204164028,0.14279470220208168,0.14279470220208168,Parma Calcio 1913,2018,Serie_A
7227,Matteo Scozzarella,22,1479,0,0.18196150474250317,3,2.2665402218699455,8,19,8,0,M S,Parma Calcio 1913,0,0.18196150474250317,1.9953767005354166,1.0847204010933638,Parma Calcio 1913,2018,Serie_A
7370,Abdou Diakhate,1,1,0,0,0,0,0,0,0,0,S,Parma Calcio 1913,0,0,0,0,Parma Calcio 1913,2018,Serie_A
