id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
1493,Andrea Petagna,36,3060,16,14.781552504748106,1,2.010345666203648,90,28,8,0,F S,SPAL 2013,10,10.213956706225872,10.56121488660574,2.678129244595766,SPAL 2013,2018,Serie_A
1492,Jasmin Kurtic,30,2568,6,3.831903362646699,5,3.2243825122714043,64,37,9,0,M S,SPAL 2013,6,3.831903362646699,7.214928997680545,3.8098329110071063,SPAL 2013,2018,Serie_A
6187,Mirco Antenucci,35,2101,5,6.3607764188200235,0,1.878604432567954,50,23,0,0,F S,SPAL 2013,4,4.8381794188171625,7.8363233637064695,2.410570896230638,SPAL 2013,2018,Serie_A
1141,Felipe,30,2371,3,2.8434982979670167,2,1.2383508859202266,14,8,13,0,D S,SPAL 2013,3,2.8434982979670167,3.8514043232426047,3.7784903217107058,SPAL 2013,2018,Serie_A
1446,Sergio Floccari,20,975,3,2.277656827121973,1,0.4103988017886877,24,4,3,0,F S,SPAL 2013,3,2.277656827121973,2.2638187780976295,0.3824675027281046,SPAL 2013,2018,Serie_A
1956,Mohamed Fares,35,2946,3,2.313133522402495,0,2.2974800979718566,57,38,12,0,D M S,SPAL 2013,3,2.313133522402495,7.599444488063455,4.0944363959133625,SPAL 2013,2018,Serie_A
716,Alberto Paloschi,23,835,2,2.699761241674423,0,0.613390613347292,10,5,3,0,F S,SPAL 2013,2,2.699761241674423,3.8622193671762943,0.5657388977706432,SPAL 2013,2018,Serie_A
3899,Mattia Valoti,24,1230,2,1.522062716074288,0,0.34167980402708054,20,10,6,0,D M S,SPAL 2013,2,1.522062716074288,2.521242992952466,1.2394521050155163,SPAL 2013,2018,Serie_A
3951,Kevin Bonifazi,27,2307,2,0.55370900221169,1,0.29870349913835526,11,8,2,0,D S,SPAL 2013,2,0.55370900221169,5.461601855233312,5.205912271514535,SPAL 2013,2018,Serie_A
6179,Francesco Vicari,28,2345,2,0.2306481972336769,1,0.4930143114179373,8,2,6,0,D S,SPAL 2013,2,0.2306481972336769,3.848028961569071,3.848028961569071,SPAL 2013,2018,Serie_A
302,Johan Djourou,5,274,0,0.2586059868335724,0,0,1,0,0,0,D S,SPAL 2013,0,0.2586059868335724,0.09045919962227345,0.09045919962227345,SPAL 2013,2018,Serie_A
1184,Mirko Valdifiori,15,668,0,0.2099463026970625,1,1.6104875598102808,7,22,3,0,M S,SPAL 2013,0,0.2099463026970625,1.9411854837089777,1.554201265797019,SPAL 2013,2018,Serie_A
1212,Alessandro Murgia,15,1076,0,0.8251724019646645,3,1.5178895518183708,13,17,1,0,M S,SPAL 2013,0,0.8251724019646645,2.740809313952923,1.7821488231420517,SPAL 2013,2018,Serie_A
1224,Vasco Regini,4,75,0,0,0,0,0,0,0,0,D S,SPAL 2013,0,0,0.12257659807801247,0.12257659807801247,SPAL 2013,2018,Serie_A
1265,Thiago Cionek,31,2556,0,1.1849567098543048,3,1.5269736675545573,16,17,12,2,D S,SPAL 2013,0,1.1849567098543048,4.666264999657869,3.979771615937352,SPAL 2013,2018,Serie_A
1455,Alfred Gomis,20,1722,0,0,0,0,0,0,0,0,GK S,SPAL 2013,0,0,2.6872325083240867,2.6872325083240867,SPAL 2013,2018,Serie_A
1532,Emiliano Viviano,17,1527,0,0,0,0.025808600708842278,0,1,0,0,GK,SPAL 2013,0,0,0.42254415852949023,0.39673555782064795,SPAL 2013,2018,Serie_A
1559,Filippo Costa,9,557,0,0.28941840678453445,0,0.4172484967857599,6,7,0,0,D M S,SPAL 2013,0,0.28941840678453445,0.6186024993658066,0.25061889737844467,SPAL 2013,2018,Serie_A
1603,Simone Missiroli,34,2762,0,0.4780864855274558,0,1.2079329080879688,15,27,9,0,M S,SPAL 2013,0,0.4780864855274558,5.598251016810536,4.6535491133108735,SPAL 2013,2018,Serie_A
3925,Gabriele Moncini,1,7,0,0,0,0.04795920103788376,0,1,0,0,S,SPAL 2013,0,0,0.04795920103788376,0,SPAL 2013,2018,Serie_A
4908,Lorenco Simic,8,231,0,0.7657389938831329,0,0.5867940187454224,5,1,0,0,D S,SPAL 2013,0,0.7657389938831329,0.22556699812412262,0.22556699812412262,SPAL 2013,2018,Serie_A
6167,Vanja Milinkovic-Savic,2,165,0,0,0,0,0,0,0,1,GK,SPAL 2013,0,0,0,0,SPAL 2013,2018,Serie_A
6180,Manuel Lazzari,33,2851,0,1.4309023087844253,8,6.029501068405807,34,54,7,0,D M,SPAL 2013,0,1.4309023087844253,10.511003291234374,5.256408028304577,SPAL 2013,2018,Serie_A
6182,Pasquale Schiattarella,28,1847,0,0.5448809983208776,4,1.8018974075093865,14,37,10,0,M S,SPAL 2013,0,0.5448809983208776,5.574229663237929,4.525077300146222,SPAL 2013,2018,Serie_A
6189,Giacomo Poluzzi,1,3,0,0,0,0,0,0,0,0,S,SPAL 2013,0,0,0,0,SPAL 2013,2018,Serie_A
6516,Everton Luiz,10,304,0,0.028468100354075432,0,0,2,0,5,0,M S,SPAL 2013,0,0.028468100354075432,1.144873102195561,1.1335758985951543,SPAL 2013,2018,Serie_A
6975,Lorenzo Dickmann,6,169,0,0.10697200149297714,0,0,1,0,1,0,D S,SPAL 2013,0,0.10697200149297714,0.1312388014048338,0.1312388014048338,SPAL 2013,2018,Serie_A
7473,Marko Jankovic,4,41,0,0.06773240119218826,0,0.04228790011256933,1,2,1,0,S,SPAL 2013,0,0.06773240119218826,0.21629420667886734,0.14856180548667908,SPAL 2013,2018,Serie_A
