id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
1186,Andrea Belotti,37,3304,15,17.00522129237652,3,4.3100587744265795,125,35,5,0,F,Torino,10,12.437676385045052,16.587280172854662,3.120272899977863,Torino,2018,Serie_A
1185,Iago Falque,26,1639,6,6.275083106011152,4,3.025949167087674,57,50,1,0,F M S,Torino,6,6.275083106011152,11.506010244600475,4.5214942917227745,Torino,2018,Serie_A
1096,Armando Izzo,37,3279,4,2.574809796176851,1,1.044721208512783,25,11,6,0,D,Torino,4,2.574809796176851,6.3101479057222605,5.6358647570014,Torino,2018,Serie_A
1182,Daniele Baselli,34,2404,4,2.3034623116254807,1,3.632219242863357,42,45,5,0,F M S,Torino,4,2.3034623116254807,9.333731336519122,6.232511958107352,Torino,2018,Serie_A
1642,Simone Zaza,29,1403,4,6.373840030282736,3,0.8243847992271185,56,15,8,1,F S,Torino,4,6.373840030282736,7.671013478189707,2.2148135155439377,Torino,2018,Serie_A
1099,Tomás Rincón,34,2814,3,0.9689116980880499,1,1.1566688185557723,34,28,15,0,M S,Torino,3,0.9689116980880499,5.624395725317299,4.516104189679027,Torino,2018,Serie_A
1515,Cristian Ansaldi,24,1826,3,1.1824769168160856,2,3.2859640158712864,39,35,3,0,D M S,Torino,3,1.1824769168160856,4.282081218902022,1.1834399960935116,Torino,2018,Serie_A
1193,Lorenzo De Silvestri,32,2443,2,2.533271494321525,4,2.73347123619169,29,29,2,0,D M S,Torino,2,2.533271494321525,6.639141052030027,2.48515697568655,Torino,2018,Serie_A
1537,Sasa Lukic,24,971,2,1.5455359071493149,0,0.8319104062393308,9,12,7,0,M S,Torino,2,1.5455359071493149,3.5772139579057693,1.8425510944798589,Torino,2018,Serie_A
3387,Nicolas N&#039;Koulou,36,3216,2,1.1790199745446444,0,0.08428539056330919,7,4,6,1,D,Torino,2,1.1790199745446444,4.376659502275288,4.376659502275288,Torino,2018,Serie_A
3739,Soualiho Meité,35,2666,2,1.0295750331133604,4,2.0499838683754206,30,33,7,1,M S,Torino,2,1.0295750331133604,7.618531519547105,5.195947041735053,Torino,2018,Serie_A
5091,Alex Berenguer,31,1469,2,1.0048195868730545,3,3.6603293232619762,22,36,4,0,D F M S,Torino,2,1.0048195868730545,5.324430583044887,1.5463838260620832,Torino,2018,Serie_A
725,Ola Aina,30,2161,1,1.599380916915834,3,2.9707190161570907,24,25,5,1,D M S,Torino,1,1.599380916915834,7.592433869838715,3.6878112126141787,Torino,2018,Serie_A
1187,Adem Ljajic,1,27,0,0.06695160269737244,0,0,2,0,0,0,S,Torino,0,0.06695160269737244,0.17709100246429443,0.11013899743556976,Torino,2018,Serie_A
1196,Emiliano Moretti,24,2015,0,0.01248560007661581,0,0.0861257016658783,1,2,5,0,D S,Torino,0,0.01248560007661581,3.442424758337438,3.411804779432714,Torino,2018,Serie_A
1348,Vittorio Parigini,17,333,0,0.8181651029735804,0,1.201538696885109,8,8,2,0,M S,Torino,0,0.8181651029735804,1.5741998106241226,0.1864802986383438,Torino,2018,Serie_A
1608,Salvador Ichazo,3,251,0,0,0,0,0,0,0,0,GK S,Torino,0,0,0.10388399660587311,0.10388399660587311,Torino,2018,Serie_A
1810,Roberto Soriano,11,472,0,0.19921530317515135,2,0.7337255999445915,5,9,1,0,M S,Torino,0,0.19921530317515135,1.0677545797079802,0.6518149003386497,Torino,2018,Serie_A
2010,Simone Edera,3,75,0,0.06624600291252136,0,0.06427659839391708,1,2,0,0,M S,Torino,0,0.06624600291252136,0.09735889732837677,0.031112900003790855,Torino,2018,Serie_A
3301,Salvatore Sirigu,36,3169,0,0,0,0.019512200728058815,0,1,1,0,GK,Torino,0,0,1.7858376819640398,1.766325481235981,Torino,2018,Serie_A
3550,Koffi Djidji,17,1386,0,0.028699289076030254,0,0,2,0,2,0,D S,Torino,0,0.028699289076030254,2.3102072719484568,2.2815072778612375,Torino,2018,Serie_A
6252,Lyanco,2,89,0,0,0,0,0,0,1,0,D S,Torino,0,0,0,0,Torino,2018,Serie_A
6460,Vincenzo Millico,1,1,0,0,0,0,0,0,0,0,S,Torino,0,0,0,0,Torino,2018,Serie_A
6960,Bremer,5,180,0,0.013408400118350983,0,0.04479299858212471,1,1,1,0,D S,Torino,0,0.013408400118350983,0.5416996851563454,0.5416996851563454,Torino,2018,Serie_A
6961,Vitalie Damascan,1,1,0,0,0,0,0,0,0,0,S,Torino,0,0,0,0,Torino,2018,Serie_A
