id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
7961,Alfredo Donnarumma,31,1694,7,7.065997123718262,2,1.394518262706697,42,14,1,0,F S,Brescia,5,5.543397128582001,6.795941503718495,1.5821647718548775,Brescia,2019,Serie_A
7993,Ernesto Torregrossa,25,1858,7,8.12763605453074,3,2.774046828970313,64,21,8,0,F M S,Brescia,5,6.605077994987369,11.08259840682149,4.832956355065107,Brescia,2019,Serie_A
1817,Mario Balotelli,19,1417,5,7.284743475727737,0,0.44696130231022835,72,9,6,1,F S,Brescia,5,7.284743475727737,7.3200103882700205,2.621516326442361,Brescia,2019,Serie_A
6578,Jhon Chancellor,26,2249,3,2.395295914262533,0,0,13,0,3,0,D,Brescia,3,2.395295914262533,2.3027678225189447,1.3367717955261469,Brescia,2019,Serie_A
1412,Daniele Dessena,24,1894,2,1.2287202989682555,0,0.35731011256575584,18,3,5,1,M S,Brescia,2,1.2287202989682555,3.1891833394765854,2.5581237263977528,Brescia,2019,Serie_A
7959,Nikolas Spalek,25,1615,2,3.3101091096177697,1,2.1801047949120402,25,18,5,0,F M S,Brescia,2,3.3101091096177697,5.761130112223327,1.7850438207387924,Brescia,2019,Serie_A
7962,Jaromir Zmrhal,21,1108,2,1.5833151750266552,0,0.4702088963240385,14,9,0,0,M S,Brescia,2,1.5833151750266552,2.961836013942957,1.2654468081891537,Brescia,2019,Serie_A
1849,Rômulo,22,1732,1,1.790924208238721,3,1.3911909190937877,17,17,3,0,M S,Brescia,1,1.790924208238721,6.933941872790456,4.271012082695961,Brescia,2019,Serie_A
4957,Alessandro Semprini,12,618,1,0.8105815155431628,0,0.2762774061411619,2,7,2,0,D S,Brescia,1,0.8105815155431628,1.4291747007519007,0.45821489207446575,Brescia,2019,Serie_A
7956,Andrea Cistana,21,1838,1,0.33788249269127846,0,0.16423455299809575,6,3,7,1,D,Brescia,1,0.33788249269127846,2.1506846714764833,2.123344661667943,Brescia,2019,Serie_A
7957,Dimitri Bisoli,25,2156,1,2.5396538749337196,1,2.3935373071581125,25,19,6,0,M S,Brescia,1,2.5396538749337196,5.015272177755833,2.4837095215916634,Brescia,2019,Serie_A
7958,Sandro Tonali,35,3034,1,0.9396829903125763,7,6.356063158251345,28,67,9,0,M S,Brescia,1,0.9396829903125763,8.699191463179886,7.521883792243898,Brescia,2019,Serie_A
8387,Andrea Papetti,11,920,1,0.07540730200707912,0,0.07020340114831924,2,1,5,0,D S,Brescia,1,0.07540730200707912,0.6361058987677097,0.5659028962254524,Brescia,2019,Serie_A
1355,Bruno Martella,24,1253,0,0.34438089560717344,0,1.5374953858554363,10,15,3,0,D M S,Brescia,0,0.34438089560717344,3.1585119143128395,2.0709747560322285,Brescia,2019,Serie_A
1472,Alessandro Matri,8,62,0,0.28608919214457273,0,0.2759093940258026,6,3,1,1,S,Brescia,0,0.28608919214457273,0.7085598921403289,0.17782399710267782,Brescia,2019,Serie_A
1579,Daniele Gastaldello,8,384,0,0.053210701793432236,0,0.14071200042963028,1,2,1,0,D S,Brescia,0,0.053210701793432236,0.7741139978170395,0.6547425016760826,Brescia,2019,Serie_A
1898,Stefano Sabelli,36,3177,0,0.48476280458271503,3,4.368239874020219,14,41,5,0,D M,Brescia,0,0.48476280458271503,8.466163201257586,6.064853944815695,Brescia,2019,Serie_A
4933,Leonardo Morosini,3,23,0,0,0,0,0,0,0,0,S,Brescia,0,0,0,0,Brescia,2019,Serie_A
7002,Giangiacomo Magnani,2,113,0,0.13922999799251556,0,0,2,0,2,0,D S,Brescia,0,0.13922999799251556,0,0,Brescia,2019,Serie_A
7955,Jesse Joronen,29,2610,0,0,0,0.02337530069053173,0,1,1,0,GK,Brescia,0,0,1.5912604965269566,1.5678851958364248,Brescia,2019,Serie_A
