id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
7973,Marco Mancosu,33,2456,14,15.520460256375372,2,3.370796538889408,85,32,3,0,F M S,Lecce,5,7.146207560785115,11.121595025062561,3.335930908098817,Lecce,2019,Serie_A
1136,Gianluca Lapadula,25,1808,11,9.833517180755734,0,1.2387498142197728,60,23,8,1,F S,Lecce,9,8.310915069654584,9.270818097516894,2.106314828619361,Lecce,2019,Serie_A
1979,Filippo Falco,30,2022,4,2.7823444921523333,6,4.185990169644356,56,51,0,0,F M S,Lecce,4,2.7823444921523333,9.23097808752209,5.429754282347858,Lecce,2019,Serie_A
1434,Khouma Babacar,25,1435,3,7.00652265176177,0,1.3971451949328184,49,16,4,0,F S,Lecce,3,5.483930718153715,5.656479870900512,0.9886051919311285,Lecce,2019,Serie_A
6192,Fabio Lucioni,36,3132,3,2.089438386261463,0,0.12707783142104745,14,3,8,1,D,Lecce,3,2.089438386261463,5.380344121716917,5.231610148213804,Lecce,2019,Serie_A
7970,Marco Calderoni,26,2072,3,0.5454019997268915,2,1.8011293848976493,23,19,7,0,D S,Lecce,3,0.5454019997268915,4.462270031683147,3.1065051639452577,Lecce,2019,Serie_A
1313,Riccardo Saponara,13,964,2,1.6211825758218765,4,2.8335096929222345,26,33,2,0,F M S,Lecce,2,1.6211825758218765,5.906348466873169,3.186350341886282,Lecce,2019,Serie_A
1605,Diego Farias,18,803,2,1.8090673051774502,0,2.1441363813355565,23,12,3,1,F M S,Lecce,2,1.8090673051774502,4.697009981609881,2.348871234804392,Lecce,2019,Serie_A
6208,Antonin Barak,16,1367,2,3.5560511499643326,1,1.6024942174553871,34,17,0,0,M S,Lecce,2,3.5560511499643326,7.659054692834616,2.8417624831199646,Lecce,2019,Serie_A
7972,Andrea La Mantia,12,541,2,3.505928371101618,0,0.6706053148955107,21,7,1,0,F M S,Lecce,2,3.505928371101618,4.665779821574688,0.6235363585874438,Lecce,2019,Serie_A
193,Giulio Donati,20,1766,1,0.25491120386868715,0,1.937365997582674,9,24,4,0,D,Lecce,1,0.25491120386868715,5.808116132393479,4.837270958349109,Lecce,2019,Serie_A
1634,Alessandro Deiola,10,708,1,0.30971379578113556,1,0.27653580717742443,9,8,3,0,M S,Lecce,1,0.30971379578113556,1.7175990659743547,1.3169358242303133,Lecce,2019,Serie_A
3857,Andrea Tabanelli,13,960,1,0.9222226785495877,0,0.1337475012987852,11,5,4,0,M S,Lecce,1,0.9222226785495877,2.9509725347161293,2.092835425864905,Lecce,2019,Serie_A
5910,Zan Majer,27,1663,1,1.5344708235934377,1,1.3214632216840982,19,20,7,0,M S,Lecce,1,1.5344708235934377,6.173261622898281,3.7693243166431785,Lecce,2019,Serie_A
7977,Evgen Shakhov,24,1074,1,1.0299372989684343,2,2.038077031262219,14,13,3,0,F M S,Lecce,1,1.0299372989684343,5.770103191956878,3.9786820132285357,Lecce,2019,Serie_A
8059,Biagio Meccariello,14,758,1,0.19928920082747936,0,0.11566139943897724,5,5,2,0,D S,Lecce,1,0.19928920082747936,2.778399484232068,2.625406736508012,Lecce,2019,Serie_A
861,Giannelli Imbula,3,124,0,0,0,0,0,0,0,0,M S,Lecce,0,0,0.14681649953126907,0.14681649953126907,Lecce,2019,Serie_A
1132,Gabriel,34,2997,0,0,0,0,0,0,4,0,GK,Lecce,0,0,3.1193836592137814,3.1193836592137814,Lecce,2019,Serie_A
1180,Luca Rossettini,26,2265,0,0.13774690125137568,2,0.9569102674722672,4,4,5,0,D S,Lecce,0,0.13774690125137568,3.565647689625621,3.2405263986438513,Lecce,2019,Serie_A
1274,Andrea Rispoli,28,1894,0,0.7888617808930576,0,1.3475358574651182,13,17,6,0,D S,Lecce,0,0.7888617808930576,5.7757288957946,4.738105544820428,Lecce,2019,Serie_A
1401,Panagiotis Tachtsidis,28,2016,0,0.6986531093716621,2,1.1147235976532102,27,23,5,1,M S,Lecce,0,0.6986531093716621,7.605484394356608,6.530227264389396,Lecce,2019,Serie_A
1476,Cristian Dell&#039;Orco,14,1010,0,0,1,0.24473939836025238,0,7,0,1,D S,Lecce,0,0,2.906813168898225,2.756843166425824,Lecce,2019,Serie_A
5812,Davide Riccardi,1,18,0,0,0,0,0,0,0,0,S,Lecce,0,0,0,0,Lecce,2019,Serie_A
6973,Nehuén Paz,13,847,0,0.07173439860343933,0,0,2,0,4,0,D S,Lecce,0,0.07173439860343933,1.507583063095808,1.507583063095808,Lecce,2019,Serie_A
7971,Jacopo Petriccione,31,2155,0,0.461639397777617,5,1.7357140043750405,18,41,10,0,M S,Lecce,0,0.461639397777617,7.436381964944303,6.036615069955587,Lecce,2019,Serie_A
7974,Romario Benzar,3,98,0,0,0,0.09429969638586044,0,2,0,0,D S,Lecce,0,0,0.3672590032219887,0.35058698803186417,Lecce,2019,Serie_A
7978,Edgaras Dubickas,1,1,0,0,0,0,0,0,0,0,S,Lecce,0,0,0,0,Lecce,2019,Serie_A
7979,Brayan Vera,8,142,0,0.1012832997366786,1,0.1549490075558424,4,3,0,0,D S,Lecce,0,0.1012832997366786,0.19076690450310707,0.15857630409300327,Lecce,2019,Serie_A
8008,Mauro Vigorito,5,423,0,0,0,0,0,0,1,0,GK S,Lecce,0,0,0.7476556040346622,0.7476556040346622,Lecce,2019,Serie_A
8197,Ilario Monterisi,1,1,0,0,0,0,0,0,0,0,S,Lecce,0,0,0,0,Lecce,2019,Serie_A
