id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
1253,Edin Dzeko,35,2857,16,21.150355987250805,7,6.020592227578163,122,54,4,0,F S,Roma,16,21.150355987250805,29.798950819298625,8.127791193313897,Roma,2019,Serie_A
317,Henrikh Mkhitaryan,22,1538,9,6.188466884195805,5,3.263670163229108,43,27,4,0,M S,Roma,9,6.188466884195805,13.575276017189026,5.561246877536178,Roma,2019,Serie_A
621,Aleksandar Kolarov,32,2728,7,6.698397692292929,4,4.556032946333289,72,56,6,0,D S,Roma,5,3.65332880243659,17.206804178655148,13.999759584665298,Roma,2019,Serie_A
677,Jordan Veretout,33,2638,6,4.7388707511126995,0,3.5026069283485413,29,41,6,0,M S,Roma,1,0.932413499802351,14.684327898547053,13.021637747064233,Roma,2019,Serie_A
6686,Nicolo Zaniolo,26,1493,6,4.454576425254345,2,4.967146445531398,47,24,8,0,F M S,Roma,6,4.454576425254345,11.15839870274067,3.3494187090545893,Roma,2019,Serie_A
1425,Nikola Kalinic,15,551,5,4.823122791945934,1,0.6108099929988384,19,7,1,0,F S,Roma,5,4.823122791945934,5.97116856276989,0.8637727126479149,Roma,2019,Serie_A
1539,Diego Perotti,21,874,5,4.193223442882299,3,3.1900781989097595,15,22,3,1,M S,Roma,1,1.148068519309163,3.9752324856817722,0.859231511130929,Roma,2019,Serie_A
6963,Justin Kluivert,22,1539,4,2.7704060915857553,1,1.0244837878271937,34,21,4,1,F M S,Roma,4,2.7704060915857553,7.511801402084529,4.072239125147462,Roma,2019,Serie_A
628,Chris Smalling,30,2562,3,2.2447527134791017,2,0.6742308121174574,19,10,2,0,D S,Roma,3,2.2447527134791017,8.960694653913379,8.672036273404956,Roma,2019,Serie_A
6162,Cengiz Ünder,18,870,3,2.56335287168622,0,2.8297149129211903,27,27,2,0,M S,Roma,3,2.56335287168622,7.682266503572464,2.9557585269212723,Roma,2019,Serie_A
1471,Lorenzo Pellegrini,27,2138,2,4.5819664667360485,9,8.63224265165627,58,65,6,1,M S,Roma,2,4.5819664667360485,16.341971300542355,9.022965874522924,Roma,2019,Serie_A
1567,Bruno Peres,16,1064,2,0.8991656098514795,2,1.9987537935376167,14,12,3,0,D S,Roma,2,0.8991656098514795,6.888522371649742,4.164498187601566,Roma,2019,Serie_A
1000,Federico Fazio,16,1218,1,0.3344523087143898,0,0.06300520151853561,4,1,2,1,D S,Roma,1,0.3344523087143898,6.161377403885126,6.161377403885126,Roma,2019,Serie_A
1168,Bryan Cristante,26,1601,1,1.3382037114351988,3,1.3496544007211924,29,20,7,1,D M S,Roma,1,1.3382037114351988,11.037777781486511,9.503500685095787,Roma,2019,Serie_A
1380,Amadou Diawara,22,1533,1,0.9722621124237776,1,0.46361779887229204,10,16,4,0,M S,Roma,0,0.21096309833228588,7.106500657275319,6.651072710752487,Roma,2019,Serie_A
1500,Leonardo Spinazzola,24,1551,1,1.1452728975564241,2,3.872906926088035,14,22,2,0,D S,Roma,1,1.1452728975564241,6.774423159658909,4.168484717607498,Roma,2019,Serie_A
6159,Gianluca Mancini,32,2747,1,2.8419893011450768,0,0.7721152044832706,21,12,14,1,D M S,Roma,1,2.8419893011450768,7.154852574691176,5.951352084055543,Roma,2019,Serie_A
7609,Carles Pérez,14,553,1,1.2256435938179493,3,1.413734059780836,21,10,2,0,M S,Roma,1,1.2256435938179493,4.8806224428117275,3.7151620108634233,Roma,2019,Serie_A
1178,Davide Zappacosta,9,431,0,0.6812217049300671,1,0.7593546267598867,4,7,0,0,D S,Roma,0,0.6812217049300671,3.179088734090328,1.8276095502078533,Roma,2019,Serie_A
1247,Juan Jesus,4,136,0,0,0,0,0,0,2,0,D S,Roma,0,0,1.6181557960808277,1.6181557960808277,Roma,2019,Serie_A
1254,Alessandro Florenzi,14,1017,0,0.4294812027364969,1,1.9170422069728374,14,12,5,0,D M S,Roma,0,0.4294812027364969,5.736080728471279,4.3848880380392075,Roma,2019,Serie_A
1509,Davide Santon,15,610,0,0.0748628992587328,0,0.030310099944472313,2,1,4,0,D S,Roma,0,0.0748628992587328,1.7447585836052895,1.6954797841608524,Roma,2019,Serie_A
1609,Antonio Mirante,5,450,0,0,0,0,0,0,0,0,GK,Roma,0,0,0.8546202778816223,0.8546202778816223,Roma,2019,Serie_A
2107,Pau López,32,2880,0,0,0,0,0,0,3,0,GK,Roma,0,0,3.5319995898753405,3.5319995898753405,Roma,2019,Serie_A
3295,Javier Pastore,11,510,0,2.4043799843639135,1,0.5955959931015968,16,5,0,0,M S,Roma,0,2.4043799843639135,3.6037997640669346,1.2165740691125393,Roma,2019,Serie_A
6247,Mirko Antonucci,2,87,0,0.1974949985742569,0,0.05012330040335655,3,1,1,0,S,Roma,0,0.1974949985742569,0.34053200483322144,0.15640200674533844,Roma,2019,Serie_A
6750,Gonzalo Villar,9,283,0,1.071079969406128,0,0.047033000737428665,2,2,3,0,M S,Roma,0,1.071079969406128,3.0288628358393908,2.392387617379427,Roma,2019,Serie_A
6966,Daniel Fuzato,1,90,0,0,0,0,0,0,0,0,GK,Roma,0,0,0,0,Roma,2019,Serie_A
7413,Ibañez,9,617,0,0.5925535093992949,0,0.11606359481811523,3,3,2,0,D S,Roma,0,0.5925535093992949,3.409987029619515,3.3483017282560468,Roma,2019,Serie_A
8007,Yildirim Mert Cetin,6,248,0,0.48685770854353905,0,0,3,0,2,1,D S,Roma,0,0.48685770854353905,0.30423710122704506,0.30423710122704506,Roma,2019,Serie_A
8129,Riccardo Calafiori,1,62,0,0,0,0,0,0,0,0,D,Roma,0,0,0,0,Roma,2019,Serie_A
