id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
1230,Fabio Quagliarella,28,2302,11,12.694549661129713,3,3.7642649058252573,100,37,2,0,F M S,Sampdoria,6,8.126753199845552,11.538919039070606,2.5453762225806713,Sampdoria,2019,Serie_A
1383,Manolo Gabbiadini,33,2043,11,7.862871311604977,1,3.5406722212210298,86,39,2,0,F M S,Sampdoria,10,7.101572327315807,11.279241872951388,2.9115538243204355,Sampdoria,2019,Serie_A
952,Gastón Ramírez,26,1414,7,5.948077545501292,2,2.851084429770708,40,33,5,0,F M S,Sampdoria,4,3.664218400605023,5.485209925100207,2.0626297844573855,Sampdoria,2019,Serie_A
2019,Federico Bonazzoli,19,736,6,3.772281961515546,0,0.7597679141908884,43,11,1,0,F S,Sampdoria,6,3.772281961515546,3.8387628365308046,0.4309880957007408,Sampdoria,2019,Serie_A
1226,Karol Linetty,28,2029,4,1.7931406097486615,3,2.260427930392325,32,27,4,0,M S,Sampdoria,4,1.7931406097486615,8.295717153698206,5.2704805340617895,Sampdoria,2019,Serie_A
1170,Gianluca Caprari,18,640,3,1.6648088991641998,0,0.4910557195544243,23,9,2,1,F M S,Sampdoria,3,1.6648088991641998,2.575708730146289,0.9113766103982925,Sampdoria,2019,Serie_A
1146,Jakub Jankto,30,2117,2,2.232797889970243,4,4.086188325658441,42,44,8,0,M S,Sampdoria,2,2.232797889970243,9.040857293643057,4.4054966708645225,Sampdoria,2019,Serie_A
6211,Mehdi Leris,15,480,1,0.7676117569208145,1,1.1273093223571777,13,10,0,0,F M S,Sampdoria,1,0.7676117569208145,1.2432832531630993,0.9337671063840389,Sampdoria,2019,Serie_A
7937,Julian Chabot,8,566,1,0.05119260028004646,0,0,1,0,1,1,D S,Sampdoria,1,0.05119260028004646,1.2549019902944565,1.2549019902944565,Sampdoria,2019,Serie_A
7939,Morten Thorsby,24,1882,1,1.7017936240881681,1,0.9330150578171015,18,20,7,1,D M S,Sampdoria,1,1.7017936240881681,4.571312059648335,3.6858670664951205,Sampdoria,2019,Serie_A
8309,Kristoffer Askildsen,4,62,1,0.010590700432658195,0,0.1491280049085617,1,2,0,1,S,Sampdoria,1,0.010590700432658195,0.29565519466996193,0.13593649677932262,Sampdoria,2019,Serie_A
411,Albin Ekdal,32,2381,0,1.265090980567038,2,1.434614995494485,16,23,8,0,M S,Sampdoria,0,1.265090980567038,6.251870095729828,4.474948652088642,Sampdoria,2019,Serie_A
845,Maya Yoshida,14,1185,0,0.14559810049831867,1,0.12837929837405682,5,4,1,0,D S,Sampdoria,0,0.14559810049831867,1.2396712051704526,1.13203420676291,Sampdoria,2019,Serie_A
1224,Vasco Regini,3,174,0,0,0,0.14855599403381348,0,1,0,0,D S,Sampdoria,0,0,0.031189600005745888,0.031189600005745888,Sampdoria,2019,Serie_A
1225,Edgar Barreto,2,92,0,0.01716740056872368,0,0,1,0,0,0,M S,Sampdoria,0,0.01716740056872368,0.10330600291490555,0.10330600291490555,Sampdoria,2019,Serie_A
1302,Emil Audero,36,3240,0,0,0,0,0,0,1,0,GK,Sampdoria,0,0,2.1366559490561485,2.1366559490561485,Sampdoria,2019,Serie_A
1394,Lorenzo Tonelli,9,707,0,0.11737620271742344,0,0,5,0,4,0,D,Sampdoria,0,0.11737620271742344,0.8883359991014004,0.8270855955779552,Sampdoria,2019,Serie_A
1400,Nicola Murru,28,2261,0,0.35641520097851753,0,0.9010650049895048,8,17,4,1,D M S,Sampdoria,0,0.35641520097851753,3.614534789696336,2.770351467654109,Sampdoria,2019,Serie_A
1454,Alex Ferrari,12,1005,0,0.2835877947509289,0,0.6160100102424622,4,2,4,0,D S,Sampdoria,0,0.2835877947509289,0.8782354835420847,0.8638524804264307,Sampdoria,2019,Serie_A
1508,Jeison Murillo,10,662,0,0.09840650018304586,0,0.04626860097050667,3,2,1,1,D S,Sampdoria,0,0.09840650018304586,0.43638790771365166,0.3900975026190281,Sampdoria,2019,Serie_A
1624,Fabio Depaoli,29,1846,0,0.9059987654909492,1,2.300639260560274,26,30,7,0,D M S,Sampdoria,0,0.9059987654909492,4.80630904994905,2.66529050283134,Sampdoria,2019,Serie_A
1641,Andrea Bertolacci,12,546,0,0.10054660029709339,0,0.08340229839086533,4,2,3,0,M S,Sampdoria,0,0.10054660029709339,0.731553703546524,0.5476049948483706,Sampdoria,2019,Serie_A
2003,Antonio La Gumina,5,184,0,0.22907649725675583,0,0.08236700296401978,4,2,0,0,F S,Sampdoria,0,0.22907649725675583,0.2913544923067093,0.014825999736785889,Sampdoria,2019,Serie_A
4907,Bartosz Bereszynski,28,2414,0,0.33422529604285955,0,0.48167610727250576,16,9,10,0,D M S,Sampdoria,0,0.33422529604285955,4.96085980348289,4.682244358584285,Sampdoria,2019,Serie_A
4984,Wladimiro Falcone,2,180,0,0,0,0,0,0,1,0,GK,Sampdoria,0,0,0.25154900550842285,0.25154900550842285,Sampdoria,2019,Serie_A
6282,Emiliano Rigoni,8,423,0,1.5911431219428778,1,0.9185556173324585,7,15,2,0,F M S,Sampdoria,0,1.5911431219428778,2.227119006216526,0.3794498946517706,Sampdoria,2019,Serie_A
7096,Omar Colley,31,2772,0,3.21848410833627,1,0.7359273200854659,24,8,10,0,D S,Sampdoria,0,3.21848410833627,4.4547279169783,3.7198301469907165,Sampdoria,2019,Serie_A
7097,Ronaldo Vieira,27,1823,0,1.3966669766232371,1,0.8832437060773373,31,24,11,1,M S,Sampdoria,0,1.3966669766232371,5.863907594233751,4.45323390327394,Sampdoria,2019,Serie_A
7938,Tommaso Augello,17,1131,0,0,2,1.0888901920989156,0,18,2,0,D S,Sampdoria,0,0,3.2081194445490837,2.7011680975556374,Sampdoria,2019,Serie_A
8105,Gonzalo Maroni,5,174,0,0.9465255215764046,1,0.4192273039370775,5,10,0,0,M S,Sampdoria,0,0.1852269023656845,0.6981363967061043,0.32389500737190247,Sampdoria,2019,Serie_A
8492,Felice D&#039;Amico,2,2,0,0.05835559964179993,0,0,1,0,0,0,S,Sampdoria,0,0.05835559964179993,0.05835559964179993,0,Sampdoria,2019,Serie_A
