id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
6980,Francesco Caputo,36,2940,21,14.31505648419261,7,5.517016887664795,73,53,3,0,F S,Sassuolo,19,12.79250043258071,20.526265125721693,4.79113036673516,Sassuolo,2019,Serie_A
1612,Domenico Berardi,31,2521,14,10.253665913362056,10,7.873034365475178,119,59,6,1,F M S,Sassuolo,12,7.969765156973153,18.357233034446836,6.4422936253249645,Sassuolo,2019,Serie_A
3544,Jeremie Boga,34,2536,11,4.567409997805953,2,3.224501945078373,57,34,0,0,F M S,Sassuolo,11,4.567409997805953,11.07051096856594,5.21479844301939,Sassuolo,2019,Serie_A
1233,Filip Djuricic,29,1654,5,3.359883585013449,5,4.331503299996257,42,38,6,0,M S,Sassuolo,5,3.359883585013449,10.897336782887578,4.6328162755817175,Sassuolo,2019,Serie_A
6986,Hamed Junior Traore,31,1570,4,5.591629480943084,1,1.7998478086665273,46,30,3,0,M S,Sassuolo,4,5.591629480943084,9.358554681763053,3.0153606235980988,Sassuolo,2019,Serie_A
1468,Gregoire Defrel,17,975,3,3.120926033705473,3,1.4903011973947287,20,10,1,0,F M S,Sassuolo,2,2.3596300296485424,6.1081478074193,2.463406305760145,Sassuolo,2019,Serie_A
7500,Giacomo Raspadori,11,249,2,1.3048213981091976,0,0.20167380571365356,11,5,0,0,F M S,Sassuolo,2,1.3048213981091976,1.7984017953276634,0.4063200019299984,Sassuolo,2019,Serie_A
7950,Mert Müldür,24,1262,2,0.8605952113866806,1,0.4600157756358385,13,10,4,0,D S,Sassuolo,2,0.8605952113866806,5.388628365471959,4.529214011505246,Sassuolo,2019,Serie_A
257,Jeremy Toljan,29,2192,1,0.6392563097178936,2,2.453794884495437,8,28,8,0,D S,Sassuolo,1,0.6392563097178936,7.365471941418946,6.212658777832985,Sassuolo,2019,Serie_A
542,Pedro Obiang,25,1660,1,1.5510449893772602,1,0.8420502878725529,22,16,10,0,M S,Sassuolo,1,1.5510449893772602,7.154576126486063,5.688452707603574,Sassuolo,2019,Serie_A
1474,Alfred Duncan,13,853,1,1.1294772811233997,5,1.2089123092591763,13,12,3,0,D M S,Sassuolo,1,1.1294772811233997,4.811030512675643,3.0703074783086777,Sassuolo,2019,Serie_A
3893,Lukas Haraslin,11,376,1,0.7643866911530495,0,0.06888730078935623,10,1,1,0,F M S,Sassuolo,1,0.7643866911530495,1.5027965027838945,0.7880130112171173,Sassuolo,2019,Serie_A
