id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
1136,Gianluca Lapadula,37,2596,8,10.252227053046227,2,3.799660637974739,75,33,2,0,F S,Benevento,8,9.490927085280418,11.750601025298238,2.0247275214642286,Benevento,2020,Serie_A
1170,Gianluca Caprari,30,1900,5,3.830051892437041,6,2.4633004097267985,48,34,4,1,F M S,Benevento,5,3.068753474391997,6.256533586420119,2.5983725199475884,Benevento,2020,Serie_A
6196,Nicolas Viola,17,1042,5,3.5975695084780455,3,1.3177132904529572,18,18,0,0,M S,Benevento,1,0.5523735973984003,2.3270148001611233,1.4371164590120316,Benevento,2020,Serie_A
1406,Marco Sau,24,765,4,2.311332104727626,2,1.4944302886724472,11,19,1,1,F M S,Benevento,3,1.550114093348384,2.2915192218497396,0.4940705019980669,Benevento,2020,Serie_A
1972,Gaetano Letizia,24,1567,3,0.4204477947205305,1,1.2012773863971233,13,14,2,0,D S,Benevento,3,0.4204477947205305,3.6646606102585793,2.8229006938636303,Benevento,2020,Serie_A
3,Luca Caldirola,25,1560,2,0.5324266981333494,0,0.15763569995760918,7,6,3,1,D S,Benevento,2,0.5324266981333494,2.1501892283558846,2.0367876263335347,Benevento,2020,Serie_A
1604,Artur Ionita,36,2861,2,1.4822782259434462,0,0.8480780068784952,23,14,6,0,F M S,Benevento,2,1.4822782259434462,4.376633610576391,3.2159969890490174,Benevento,2020,Serie_A
1617,Roberto Insigne,30,1598,2,3.687783249653876,4,3.8503976045176387,39,40,2,0,F M S,Benevento,2,3.687783249653876,9.603484109044075,3.02728371322155,Benevento,2020,Serie_A
1800,Kamil Glik,36,3208,2,3.273077243939042,1,0.3577795997262001,28,4,7,1,D,Benevento,2,3.273077243939042,4.954514551907778,4.544665501452982,Benevento,2020,Serie_A
8607,Adolfo Gaich,15,771,2,2.716556226834655,0,0.42562589421868324,24,5,1,0,F S,Benevento,2,2.716556226834655,2.5296220928430557,0.15403790026903152,Benevento,2020,Serie_A
1185,Iago Falque,11,355,1,0.3678577970713377,1,0.7816795036196709,11,12,0,0,M S,Benevento,1,0.3678577970713377,1.669627197086811,0.8235453991219401,Benevento,2020,Serie_A
1317,Andrés Tello,17,380,1,0.1986220981925726,0,0.04526279866695404,7,1,2,0,D S,Benevento,1,0.1986220981925726,0.6142909992486238,0.41190270241349936,Benevento,2020,Serie_A
6182,Pasquale Schiattarella,29,2257,1,0.6014219056814909,1,2.2552980314940214,11,25,13,1,M S,Benevento,1,0.6014219056814909,8.082545510493219,6.711748289875686,Benevento,2020,Serie_A
8883,Riccardo Improta,34,2329,1,1.7657607709988952,0,2.6739607667550445,35,22,7,0,D M S,Benevento,1,1.7657607709988952,6.814544703811407,3.4242297261953354,Benevento,2020,Serie_A
8884,Alessandro Tuia,27,1766,1,0.4775644959881902,0,0.48687270004302263,8,3,6,0,D S,Benevento,1,0.4775644959881902,2.3737149881199002,2.2948022857308388,Benevento,2020,Serie_A
1320,Federico Barba,32,2661,0,0.5403175037354231,2,1.5261480007320642,13,13,8,0,D S,Benevento,0,0.5403175037354231,4.6677513755857944,4.175875443965197,Benevento,2020,Serie_A
1334,Perparim Hetemaj,31,2236,0,0.5941195506602526,2,1.1625242764130235,12,15,5,0,M S,Benevento,0,0.5941195506602526,3.0375230284407735,1.730568414554,Benevento,2020,Serie_A
1391,Christian Maggio,8,294,0,0.06327910162508488,0,0,2,0,2,0,D S,Benevento,0,0.06327910162508488,0.19220179971307516,0.19220179971307516,Benevento,2020,Serie_A
1624,Fabio Depaoli,15,1132,0,0.2554373983293772,0,0.4006168972700834,8,8,2,0,D S,Benevento,0,0.2554373983293772,1.3233960084617138,1.0445374101400375,Benevento,2020,Serie_A
3340,Bryan Dabo,25,1113,0,0.7905927998945117,0,0.26746479980647564,12,7,5,0,M S,Benevento,0,0.7905927998945117,2.623601951636374,2.2165255965664983,Benevento,2020,Serie_A
3925,Gabriele Moncini,10,351,0,0.9753311853855848,0,0.1833563018590212,8,3,0,0,F S,Benevento,0,0.9753311853855848,1.353375194594264,0.28773269802331924,Benevento,2020,Serie_A
6194,Lorenzo Del Pinto,1,10,0,0,0,0,0,0,0,0,S,Benevento,0,0,0,0,Benevento,2020,Serie_A
6649,Siriki Sanogo,1,9,0,0,0,0,0,0,0,0,S,Benevento,0,0,0,0,Benevento,2020,Serie_A
8881,Lorenzo Montipò,37,3330,0,0,0,0,0,0,3,0,GK,Benevento,0,0,1.7345771035179496,1.7345771035179496,Benevento,2020,Serie_A
8882,Daam Foulon,23,1014,0,0.009946020320057869,1,0.10688059963285923,1,4,4,0,D S,Benevento,0,0.009946020320057869,1.2767135770991445,1.186897792853415,Benevento,2020,Serie_A
8885,Nicolò Manfredini,1,90,0,0,0,0,0,0,0,0,GK,Benevento,0,0,0.07069540023803711,0.07069540023803711,Benevento,2020,Serie_A
8887,Christian Pastina,3,118,0,0,1,0.37067800760269165,0,1,1,0,S,Benevento,0,0,0.3907198067754507,0.020041799172759056,Benevento,2020,Serie_A
8888,Giuseppe Di Serio,16,253,0,0.5616411902010441,0,0.010304899886250496,4,1,1,0,F S,Benevento,0,0.5616411902010441,0.7440971927717328,0.17215109895914793,Benevento,2020,Serie_A
9360,Amadou Diambo,1,2,0,0,0,0,0,0,0,0,S,Benevento,0,0,0,0,Benevento,2020,Serie_A
